sentence,q1,q2,q3,q4,img_file
the kids are riding bikes in the pile of dirt .,outdoors,man-made,transportation_urban,NA,1065323785.jpg
a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,indoors,man-made,recreation,NA,1068427675.jpg
a guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .,indoors,man-made,recreation,NA,1068427675.jpg
a man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .,indoors,man-made,recreation,NA,1068427675.jpg
a man stand there after rolling a bowling ball down a lane .,indoors,man-made,recreation,NA,1068427675.jpg
man finished throwing bowling ball towards bowling pins .,indoors,man-made,recreation,NA,1068427675.jpg
a little boy rides a bike down a hill on a miniature dirt bike .,outdoors,man-made,recreation,NA,1075716537.jpg
a young boy in a helmet rides a bike on the road .,outdoors,man-made,recreation,NA,1075716537.jpg
a child with a helmet on his head rides a bike .,outdoors,man-made,recreation,NA,1075716537.jpg
the young boy pedals quickly at a bmx race .,outdoors,man-made,recreation,NA,1075716537.jpg
the little boy rides his bicycle in a race .,outdoors,man-made,recreation,NA,1075716537.jpg
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,outdoors,man-made,transportation_urban,NA,1078621572.jpg
people cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .,outdoors,man-made,transportation_urban,NA,1078621572.jpg
"a rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .",outdoors,man-made,transportation_urban,NA,1078621572.jpg
"a group of people riding in the back of a truck , down the road , in a country area .",outdoors,man-made,transportation_urban,NA,1078621572.jpg
many men on the back of a pick up truck going down a road .,outdoors,man-made,transportation_urban,NA,1078621572.jpg
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,outdoors,man-made,recreation,NA,1080230428.jpg
"men playing volleyball , with one player missing the ball but hands still in the air .",outdoors,man-made,recreation,NA,1080230428.jpg
a group of spectators watch a men 's sand volleyball game .,outdoors,man-made,recreation,NA,1080230428.jpg
volleyball players compete on a sunny day at the beach .,outdoors,man-made,recreation,NA,1080230428.jpg
men playing volleyball in the sand .,outdoors,man-made,recreation,NA,1080230428.jpg
a man kneels on the ground doing some sort of project on his own .,outdoors,man-made,transportation_urban,NA,1082223338.jpg
woman with blue gloves working on the sidewalk with some cleaner,outdoors,man-made,transportation_urban,NA,1082223338.jpg
"a short , brown hair girl is assembling a pink roof cover .",outdoors,man-made,transportation_urban,NA,1082223338.jpg
a woman assembles a white metal frame on the sidewalk .,outdoors,man-made,transportation_urban,NA,1082223338.jpg
a young woman sands down an old shelf .,outdoors,man-made,transportation_urban,NA,1082223338.jpg
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,indoors,man-made,recreation,NA,1084104085.jpg
a woman in blue shorts and a white shirt is indoor rock climbing .,indoors,man-made,recreation,NA,1084104085.jpg
"the girl is in a harness , climbing rocks .",indoors,man-made,recreation,NA,1084104085.jpg
woman climbing an artificial rock wall .,indoors,man-made,recreation,NA,1084104085.jpg
the girl is climbing a rock wall .,indoors,man-made,recreation,NA,1084104085.jpg
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",outdoors,man-made,work_education,NA,1089354362.jpg
"a woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork .",outdoors,man-made,work_education,NA,1089354362.jpg
"a woman is sitting on the steps in front of a large black door , writing in a notebook .",outdoors,man-made,work_education,NA,1089354362.jpg
"a woman sitting down on steps , writing something down with a door behind her .",outdoors,man-made,work_education,NA,1089354362.jpg
a girl holding a coffee cup is writing outside .,outdoors,man-made,work_education,NA,1089354362.jpg
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,outdoors,natural,NA,field_forest,109202756.jpg
a young blond woman sitting atop a brown draft horse in the snowy mountains .,outdoors,natural,NA,field_forest,109202756.jpg
a woman rides a horse near a frozen lake in the winter time .,outdoors,natural,NA,field_forest,109202756.jpg
woman n blue jacket sits on daft horse near a frozen lake .,outdoors,natural,NA,field_forest,109202756.jpg
a woman in a blue jacket rides a brown pony near water .,outdoors,natural,NA,field_forest,109202756.jpg
"a person climbs a tall , flat mountain while holding onto a safety rope .",outdoors,natural,NA,mountain,109260216.jpg
a person is climbing a rock while holding onto a white rope .,outdoors,natural,NA,mountain,109260216.jpg
a person climbing down a sheer rock cliff using a rope,outdoors,natural,NA,mountain,109260216.jpg
a person wearing a red vest climbs up a steep rock .,outdoors,natural,NA,mountain,109260216.jpg
a person rappels down a steep incline .,outdoors,natural,NA,mountain,109260216.jpg
a group of hikers are resting on the ground in front of some mountains .,outdoors,natural,NA,mountain,1093716555.jpg
several hikers rest with their gear in front of a mountain .,outdoors,natural,NA,mountain,1093716555.jpg
the group of hikers is resting in front of a mountain .,outdoors,natural,NA,mountain,1093716555.jpg
people camp with the mountains in the background .,outdoors,natural,NA,mountain,1093716555.jpg
a group of backpackers lay on the dry ground .,outdoors,natural,NA,mountain,1093716555.jpg
a group of african american children with their arms above their heads and happy expressions on their faces .,indoors,man-made,work_education,NA,1093807815.jpg
a group of african-american children have their hands up in the air singing or shouting in a classroom .,indoors,man-made,work_education,NA,1093807815.jpg
many young dark complected children raising their arms in the air in excitement .,indoors,man-made,work_education,NA,1093807815.jpg
the children are singing and holding their arms in the air .,indoors,man-made,work_education,NA,1093807815.jpg
a group of kids in class with their hands in the air .,indoors,man-made,work_education,NA,1093807815.jpg
a young black person wearing a green shirt and a jacket using a sewing machine .,indoors,man-made,work_education,NA,1094606832.jpg
a woman wearing a brown headscarf works at a sewing machine .,indoors,man-made,work_education,NA,1094606832.jpg
woman meticulously working with a sewing machine .,indoors,man-made,work_education,NA,1094606832.jpg
a black woman using a sowing machine .,indoors,man-made,work_education,NA,1094606832.jpg
woman with a brown headscarf sewing .,indoors,man-made,work_education,NA,1094606832.jpg
a woman smiles while holding several green peppers at a grocery stand .,indoors,man-made,work_education,NA,1095109931.jpg
a young woman holds a red and green pepper at a vegetable stand .,indoors,man-made,work_education,NA,1095109931.jpg
a girl working at a farm market selling peppers .,indoors,man-made,work_education,NA,1095109931.jpg
a woman smiles as she holds some bell peppers .,indoors,man-made,work_education,NA,1095109931.jpg
woman with a tank top buying green peppers .,indoors,man-made,work_education,NA,1095109931.jpg
a young boy is jumping through water being sprayed up from the ground .,outdoors,man-made,recreation,NA,1095476286.jpg
a little boy playing in the water .,outdoors,man-made,recreation,NA,1095476286.jpg
a boy plays in the fountains .,outdoors,man-made,recreation,NA,1095476286.jpg
a child plays in a fountain .,outdoors,man-made,recreation,NA,1095476286.jpg
a boy jumping in a fountain .,outdoors,man-made,recreation,NA,1095476286.jpg
a yellow dog and a black and white dog are running in the dirt .,outdoors,natural,NA,field_forest,1095590286.jpg
a blond dog and a black and white dog run in a dirt field .,outdoors,natural,NA,field_forest,1095590286.jpg
two dogs are running in a field .,outdoors,natural,NA,field_forest,1095590286.jpg
a dog chases another dog .,outdoors,natural,NA,field_forest,1095590286.jpg
two dogs running around,outdoors,natural,NA,field_forest,1095590286.jpg
three people on atvs in a brown field turn their heads to look at the camera .,outdoors,natural,NA,field_forest,109823394.jpg
three people ride their four wheelers through the field .,outdoors,natural,NA,field_forest,109823394.jpg
three people on four wheel atv 's in a field .,outdoors,natural,NA,field_forest,109823394.jpg
three people on atv 's outside .,outdoors,natural,NA,field_forest,109823394.jpg
three people drive atvs .,outdoors,natural,NA,field_forest,109823394.jpg
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors,natural,NA,field_forest,109823397.jpg
an atv is airborne over a field in front of a white structure .,outdoors,natural,NA,field_forest,109823397.jpg
a man on a four-wheeler jumps near a small building .,outdoors,natural,NA,field_forest,109823397.jpg
a man jumps gin the air while riding an atv,outdoors,natural,NA,field_forest,109823397.jpg
man on four wheeler in the air .,outdoors,natural,NA,field_forest,109823397.jpg
three men are riding on an elephant with a shack in the background and two of them are wearing hats .,outdoors,man-made,recreation,NA,110201971.jpg
three guys riding on an elephant with a house-like structures and trees in the background .,outdoors,man-made,recreation,NA,110201971.jpg
"three young men are riding an elephant , sitting in what 's called a howdah .",outdoors,man-made,recreation,NA,110201971.jpg
three men seated on an elephant in a small village .,outdoors,man-made,recreation,NA,110201971.jpg
two men and a shirtless boy are on an elephant .,outdoors,man-made,recreation,NA,110201971.jpg
"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",indoors,man-made,domestic,NA,11026590.jpg
a boy in yellow glasses and red-haired girl pose for the camera .,indoors,man-made,domestic,NA,11026590.jpg
"two kids , one wearing glasses and a headlamp , are smiling .",indoors,man-made,domestic,NA,11026590.jpg
a boy in goggles plays with a read-haired girl .,indoors,man-made,domestic,NA,11026590.jpg
a crowd of people outside .,indoors,man-made,domestic,NA,11026590.jpg
"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",outdoors,natural,NA,body_of_water,1104087374.jpg
a man and woman wearing sunglasses sit halfway in the water .,outdoors,natural,NA,body_of_water,1104087374.jpg
a boy and a girl holding hands while sitting on a shore .,outdoors,natural,NA,body_of_water,1104087374.jpg
a couple with sunglasses are laying on the beach .,outdoors,natural,NA,body_of_water,1104087374.jpg
a blond holding hands with a guy in the sand .,outdoors,natural,NA,body_of_water,1104087374.jpg
a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,outdoors,man-made,recreation,NA,1104133405.jpg
a boy walks with a ball tucked under his arm .,outdoors,man-made,recreation,NA,1104133405.jpg
a boy walks with a soccer ball near a fence .,outdoors,man-made,recreation,NA,1104133405.jpg
small boy carries a soccer ball on a field .,outdoors,man-made,recreation,NA,1104133405.jpg
a boy carrying a soccer ball .,outdoors,man-made,recreation,NA,1104133405.jpg
a man in aerodynamic gear riding a bicycle down a road around a sharp curve .,outdoors,man-made,transportation_urban,NA,110595925.jpg
"man bicycle up a road , while cows graze on a hill nearby .",outdoors,man-made,transportation_urban,NA,110595925.jpg
a cyclist is riding a bicycle on a curved road up a hill .,outdoors,man-made,transportation_urban,NA,110595925.jpg
the biker is riding around a curve in the road .,outdoors,man-made,transportation_urban,NA,110595925.jpg
a man on a mountain bike is pedaling up a hill .,outdoors,man-made,transportation_urban,NA,110595925.jpg
"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",outdoors,man-made,work_education,NA,110647073.jpg
"a group of workers in the desert , two with wheel barrels and two just standing around .",outdoors,man-made,work_education,NA,110647073.jpg
men are constructing a wall in the desert .,outdoors,man-made,work_education,NA,110647073.jpg
men pushing wheelbarrows in the desert .,outdoors,man-made,work_education,NA,110647073.jpg
the men are working in the hot sun .,outdoors,man-made,work_education,NA,110647073.jpg
a small child and an adult walk on the beach in front of ocean waves .,outdoors,natural,NA,body_of_water,110964272.jpg
an adult and a child walk along the beach during the day .,outdoors,natural,NA,body_of_water,110964272.jpg
an adult and child walking along the beach on the sand .,outdoors,natural,NA,body_of_water,110964272.jpg
a woman and a child are walking on a beach .,outdoors,natural,NA,body_of_water,110964272.jpg
a man and a child walking down a beach .,outdoors,natural,NA,body_of_water,110964272.jpg
"older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .",outdoors,natural,NA,body_of_water,11131022.jpg
a man wearing a hat and a small boy in a bathing suit playing in the sand .,outdoors,natural,NA,body_of_water,11131022.jpg
an older person and a small boy play in the sand near the water .,outdoors,natural,NA,body_of_water,11131022.jpg
a person in a hat is playing with a boy on a beach .,outdoors,natural,NA,body_of_water,11131022.jpg
a father is playing with his child in the sand .,outdoors,natural,NA,body_of_water,11131022.jpg
two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,outdoors,man-made,transportation_urban,NA,111390902.jpg
"three young men , two riding a motorbike on a busy street , looking at something and smiling .",outdoors,man-made,transportation_urban,NA,111390902.jpg
three oriental men are riding on a red moped scooter in the city with many people .,outdoors,man-made,transportation_urban,NA,111390902.jpg
a group of motorcyclist are ridding through the streets .,outdoors,man-made,transportation_urban,NA,111390902.jpg
boys on a motor-scooter riding down a busy urban street .,outdoors,man-made,transportation_urban,NA,111390902.jpg
people are eating in a cafeteria with a wood beam and glass ceiling .,indoors,man-made,restaurant,NA,111671162.jpg
people sitting in a restaurant eating and one is reading the paper .,indoors,man-made,restaurant,NA,111671162.jpg
a restaurant filled with chairs and consumers .,indoors,man-made,restaurant,NA,111671162.jpg
people sitting and eating inside a diner .,indoors,man-made,restaurant,NA,111671162.jpg
lots of people eating in a restaurant .,indoors,man-made,restaurant,NA,111671162.jpg
a man is crossing the street and in the distance you can see a building under construction .,outdoors,man-made,transportation_urban,NA,111811048.jpg
this is a man standing on a rooftop with construction in the background .,outdoors,man-made,transportation_urban,NA,111811048.jpg
a man is standing on top of a tall building that overlooks the city .,outdoors,man-made,transportation_urban,NA,111811048.jpg
a man walks across the field of view in front of a cityscape .,outdoors,man-made,transportation_urban,NA,111811048.jpg
a man with a hat walks along train tracks .,outdoors,man-made,transportation_urban,NA,111811048.jpg
a young girl does a handstand on a bed with blue sheets .,indoors,man-made,domestic,NA,1121416483.jpg
a small child doing a handstand on a bed .,indoors,man-made,domestic,NA,1121416483.jpg
a little girl standing on her head .,indoors,man-made,domestic,NA,1121416483.jpg
a child is standing on her head .,indoors,man-made,domestic,NA,1121416483.jpg
