,Input.sentence,A176JUTGNWG7QJ,A17EZEAMF37MGQ,A2SMHEGRLML092,A2ZY94PZ5CVH0
57,a little boy playing in the water .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
58,a little boy playing.,indoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/domestic,indoors/man-made/other_unclear
59,a lively adult karate practice,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
60,a lively adult karate practice at the dojo .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
61,a man and a woman are examining produce at a market .,indoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education
62,a man and a woman are examining produce.,indoors/man-made/work_education,outdoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
63,a man and woman enjoying dinner at a party .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/domestic,indoors/man-made/other_unclear
64,a man and woman enjoying dinner.,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
65,a man drives a truck while a child sits and steers .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
66,a man drives a truck while a child sits on his lap and steers .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
67,a man driving a small golf cart down a street with a crowd watching him on either side of the street .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
68,a man driving a small golf cart with a crowd watching.,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/transportation_urban
69,a man grilling,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
70,a man grilling meat on an outdoor grilling pit .,outdoors/man-made/domestic,indoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/other_unclear
71,a man grilling meat.,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic
72,a man grilling outside his house .,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic
73,a man grilling three pieces of salmon outside .,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
74,a man grilling three pieces of salmon.,indoors/man-made/restaurant,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
75,a man in a black shirt sitting,outdoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
76,a man in a black shirt sitting next to a older women in a pink jacket on a train .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
77,a man in a blue swimsuit and a red beanie kneels making a sand castle that is as tall as he is when he is kneeling .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
78,a man in a dark shirt is making a presentation in front of a group .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
79,a man in a dark shirt is making a presentation.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
80,a man in a suit and tie in a fancy building is speaking at the podium .,indoors/man-made/other_unclear,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
81,a man in a suit and tie is speaking.,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
82,"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , "" truth ! """,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
83,"a man in a white polo shirt speaks with a sign that reads , "" truth ! """,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
84,a man in a white shirt uses a blackboard as others sit at a table watching .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
85,a man in a white shirt uses a blackboard as others sit watching .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
86,a man in a yellow jacket is skiing in the snow .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
87,a man in a yellow jacket is skiing.,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
88,a man in red shirt wearing sunglasses is leaning,indoors/man-made/transportation_urban,outdoors/natural/other_unclear,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
89,a man in red shirt wearing sunglasses is leaning on the wall,outdoors/man-made/work_education,outdoors/man-made/other_unclear,indoors/man-made/other_unclear,outdoors/man-made/other_unclear
90,a man is enjoying meal and drink .,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/restaurant,indoors/man-made/other_unclear
91,a man is enjoying meal and drink inside a restaurant .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
92,a man is giving a presentation in front of three people .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
93,a man is giving a presentation.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
94,a man is kneeling down with a child,outdoors/man-made/transportation_urban,outdoors/natural/other_unclear,indoors/man-made/other_unclear,indoors/man-made/other_unclear
95,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
96,a man is rowing a canoe on a lake .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
97,a man is rowing a canoe.,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
98,a man is singing at a concert .,outdoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,outdoors/man-made/recreation
99,a man is singing.,indoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
100,a man is sitting on the street playing drums on buckets .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
101,a man is sitting playing drums on buckets .,outdoors/man-made/transportation_urban,indoors/man-made/recreation,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
102,a man is using his computer while seated at a desk .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
103,a man is using his computer while seated.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
104,a man perched is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/other_unclear
105,a man perched on a row of aquariums is using a net to scoop a fish from another aquarium .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/other_unclear
106,a man rowing in the front of a canoe in a large body of water .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
107,a man rowing.,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
108,a man rows his boat .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
109,a man rows his boat below .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
110,a man singing in a very colorful environment .,outdoors/natural/field_forest,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/restaurant
111,a man singing.,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
112,a man sleeps while listening to his ipod in the back of a vehicle .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
113,a man sleeps while listening to his ipod.,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic
114,a man wearing yellow swimming trunks kneeling,outdoors/man-made/recreation,outdoors/natural/body_of_water,outdoors/man-made/recreation,outdoors/man-made/other_unclear
115,a man wearing yellow swimming trunks kneeling by the ocean,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
116,a man with red pants is skiing .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
117,a man with red pants is skiing downhill .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
118,a motorcyclist on a red speed bike leans .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
119,a motorcyclist on a red speed bike leans into a sharp turn .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
120,a person dressed in a tan jacket jumps a quad over a harvested cornfield,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/man-made/work_education,outdoors/natural/field_forest
121,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/work_education
122,a person drives around a futuristic looking vehicle while a man approaches and a crowd watches .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
123,a person drives around a futuristic looking vehicle while a man approaches her and a crowd watches .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
124,a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
125,a person wearing a construction uniform is leaning.,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
126,a red dog jumps to catch a tennis ball .,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/natural/other_unclear
127,a red dog jumps to catch a tennis ball in the dry tall grass .,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
128,a runner in black is passing a florist shop .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
129,a runner in black is passing an outdoor florist shop .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
130,a smiling child wearing a hat and sunglasses sits in a car .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
131,a smiling child wearing a hat and sunglasses sits.,outdoors/man-made/transportation_urban,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
132,a spotted dog catching a ball on a snowy field .,outdoors/natural/field_forest,outdoors/natural/mountain,outdoors/natural/field_forest,outdoors/natural/field_forest
133,a spotted dog catching a ball.,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,indoors/man-made/other_unclear
134,a teenager drinks directly out of the metal milkshake serving cup .,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/restaurant,indoors/man-made/restaurant
135,a terrier mix catches a frisbee in the air .,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/other_unclear
136,a terrier mix catches a frisbee.,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/other_unclear
137,a well dressed young woman waits for the train while a man busy writing something .,outdoors/man-made/transportation_urban,outdoors/natural/other_unclear,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
138,a well dressed young woman waits on a bench for the train while a man busy writing something waits nearby .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban
139,a woman is drinking a beverage,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
140,a woman is drinking a beverage in a busy cafe .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
141,a woman is having her foot examined by another woman,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
142,a woman is having her foot examined by another woman in a run-down building .,indoors/man-made/work_education,indoors/man-made/other_unclear,indoors/man-made/work_education,indoors/man-made/work_education
143,a woman is holding a baby while another child stands .,indoors/man-made/transportation_urban,outdoors/natural/other_unclear,indoors/man-made/domestic,indoors/man-made/other_unclear
144,a woman is holding a baby while another child stands by her side .,indoors/man-made/work_education,outdoors/natural/other_unclear,indoors/man-made/domestic,indoors/man-made/other_unclear
145,a woman is laying down laughing .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
146,a woman is laying down on a sofa laughing .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
147,a woman is selling vegetables .,outdoors/man-made/transportation_urban,indoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education
148,a woman is selling vegetables on the street .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
149,a woman is using a ruler at a desk to mark a sheet of paper .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
150,a woman is using a ruler to mark a sheet of paper .,indoors/man-made/work_education,outdoors/man-made/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
151,a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
152,a woman sits while putting a shoe onto her right foot .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
153,a woman sleeps,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
154,a woman sleeps under a blue and white blanket in a car .,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
155,a woman with a peace symbol grills vegetables,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic
156,a woman with a peace symbol on her shirt grills vegetables,indoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
157,a young boy wearing a dark blue hat sleeps on a bench at a terminal .,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
158,a young boy wearing a dark blue hat sleeps.,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
159,all these people are enjoying a basement dance party .,indoors/man-made/domestic,indoors/man-made/restaurant,indoors/man-made/recreation,indoors/man-made/restaurant
160,all these people are enjoying a dance party .,indoors/man-made/recreation,indoors/man-made/restaurant,indoors/man-made/recreation,indoors/man-made/other_unclear
161,an asian man sells a hot confection from his stand in a crowded market .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education
162,an asian man sells a hot confection.,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
163,an old woman is selling produce at a farmer 's market .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education
164,an old woman is selling produce.,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education
165,an older couple passes by a young lady,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/other_unclear
166,an older couple passes by a young lady on the sidewalk .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
167,an older man and women are using computers in a sort of storage room .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
168,an older man and women are using computers.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
169,an orchestra of about <number> people are practicing,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/other_unclear
170,an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/recreation,indoors/man-made/recreation
171,asian students are examining sheets of paper while standing .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
172,asian students are examining sheets of paper while standing in line .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
173,brown dog catches a pink ball in the park .,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
174,brown dog catches a pink ball.,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,indoors/man-made/other_unclear
175,buff african american man waits for subway at wall street station .,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
176,buff african american man waits for subway.,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
177,crowd waiting for a train .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
178,crowd waiting on main street subway platform for a train .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
