Word,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,outdoors - man-made - work_education,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - transportation_urban,indoors - man-made - recreation,indoors - man-made - domestic,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,outdoors - man-made - restaurant,indoors - man-made - other_unclear
wade-01,,1.0,6.0,,2.0,,,,,,,,,,,
hit-01,,1.0,,,,,,2.0,5.0,,1.0,,,,,1.0
swim-01,,,14.0,,,,,,8.0,,4.0,,,,,
splash-01,,,5.0,,,,,,1.0,,1.0,,,,,
fish-01,,,9.0,,,,,,1.0,,,,,,,
paddle-01,,,7.0,,1.0,,,,,,,,,,,
hike-01,,,2.0,,3.0,,9.0,,,,,,,,,
dive-01,,,5.0,,1.0,,,,4.0,,1.0,,,,,
row-01,,,5.0,,,,,,,,,,,,,
surf-01,,,19.0,,,,,,1.0,,,,,,,
swing-02,,,1.0,,,,,2.0,5.0,,,1.0,,,,
catch-01,,,2.0,,7.0,,1.0,2.0,4.0,,,,,,,
chase-01,,,1.0,,4.0,,,2.0,3.0,,1.0,,,,,
write-01,,,,2.0,,4.0,,,,,,1.0,2.0,,1.0,
shovel-01,,,,1.0,,,,4.0,,,,,,,,
grill-01,,,,,1.0,,,5.0,,,,,,,1.0,
face-01,,,,,4.0,,,,1.0,,3.0,,,1.0,,
swing-01,,,,,1.0,,,,8.0,,1.0,,,,,
pause-01,,,,,2.0,1.0,1.0,,4.0,,1.0,,1.0,,,
ski-01,,,,,1.0,,14.0,,1.0,,,,,,,
compete-01,,,,,1.0,,,,7.0,,3.0,,,,,
present-01,,,,,,6.0,,,1.0,,,,,,,
slide-01,,,,,,,1.0,,4.0,,1.0,,,1.0,,
spar-01,,,,,,,,1.0,,,4.0,,,,,
grab-01,,,,,,,,,4.0,,,,,,,
participate-01,,,,,,,,,5.0,,2.0,,,,,
finish-01,,,,,,,,,5.0,,,1.0,,,,
