Word,outdoors - man-made - work_education,indoors - man-made - restaurant,outdoors - man-made - transportation_urban,outdoors - natural - body_of_water,indoors - man-made - recreation,outdoors - natural - field_forest,indoors - man-made - work_education,outdoors - natural - mountain,outdoors - man-made - domestic,outdoors - man-made - recreation,indoors - man-made - domestic,indoors - man-made - transportation_urban,outdoors - man-made - other_unclear,outdoors - natural - other_unclear,indoors - man-made - other_unclear,outdoors - man-made - restaurant
be-located-at-91,7.0,4.0,52.0,29.0,20.0,8.0,6.0,8.0,4.0,35.0,11.0,4.0,11.0,1.0,10.0,
sweep-01,,,24.0,,3.0,,,,10.0,3.0,3.0,,4.0,,,
drive-01,3.0,,49.0,3.0,2.0,4.0,1.0,1.0,,2.0,,1.0,,,,1.0
walk-01,32.0,,826.0,91.0,1.0,93.0,14.0,41.0,22.0,102.0,1.0,12.0,39.0,7.0,20.0,1.0
possible-01,2.0,,6.0,,,,1.0,,1.0,1.0,,,1.0,,,
jog-01,,,23.0,3.0,,3.0,,,,12.0,,,,,,
run-02,5.0,,100.0,89.0,11.0,210.0,1.0,11.0,15.0,124.0,,,23.0,5.0,,
ride-01,,,283.0,65.0,16.0,55.0,7.0,24.0,3.0,160.0,4.0,15.0,7.0,2.0,1.0,
lay-01,2.0,,17.0,2.0,1.0,10.0,1.0,1.0,5.0,9.0,17.0,1.0,3.0,7.0,1.0,
pass-by-17,,,17.0,,,1.0,,,,1.0,,,,,,
stroll-01,,,11.0,,,2.0,,1.0,1.0,1.0,,1.0,,,,
sleep-01,1.0,,17.0,3.0,,3.0,2.0,1.0,,13.0,18.0,23.0,4.0,,,3.0
jump-03,6.0,,47.0,49.0,37.0,80.0,1.0,44.0,38.0,159.0,17.0,,12.0,13.0,,
approach-01,,,5.0,,,2.0,1.0,,,,,1.0,,1.0,,
stare-01,,1.0,11.0,6.0,2.0,1.0,,,1.0,4.0,6.0,,4.0,1.0,1.0,
cross-02,,,64.0,7.0,,,,1.0,1.0,2.0,,,1.0,,,
show-01,,,13.0,7.0,4.0,,6.0,,4.0,10.0,5.0,,2.0,1.0,2.0,
board-01,,,5.0,5.0,,,,,,2.0,,,,,,
bend-01,2.0,,16.0,1.0,4.0,3.0,1.0,1.0,,4.0,1.0,,,1.0,1.0,
view-01,,,18.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,6.0,,2.0,,1.0,1.0
throw-01,,1.0,3.0,25.0,18.0,6.0,,2.0,5.0,41.0,5.0,,,,,1.0
kneel-01,1.0,,15.0,8.0,5.0,2.0,,2.0,1.0,7.0,1.0,1.0,1.0,,1.0,
examine-01,1.0,,6.0,,1.0,3.0,16.0,,2.0,3.0,3.0,,,2.0,1.0,1.0
seat-01,,,3.0,,,2.0,2.0,,,5.0,2.0,,,,,
climb-01,1.0,,16.0,9.0,17.0,24.0,4.0,73.0,1.0,50.0,,,8.0,1.0,1.0,
have-03,1.0,4.0,21.0,5.0,10.0,6.0,3.0,1.0,1.0,14.0,8.0,2.0,8.0,1.0,4.0,
push-01,6.0,,45.0,,3.0,4.0,4.0,,6.0,9.0,1.0,,6.0,,,
dress-01,,,15.0,1.0,4.0,2.0,,,,4.0,,,3.0,,1.0,
lie-07,,,6.0,,1.0,10.0,2.0,1.0,1.0,1.0,9.0,,,,,
shop-01,5.0,,8.0,,,,13.0,,,1.0,,,,,,
kick-01,,,2.0,8.0,5.0,8.0,,,3.0,31.0,,,,,,
attempt-01,,,10.0,6.0,11.0,2.0,2.0,4.0,,16.0,3.0,,1.0,1.0,2.0,
race-02,,,17.0,1.0,4.0,3.0,,,,41.0,,,1.0,,,
skateboard-01,2.0,,7.0,,3.0,,,,,14.0,,,,,,
skate-01,,,5.0,1.0,10.0,,,,,7.0,,,,,,
paint-02,4.0,,24.0,,,1.0,4.0,,2.0,2.0,1.0,,5.0,2.0,4.0,
do-02,4.0,,6.0,2.0,6.0,1.0,1.0,2.0,1.0,24.0,3.0,1.0,,1.0,1.0,
pull-01,,,24.0,10.0,,11.0,,2.0,,4.0,1.0,1.0,1.0,,2.0,
practice-01,,,4.0,3.0,20.0,2.0,1.0,,3.0,8.0,1.0,,1.0,,,
trick-01,,,4.0,,4.0,,,,1.0,21.0,,,1.0,,,
prepare-02,,1.0,10.0,8.0,14.0,2.0,4.0,3.0,1.0,22.0,2.0,,3.0,,,
wade-01,,,2.0,13.0,,2.0,,,,,,,,,,
hit-01,,,1.0,,4.0,3.0,1.0,,2.0,27.0,,,,,2.0,
swim-01,,,1.0,62.0,17.0,1.0,,,,30.0,,,,,,
splash-01,1.0,,1.0,30.0,5.0,5.0,,,,6.0,,,,,,
fish-01,,,,23.0,,,,,,1.0,,,,,,
paddle-01,,,,18.0,,1.0,,,,1.0,,,,,,
hike-01,,,1.0,3.0,,3.0,,16.0,,,,,,,,
dive-01,,,,8.0,2.0,1.0,,,1.0,14.0,,,,,,
row-01,,,,17.0,,,,,,,,,,,,
surf-01,,,,41.0,,,,,,1.0,,,,,,
swing-02,,,,1.0,3.0,2.0,,,6.0,35.0,1.0,,,,2.0,
catch-01,,,,9.0,1.0,10.0,,4.0,3.0,15.0,,,1.0,,,
grill-01,,,,,,1.0,,,10.0,,,,,,,4.0
swing-01,,,,2.0,1.0,6.0,,,,34.0,,,,,,
ski-01,,,,1.0,,2.0,,37.0,,1.0,,,,,,
compete-01,,,3.0,1.0,14.0,2.0,,1.0,,26.0,,,,,,
present-01,1.0,,2.0,,1.0,,14.0,,,1.0,,,,,1.0,
participate-01,,,6.0,,8.0,2.0,2.0,,,13.0,,,,,,
finish-01,,,1.0,,1.0,,,,1.0,7.0,2.0,,,,,
