caption,Jensen-Shannon Divergence
muzzled greyhounds are racing.,0.3091966825883714
little girl skis.,2.1165055361657234e-06
"two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .",0.06490450713150285
a teenager drinks directly out of the metal milkshake serving cup .,0.4509923777885705
a man is enjoying meal and drink .,0.4645014030971875
a man drives a truck while a child sits and steers .,0.3091966825883714
an asian man sells a hot confection.,0.4645014030971875
a man singing.,0.5429402533205807
people are rowing a boat .,2.1165055361657234e-06
a man sleeps while listening to his ipod.,2.1165055361657234e-06
a greyhound races.,0.46450140309718746
a man and a woman are examining produce.,0.4509923777885705
a man in a yellow jacket is skiing.,2.1165055361657234e-06
a man driving a small golf cart with a crowd watching.,0.616762243419607
group of women doing a presentation .,0.3091966825883714
two dogs are nose to nose while a third dog stands .,0.5429402529803395
man with gray hair wearing a suit is waiting.,0.4747673455947834
two men on motorcycles are driving down .,2.1165055361657234e-06
a runner in black is passing a florist shop .,0.30919668258837146
"a crowd waits, ready to board .",0.11984403014989162
brown dog catches a pink ball.,0.6424372742994602
two people are sleeping .,0.3091966825883714
two guys are rowing a canoe.,2.1165055361657234e-06
"a man driving a small , open vehicle with a green sign .",0.3091966825883714
three women and a man are drinking beer .,0.5641427866398117
a man wearing yellow swimming trunks kneeling,0.46210834373091597
a man with red pants is skiing .,2.1165055361657234e-06
a spotted dog catching a ball.,0.30919668259265304
a chef speaks into a microphone about a mixed salad contained .,0.3091966825883714
a woman is laying down laughing .,0.06490450713150285
three women speak to each other.,0.7028268976786316
dancers practicing their dance routines .,0.3091966825883714
two furry light brown dogs lying.,0.4645014030971875
a dog wearing a t-shirt is lying.,0.8325546101036344
a man is giving a presentation.,0.3091966825883714
all these people are enjoying a dance party .,0.4645014030971875
a young boy wearing a dark blue hat sleeps.,0.06490450713150285
an old woman is selling produce.,0.46450140349657476
"a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .",0.46450140309718757
a man in a white shirt uses a blackboard as others sit watching .,2.1165055361657234e-06
a man rowing.,2.1165055361657234e-06
a korean woman is enjoying a meal.,0.30919668259265304
a man grilling meat.,0.36373633908978487
two girls and three boys are presenting.,0.3091966825883714
asian students are examining sheets of paper while standing .,0.3091966825883714
a man in a dark shirt is making a presentation.,0.06490450713150285
four people in black shirts giving a presentation to a room full of people using a big projector image .,0.3091966825883714
two women in black enjoying a lunch.,0.5990057491490158
a boy and girl child swing together .,0.5641427863889547
an older man and women are using computers.,0.5990057493843096
three girls or friends having drinks laughing .,0.4509923777885705
a well dressed young woman waits for the train while a man busy writing something .,0.462108343730916
buff african american man waits for subway.,0.3091966825883714
a man in a suit and tie is speaking.,0.46450140309718757
"people swing on a red , metal amusement park ride.",2.1165055361657234e-06
a man is using his computer while seated.,0.8325546103252176
a man and woman enjoying dinner.,0.5990057493843096
a group of people lie close together.,0.6516023040122275
"an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down .",0.7028268979395873
a woman with a peace symbol grills vegetables,0.36373633908978487
a man grilling three pieces of salmon.,0.46210834373091597
