caption,jensen_shannon_divergence
street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,0.46450140349657476
a man rows his boat below .,2.1165055361657234e-06
a terrier mix catches a frisbee in the air .,0.6424372742994602
"a man in a white polo shirt speaks into a microphone with a sign behind him that reads, truth !",0.7028268976786316
two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,2.1165055361657234e-06
crowd waiting on main street subway platform for a train .,0.11984403014938547
four women are on stage singing .,0.3091966825883714
two men drink beer at the bar in a restaurant .,2.1165055361657234e-06
two women in white lab coats examine a dyed area on a cluster of cells using a projector .,2.1165055361657234e-06
two rows of dance students are practicing ballet moves against a pole in a studio .,2.1165055361657234e-06
white and black dog jumping over red-haired dog in grass .,0.4645014034965748
a smiling child wearing a hat and sunglasses sits in a car .,0.3091966825883714
a woman is using a ruler at a desk to mark a sheet of paper .,0.4509923777885705
two dogs are catching blue frisbees in grass .,2.1165055361657234e-06
a man is singing at a concert .,0.11984403014938547
three young women and one young man singing in an auditorium .,0.4509923777885705
a group of men in golden shirts singing in front of a microphone .,0.3091966825883714
"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .",0.3091966825883714
vendors sell products at a farmers market .,0.3995326741745401
people examine books in a library .,2.1165055361657234e-06
a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,0.36373633908978487
"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",0.5990057493843096
two girls are in a sack race .,0.46210834373091597
an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,0.4645014034965748
the man in the red shirt and flowery tie is sitting on a bus by the window .,0.3091966825883714
muzzled greyhounds are racing on the track .,2.1165055361657234e-06
little girl skis on slope .,2.1165055361657234e-06
"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",0.3091966825883714
"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",2.1165055361657234e-06
a man is enjoying meal and drink inside a restaurant .,2.1165055361657234e-06
a man drives a truck while a child sits on his lap and steers .,0.3091966825883714
an asian man sells a hot confection from his stand in a crowded market .,0.46450140349657476
a man singing in a very colorful environment .,0.6167622431203059
people are rowing a boat in the water .,2.1165055361657234e-06
a man sleeps while listening to his ipod in the back of a vehicle .,0.3091966825883714
a greyhound races on the dirt .,0.46450140309718757
a man and a woman are examining produce at a market .,0.3995326741745401
a man in a yellow jacket is skiing in the snow .,2.1165055361657234e-06
a man driving a small golf cart down a street with a crowd watching him on either side of the street .,2.1165055361657234e-06
group of women doing a presentation off an easel .,0.5990057493843096
two dogs are nose to nose while a third dog stands next to them .,0.4747673455947834
man with gray hair wearing a suit is waiting in a subway tunnel .,0.4645014030971875
two men on motorcycles are driving down an empty street .,2.1165055361657234e-06
a runner in black is passing an outdoor florist shop .,2.1165055361657234e-06
"a crowd waits outside a subway train , ready to board .",0.11984403014938547
brown dog catches a pink ball in the park .,0.36373633908978487
two people on the subway are sleeping in the corner .,2.1165055361657234e-06
two guys are rowing a canoe on a lake .,2.1165055361657234e-06
"a man driving a small , open vehicle with a green sign on the back of it in traffic .",2.1165055361657234e-06
three women and a man are drinking beer at a table .,0.4509923777885705
a man wearing yellow swimming trunks kneeling by the ocean,2.1165055361657234e-06
a man with red pants is skiing downhill .,2.1165055361657234e-06
a spotted dog catching a ball on a snowy field .,0.3091966825883714
a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,0.6516023042984608
a woman is laying down on a sofa laughing .,0.3091966825883714
three women speak to each other in a room with tan walls .,0.462108343730916
stage dancers practicing their dance routines .,0.3091966825883714
two furry light brown dogs lying on a hardwood floor .,0.3091966825883714
a dog wearing a t-shirt is lying down .,0.4645014030971875
a man is giving a presentation in front of three people .,0.3091966825883714
all these people are enjoying a basement dance party .,0.47476734598536796
a young boy wearing a dark blue hat sleeps on a bench at a terminal .,0.36373633908978487
an old woman is selling produce at a farmer 's market .,0.30041017271004644
"a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .",0.3091966825883714
a man in a white shirt uses a blackboard as others sit at a table watching .,0.3091966825883714
a man rowing in the front of a canoe in a large body of water .,2.1165055361657234e-06
a korean woman is enjoying a meal in a restaurant .,2.1165055361657234e-06
a man grilling meat on an outdoor grilling pit .,0.8325546099361183
two girls and three boys are presenting in front of a dry erase board .,2.1165055361657234e-06
asian students are examining sheets of paper while standing in line .,2.1165055361657234e-06
a man in a dark shirt is making a presentation in front of a group .,0.3091966825883714
four people in black shirts giving a presentation to a room full of people using a big projector image on the wall .,0.3091966825883714
two women in black enjoying a lunch in a restaurant .,2.1165055361657234e-06
a boy and girl child swing together on a swing set .,0.36373633908978487
an older man and women are using computers in a sort of storage room .,0.3091966825883714
three girls or friends having drinks at a bar laughing .,2.1165055361657234e-06
a well dressed young woman waits on a bench for the train while a man busy writing something waits nearby .,0.06490450713150285
buff african american man waits for subway at wall street station .,0.3091966825883714
a man in a suit and tie in a fancy building is speaking at the podium .,0.3091966825883714
"people swing on a red , metal amusement park ride in front of some trees .",2.1165055361657234e-06
a man is using his computer while seated at a desk .,0.8325546103252176
a man and woman enjoying dinner at a party .,0.6424372742994602
a group of people lie close together on a hardwood floor .,2.1165055361657234e-06
"an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down along the banks of a trash infested body of water .",2.1165055361657234e-06
a woman with a peace symbol on her shirt grills vegetables,0.6424372740812075
a man grilling three pieces of salmon outside .,0.4509923777885705
a person drives around a futuristic looking vehicle while a man approaches and a crowd watches .,2.1165055361657234e-06
a brown dog running,0.4747673455947834
a child in a dress runs with a miniature orange soccer ball .,0.5429402529803395
a woman sleeps,0.3091966825883714
a man is kneeling down with a child,0.8325546099361183
men playing volleyball,0.5990057493843096
a little boy playing.,0.7028268976786316
a blond dog and a black and white dog run,0.4509923777885705
a person dressed in a tan jacket jumps a quad over a harvested cornfield,0.3091966825883714
girl wearing blue shirt and black shorts plays trumped .,0.7028268976786316
Kids play,0.46450140309718757
a woman is drinking a beverage,0.5990057491490158
three children are playing .,0.6516023037296733
two children swing from a swing made from a steel drum .,0.3995326741745401
Person leaning,0.6516023037296733
two swimmers race with a red line .,0.0649045071315028
an older couple passes by a young lady,0.5990057493843096
three children are practicing martial arts.,0.3091966825883714
a lady with short hair wearing a black jacket leaned .,0.7028268978767214
a man perched is using a net to scoop a fish from another aquarium .,0.5429402529803395
a dark-haired man is speaking into a microphone while another man is sitting .,0.30919668259265304
people pass each other while talking on their cellphones .,0.36373633908978487
person with two ski poles skiing down .,2.1165055361657234e-06
a man in a blue swimsuit and a red beanie kneels making a sand castle that is as tall as he is when he is kneeling .,2.1165055361657234e-06
a black dog runs with his mouth open,0.616762243419607
decorated limo passing by elderly woman waiting on park bench .,0.616762243419607
three people in various stages of swimming strokes race,0.36373633908978487
one dog is jumping at the lady while the other walks,0.6424372740812075
a motorcyclist on a red speed bike leans .,2.1165055361657234e-06
a man is sitting playing drums on buckets .,0.30919668258837146
a lively adult karate practice,0.46450140349657476
a red dog jumps to catch a tennis ball .,0.7028268979395873
The brown dog catches a ball.,0.5429402529880796
the little girl swings.,0.30919668259265304
four young adults sit,0.7028268976786317
a woman is having her foot examined by another woman,0.5990057493843096
a woman is holding a baby while another child stands .,0.6516023037296734
a gray dog is jumping toward a black and white dog.,0.47476734559478334
a black and white dog runs.,0.4747673455947834
a dark-haired dark-skinned child sleeps while holding a blue zippered pack .,0.7028268981376771
a man in a black shirt sitting,0.5429402529803395
a man grilling,0.4509923777885705
a person wearing a construction uniform is leaning.,0.4645014030971875
a man is rowing a canoe.,2.1165055361657234e-06
a man in red shirt wearing sunglasses is leaning,0.4747673455947834
a handicapped person with one leg skiing down with other mountains .,2.1165055361657234e-06
a woman is selling vegetables .,0.616762243419607
two people are jumping with snow .,0.47476734598536796
vendors are selling fruits and vegetables,0.46450140349657476
a man rows his boat .,2.1165055361657234e-06
a terrier mix catches a frisbee.,0.4645014030971875
"a man in a white polo shirt speaks with a sign that reads, truth !",0.4509923777885705
two young people riding skateboards pass by in the street as a black dog on a red leash stops and squats down.,2.1165055361657234e-06
crowd waiting for a train .,2.1165055361657234e-06
four women are singing .,0.46450140349657476
two men drink beer .,0.4509923777885705
two women in white lab coats examine a dyed area using a projector .,2.1165055361657234e-06
two rows of dance students are practicing ballet moves against a pole.,2.1165055361657234e-06
white and black dog jumping over red-haired dog .,0.5429402529880796
a smiling child wearing a hat and sunglasses sits.,0.6167622431203059
a woman is using a ruler to mark a sheet of paper .,0.4645014030971875
two dogs are catching blue frisbees.,0.47476734598536796
a man is singing.,0.4645014030971875
three young women and one young man singing.,0.46450140349657476
a group of men in golden shirts singing.,0.4645014030971875
"a man wearing jeans , polo shirt and a baseball cap , fork , is grilling meat .",0.6167622431203059
vendors sell products.,0.8325546101036344
people examine books.,2.1165055361657234e-06
a woman sits while putting a shoe onto her right foot .,0.4509923777885705
several people sit,0.8325546095520581
two girls are in a race .,0.46450140309718757
an orchestra of about <number> people are practicing,0.06490450713150281
the man in the red shirt and flowery tie is sitting.,0.6516023040122275
muzzled greyhounds are racing.,0.3091966825883714
little girl skis.,2.1165055361657234e-06
"two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .",0.06490450713150285
a teenager drinks directly out of the metal milkshake serving cup .,0.4509923777885705
a man is enjoying meal and drink .,0.4645014030971875
a man drives a truck while a child sits and steers .,0.3091966825883714
an asian man sells a hot confection.,0.4645014030971875
a man singing.,0.5429402533205807
people are rowing a boat .,2.1165055361657234e-06
a man sleeps while listening to his ipod.,2.1165055361657234e-06
a greyhound races.,0.46450140309718746
a man and a woman are examining produce.,0.4509923777885705
a man in a yellow jacket is skiing.,2.1165055361657234e-06
a man driving a small golf cart with a crowd watching.,0.616762243419607
group of women doing a presentation .,0.3091966825883714
two dogs are nose to nose while a third dog stands .,0.5429402529803395
man with gray hair wearing a suit is waiting.,0.4747673455947834
two men on motorcycles are driving down .,2.1165055361657234e-06
a runner in black is passing a florist shop .,0.30919668258837146
"a crowd waits, ready to board .",0.11984403014989162
brown dog catches a pink ball.,0.6424372742994602
two people are sleeping .,0.3091966825883714
two guys are rowing a canoe.,2.1165055361657234e-06
"a man driving a small , open vehicle with a green sign .",0.3091966825883714
three women and a man are drinking beer .,0.5641427866398117
a man wearing yellow swimming trunks kneeling,0.46210834373091597
a man with red pants is skiing .,2.1165055361657234e-06
a spotted dog catching a ball.,0.30919668259265304
a chef speaks into a microphone about a mixed salad contained .,0.3091966825883714
a woman is laying down laughing .,0.06490450713150285
three women speak to each other.,0.7028268976786316
dancers practicing their dance routines .,0.3091966825883714
two furry light brown dogs lying.,0.4645014030971875
a dog wearing a t-shirt is lying.,0.8325546101036344
a man is giving a presentation.,0.3091966825883714
all these people are enjoying a dance party .,0.4645014030971875
a young boy wearing a dark blue hat sleeps.,0.06490450713150285
an old woman is selling produce.,0.46450140349657476
"a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .",0.46450140309718757
a man in a white shirt uses a blackboard as others sit watching .,2.1165055361657234e-06
a man rowing.,2.1165055361657234e-06
a korean woman is enjoying a meal.,0.30919668259265304
a man grilling meat.,0.36373633908978487
two girls and three boys are presenting.,0.3091966825883714
asian students are examining sheets of paper while standing .,0.3091966825883714
a man in a dark shirt is making a presentation.,0.06490450713150285
four people in black shirts giving a presentation to a room full of people using a big projector image .,0.3091966825883714
two women in black enjoying a lunch.,0.5990057491490158
a boy and girl child swing together .,0.5641427863889547
an older man and women are using computers.,0.5990057493843096
three girls or friends having drinks laughing .,0.4509923777885705
a well dressed young woman waits for the train while a man busy writing something .,0.462108343730916
buff african american man waits for subway.,0.3091966825883714
a man in a suit and tie is speaking.,0.46450140309718757
"people swing on a red , metal amusement park ride.",2.1165055361657234e-06
a man is using his computer while seated.,0.8325546103252176
a man and woman enjoying dinner.,0.5990057493843096
a group of people lie close together.,0.6516023040122275
"an impoverished person , wearing a torn brown shirt and no shoes , is kneeling down .",0.7028268979395873
a woman with a peace symbol grills vegetables,0.36373633908978487
a man grilling three pieces of salmon.,0.46210834373091597
