Caption,Annotator,Category,Location,Type,Reasoning
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",Derrick,Other/Unclear (Man-made),Indoors,Man-made,"This could be done in a restaurant, or at home, or at a bar or any type of social gathering, so it is not very clear. "
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",Ken,Restaurant,Indoors,Man-made,"this is an interesting one: could be restaurant or domestic, ""wood-paneled interior"" and ""several"" beverages lean restaurant, but ""have been placed"" is a weird phrase, making it seem like the beverages don't necessarily belong to the young men and women at the table--could be a frat party?"
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",Derrick,Recreation,Outdoors,Man-made,"I would imagine this is taking place in a theme park, which is held outdoors. "
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",Ken,Recreation,Outdoors,Man-made,
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",Derrick,Restaurant,Indoors,Man-made,"This could be held indoors or outdoors, and it could be held anywhere: in a restaurant, concert, or a bar. "
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",Ken,Recreation,Indoors,Man-made,stages could be indoors or outdoors
a boy is standing on a sidewalk with his bike .,Ken,Transportation/Urban,Outdoors,Man-made,
a boy is standing on a sidewalk with his bike .,Derrick,Transportation/Urban,Outdoors,Man-made,
a scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .,Derrick,Body of Water,Outdoors,Natural,
a scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .,Ken,Body of Water,Outdoors,Natural,
the dog is sitting on the side of the hill .,Derrick,Mountain,Outdoors,Natural,
the dog is sitting on the side of the hill .,Ken,Mountain,Outdoors,Natural,do hills count as mountains?
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,Ken,Transportation/Urban,Outdoors,Man-made,
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,Derrick,Transportation/Urban,Outdoors,Man-made,
a man 's pants are falling down as he throws crates into a dumpster .,Derrick,Transportation/Urban,Outdoors,Man-made,"I would imagine this guy is doing work on the streets, offloading and loading materials for construction sites. "
a man 's pants are falling down as he throws crates into a dumpster .,Ken,Work/Education,Outdoors,Man-made,"I'm imagining behind a supermarket, could also be transportation/urban, but I feel like the more public a place, the less likely you are to let your pants fall down..."
three street musicians wearing brown coats play the drums and trumpet in front of a store .,Derrick,Mountain,Outdoors,Natural,
three street musicians wearing brown coats play the drums and trumpet in front of a store .,Ken,Transportation/Urban,Outdoors,Man-made,
various vendors selling produce in an eastern outdoor market .,Derrick,Work/Education,Outdoors,Man-made,
various vendors selling produce in an eastern outdoor market .,Ken,Work/Education,Outdoors,Man-made,"""kiosk"" vs. ""market"": something to think about"
a woman in a red jacket stands on the beach facing the water as it covers her feet .,Ken,Body of Water,Outdoors,Natural,
a woman in a red jacket stands on the beach facing the water as it covers her feet .,Derrick,Body of Water,Outdoors,Natural,"Because of ""beach"", and ""facing the water""."
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,Derrick,Transportation/Urban,Outdoors,Man-made,"It says ""bumpy pavement made of brick"", so I am assuming that it is held on the street, so it is safe to assume it is done in an urban setting. "
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,Ken,Transportation/Urban,Outdoors,Man-made,
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,Ken,Transportation/Urban,Outdoors,Man-made,don't think kiosks count as indoors (confident) or shops (less confident)
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,Derrick,Work/Education,Outdoors,Man-made,"if it's a street vendor, then it is most likely held outside, and on the streets, but they could involve shops, so I put down work/education. "
"a man running in a marathon runs past <number> bagpipe players , and a drummer , all wearing a uniform",Derrick,Transportation/Urban,Outdoors,Man-made,"The location must be transporation/urban because he is running a marathon, and most marathons nowadays are done on the street. "
"a man running in a marathon runs past <number> bagpipe players , and a drummer , all wearing a uniform",Ken,Transportation/Urban,Outdoors,Man-made,
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",Derrick,Body of Water,Outdoors,Natural,"He could technically be indoors, but given that he is fishing, I assume he is at sea or at a lake, doing the fishing. "
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",Ken,Body of Water,Outdoors,Natural,
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,Derrick,Domestic,Indoors,Man-made,"The man is sitting on a sofa, but sofas are traditionally held indoors. "
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,Ken,Domestic,Indoors,Man-made,"this one definitely feels like the indoor part is more important, but in general, could be good to think about mixed indoor/outdoor captions/images"
one dog climbing on the back of another dog in the snow .,Derrick,Mountain,Outdoors,Natural,I assume it is a mountain of snow. 
one dog climbing on the back of another dog in the snow .,Ken,Field/Forest,Outdoors,Natural,"snow could technically be anywhere, but natural/field/forest feels like a good default"
man playing musical instrument standing beside a yellow and red fire hydrant,Ken,Transportation/Urban,Outdoors,Man-made,
man playing musical instrument standing beside a yellow and red fire hydrant,Derrick,Transportation/Urban,Outdoors,Man-made,"This can be taking place anywhere, but because of the word ""fire hydrant"", I would imagine it would be taking place on the street. "
