ID,Sentence,Verb,Lemma,PropBank Role (n),q1,q2,q3,q4
66,"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",line-up-02,line,N/A,outdoors,natural,NA,mountain
67,"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",stand-01,stand,N/A,outdoors,natural,NA,mountain
68,"five people wearing winter clothing , helmets , and ski goggles stand outside in the snow .",stand-01,stand,N/A,outdoors,natural,NA,mountain
69,a group of snowmobile riders gather in the snow .,gather-03,gather,N/A,outdoors,natural,NA,mountain
70,group gathered to go snowmobiling .,gather-03,gather,N/A,outdoors,natural,NA,mountain
71,"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",sit-01,sit,N/A,outdoors,man-made,transportation_urban,NA
72,"a man in a yellow shirt , with a tall gray suitcase , sitting next to another man in a white shirt and gray pants , behind them a tall billboard for sunglasses and prescription glasses .",be-located-at-91,be,N/A,outdoors,man-made,transportation_urban,NA
73,"two men sitting on a bench talking , with a billboard advertisement for glasses in the background .",sit-01,sit,2,outdoors,man-made,transportation_urban,NA
74,two men sitting on a bench in front of a sign with a picture of man and a lady .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
75,<number> men are sitting at a bench outside the airport in front of a billboard .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
76,the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
77,a man in black is sitting next to a modern art structure in front of a glass building .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
79,a man sitting in front of a metal sculpture in front of a building .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
80,a man sits near a large statue .,sit-01,sit,2,outdoors,man-made,transportation_urban,NA
81,a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,look-01,look,N/A,outdoors,man-made,domestic,NA
82,a young child wearing a blue shirt and red hat grabs onto black bars in front of him .,grab-01,grab,N/A,outdoors,man-made,domestic,NA
83,"the little boy looks like he is saying , let me out of jail .",look-02,look,N/A,outdoors,man-made,domestic,NA
85,little boy wanting to play outside of fence .,want-01,want,N/A,outdoors,man-made,domestic,NA
86,a small boy putting something in his mouth with both hands .,put-01,put,N/A,outdoors,man-made,recreation,NA
87,a boy bites hard into a treat while he sits outside .,bite-01,bite,N/A,outdoors,man-made,recreation,NA
88,the boy eats his food outside at the table .,eat-01,eat,N/A,outdoors,man-made,recreation,NA
89,the boy is eating pizza over a tin dish .,eat-01,eat,N/A,outdoors,man-made,recreation,NA
90,a child biting into a baked good .,bite-01,bite,N/A,outdoors,man-made,recreation,NA
91,a person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,swing-02,swing,N/A,outdoors,man-made,recreation,NA
92,a girl playing softball hits the ball almost directly downwards,hit-01,hit,N/A,outdoors,man-made,recreation,NA
94,a girl hitting a softball but she missed the ball .,have-concession-91,have,N/A,outdoors,man-made,recreation,NA
95,the batter missed the ball .,miss-02,miss,N/A,outdoors,man-made,recreation,NA
96,a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,sit-01,sit,N/A,outdoors,natural,NA,body_of_water
98,a man wearing a red life-vest is sitting in a canoe on a body of water .,sit-01,sit,2,outdoors,natural,NA,body_of_water
99,a balding man wearing a red life jacket is sitting in a small boat .,sit-01,sit,2,outdoors,natural,NA,body_of_water
100,a man in a red life vest is riding in a canoe .,ride-01,ride,N/A,outdoors,natural,NA,body_of_water
101,someone is standing on a long bridge with a cloudy blue sky in the background .,stand-01,stand,2,outdoors,man-made,transportation_urban,NA
102,a solitary man stand on a bridge in the evening .,stand-01,stand,2,outdoors,man-made,transportation_urban,NA
103,one person is standing on a bridge at night .,stand-01,stand,2,outdoors,man-made,transportation_urban,NA
104,person crossing a bridge in dim light .,cross-02,cross,N/A,outdoors,man-made,transportation_urban,NA
105,a man stands on a bridge at night .,stand-01,stand,2,outdoors,man-made,transportation_urban,NA
106,"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",picture-01,picture,N/A,indoors,man-made,domestic,NA
109,a little baby cradled in someones arms .,cradle-01,cradle,N/A,indoors,man-made,domestic,NA
110,a little baby is wearing purple pants .,wear-01,wear,N/A,indoors,man-made,domestic,NA
111,"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",kneel-01,kneel,N/A,outdoors,man-made,transportation_urban,NA
112,"two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .",squat-01,squat,N/A,outdoors,man-made,transportation_urban,NA
113,a little girl is looking at some plants while another is on the phone in the background .,contrast-01,contrast,N/A,outdoors,man-made,transportation_urban,NA
115,two girls crouch in front of a garden of small shrubbery .,crouch-01,crouch,N/A,outdoors,man-made,transportation_urban,NA
117,a little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .,walk-01,walk,2,outdoors,natural,NA,field_forest
118,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,run-02,run,N/A,outdoors,natural,NA,field_forest
119,"a little girl stands in a backyard , holding a toy and looking into the camera .",stand-01,stand,N/A,outdoors,natural,NA,field_forest
120,this little girl is enjoying the spring weather after the long winter break .,enjoy-01,enjoy,N/A,outdoors,natural,NA,field_forest
121,"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",possible-01,possible,N/A,outdoors,man-made,transportation_urban,NA
122,seven people are running and one of them is a man wearing a blue t-shirt and red shorts,run-02,run,N/A,outdoors,man-made,transportation_urban,NA
123,people jogging together on a park sidewalk .,jog-01,jog,N/A,outdoors,man-made,transportation_urban,NA
124,a group of joggers running on the sidewalk .,group-01,group,N/A,outdoors,man-made,transportation_urban,NA
125,seven joggers run down a path .,run-02,run,1,outdoors,man-made,transportation_urban,NA
130,a woman sleeps under a blue and white blanket in a car .,sleep-01,sleep,N/A,indoors,man-made,transportation_urban,NA
131,firefighters converse with a man at the scene of an emergency .,converse-01,converse,N/A,outdoors,man-made,transportation_urban,NA
133,several firefighters are responding to an alarm .,respond-01,respond,N/A,outdoors,man-made,transportation_urban,NA
134,reflections from the firemen 's uniforms .,reflect-01,reflect,N/A,outdoors,man-made,transportation_urban,NA
135,firefighters are responding to an event .,respond-01,respond,N/A,outdoors,man-made,transportation_urban,NA
136,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,kneel-01,kneel,N/A,outdoors,natural,NA,body_of_water
138,people are doing various activities on the beach .,activity-06,activity,N/A,outdoors,natural,NA,body_of_water
139,people at beach looking for things in sand,look-01,look,N/A,outdoors,natural,NA,body_of_water
140,many people walking on beach .,walk-01,walk,2,outdoors,natural,NA,body_of_water
141,a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,create-01,create,N/A,outdoors,man-made,work_education,NA
142,a worker wearing a hard hat watching a large machine dig a trench in the dry dirt .,watch-01,watch,N/A,outdoors,man-made,work_education,NA
143,a man in blue overalls and a yellow hard hat is watching a huge machine work .,watch-01,watch,N/A,outdoors,man-made,work_education,NA
144,a man in a hard hat is wearing a blue shirt and blue jean overalls .,wear-01,wear,N/A,outdoors,man-made,work_education,NA
145,a man in a hard hat looks at some machinery .,look-01,look,N/A,outdoors,man-made,work_education,NA
147,a boy wearing a red shirt is riding his bike right next to a mound of dirt .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
148,a group of boys are riding their bikes around a big pile of dirt .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
149,kids are riding bikes near a dirt mound in the street .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
150,the kids are riding bikes in the pile of dirt .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
151,a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,throw-01,throw,N/A,indoors,man-made,recreation,NA
153,a man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .,bowl-01,bowl,N/A,indoors,man-made,recreation,NA
154,a man stand there after rolling a bowling ball down a lane .,stand-01,stand,2,indoors,man-made,recreation,NA
155,man finished throwing bowling ball towards bowling pins .,finish-01,finish,N/A,indoors,man-made,recreation,NA
156,a little boy rides a bike down a hill on a miniature dirt bike .,ride-01,ride,N/A,outdoors,man-made,recreation,NA
157,a young boy in a helmet rides a bike on the road .,ride-01,ride,N/A,outdoors,man-made,recreation,NA
158,a child with a helmet on his head rides a bike .,ride-01,ride,N/A,outdoors,man-made,recreation,NA
159,the young boy pedals quickly at a bmx race .,pedal-01,pedal,N/A,outdoors,man-made,recreation,NA
160,the little boy rides his bicycle in a race .,ride-01,ride,N/A,outdoors,man-made,recreation,NA
161,a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,travel-01,travel,1,outdoors,man-made,transportation_urban,NA
162,people cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .,cram-01,cram,N/A,outdoors,man-made,transportation_urban,NA
163,"a rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .",travel-01,travel,N/A,outdoors,man-made,transportation_urban,NA
164,"a group of people riding in the back of a truck , down the road , in a country area .",ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
166,a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,try-01,try,N/A,outdoors,man-made,recreation,NA
167,"men playing volleyball , with one player missing the ball but hands still in the air .",play-01,play,N/A,outdoors,man-made,recreation,NA
168,a group of spectators watch a men 's sand volleyball game .,watch-01,watch,N/A,outdoors,man-made,recreation,NA
169,volleyball players compete on a sunny day at the beach .,compete-01,compete,N/A,outdoors,man-made,recreation,NA
170,men playing volleyball in the sand .,play-01,play,N/A,outdoors,man-made,recreation,NA
171,a man kneels on the ground doing some sort of project on his own .,kneel-01,kneel,N/A,outdoors,man-made,transportation_urban,NA
173,"a short , brown hair girl is assembling a pink roof cover .",assemble-01,assemble,N/A,outdoors,man-made,transportation_urban,NA
174,a woman assembles a white metal frame on the sidewalk .,assemble-01,assemble,N/A,outdoors,man-made,transportation_urban,NA
175,a young woman sands down an old shelf .,sands-02,sands,N/A,outdoors,man-made,transportation_urban,NA
176,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,climb-01,climb,N/A,indoors,man-made,recreation,NA
177,a woman in blue shorts and a white shirt is indoor rock climbing .,climb-01,climb,N/A,indoors,man-made,recreation,NA
179,woman climbing an artificial rock wall .,climb-01,climb,N/A,indoors,man-made,recreation,NA
180,the girl is climbing a rock wall .,climb-01,climb,N/A,indoors,man-made,recreation,NA
182,"a woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork .",kneel-01,kneel,N/A,outdoors,man-made,work_education,NA
185,a girl holding a coffee cup is writing outside .,write-01,write,N/A,outdoors,man-made,work_education,NA
186,a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,ride-01,ride,N/A,outdoors,natural,NA,field_forest
188,a woman rides a horse near a frozen lake in the winter time .,ride-01,ride,N/A,outdoors,natural,NA,field_forest
189,woman n blue jacket sits on daft horse near a frozen lake .,sit-01,sit,2,outdoors,natural,NA,field_forest
190,a woman in a blue jacket rides a brown pony near water .,ride-01,ride,N/A,outdoors,natural,NA,field_forest
191,"a person climbs a tall , flat mountain while holding onto a safety rope .",climb-01,climb,N/A,outdoors,natural,NA,mountain
192,a person is climbing a rock while holding onto a white rope .,climb-01,climb,N/A,outdoors,natural,NA,mountain
193,a person climbing down a sheer rock cliff using a rope,climb-01,climb,N/A,outdoors,natural,NA,mountain
194,a person wearing a red vest climbs up a steep rock .,climb-01,climb,N/A,outdoors,natural,NA,mountain
195,a person rappels down a steep incline .,rappel-01,rappel,N/A,outdoors,natural,NA,mountain
196,a group of hikers are resting on the ground in front of some mountains .,rest-01,rest,N/A,outdoors,natural,NA,mountain
197,several hikers rest with their gear in front of a mountain .,rest-01,rest,N/A,outdoors,natural,NA,mountain
198,the group of hikers is resting in front of a mountain .,rest-01,rest,N/A,outdoors,natural,NA,mountain
199,people camp with the mountains in the background .,camp-02,camp,N/A,outdoors,natural,NA,mountain
200,a group of backpackers lay on the dry ground .,lay-01,lay,N/A,outdoors,natural,NA,mountain
201,a group of african american children with their arms above their heads and happy expressions on their faces .,group-01,group,N/A,indoors,man-made,work_education,NA
203,many young dark complected children raising their arms in the air in excitement .,raise-01,raise,N/A,indoors,man-made,work_education,NA
205,a group of kids in class with their hands in the air .,group-01,group,N/A,indoors,man-made,work_education,NA
207,a woman wearing a brown headscarf works at a sewing machine .,work-01,work,N/A,indoors,man-made,work_education,NA
211,a woman smiles while holding several green peppers at a grocery stand .,smile-01,smile,N/A,indoors,man-made,work_education,NA
212,a young woman holds a red and green pepper at a vegetable stand .,hold-01,hold,N/A,indoors,man-made,work_education,NA
214,a woman smiles as she holds some bell peppers .,smile-01,smile,N/A,indoors,man-made,work_education,NA
216,a young boy is jumping through water being sprayed up from the ground .,jump-03,jump,N/A,outdoors,man-made,recreation,NA
217,a little boy playing in the water .,play-01,play,N/A,outdoors,man-made,recreation,NA
218,a boy plays in the fountains .,play-01,play,N/A,outdoors,man-made,recreation,NA
219,a child plays in a fountain .,play-01,play,N/A,outdoors,man-made,recreation,NA
220,a boy jumping in a fountain .,jump-03,jump,N/A,outdoors,man-made,recreation,NA
221,a yellow dog and a black and white dog are running in the dirt .,run-02,run,N/A,outdoors,natural,NA,field_forest
222,a blond dog and a black and white dog run in a dirt field .,run-02,run,N/A,outdoors,natural,NA,field_forest
223,two dogs are running in a field .,run-02,run,N/A,outdoors,natural,NA,field_forest
224,a dog chases another dog .,chase-01,chase,N/A,outdoors,natural,NA,field_forest
226,three people on atvs in a brown field turn their heads to look at the camera .,turn-01,turn,N/A,outdoors,natural,NA,field_forest
227,three people ride their four wheelers through the field .,ride-01,ride,N/A,outdoors,natural,NA,field_forest
229,three people on atv 's outside .,be-located-at-91,be,N/A,outdoors,natural,NA,field_forest
230,three people drive atvs .,drive-01,drive,N/A,outdoors,natural,NA,field_forest
231,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,jump-03,jump,N/A,outdoors,natural,NA,field_forest
233,a man on a four-wheeler jumps near a small building .,jump-03,jump,N/A,outdoors,natural,NA,field_forest
234,a man jumps gin the air while riding an atv,jump-03,jump,N/A,outdoors,natural,NA,field_forest
237,three guys riding on an elephant with a house-like structures and trees in the background .,ride-01,ride,N/A,outdoors,man-made,recreation,NA
239,three men seated on an elephant in a small village .,seat-01,seat,2,outdoors,man-made,recreation,NA
241,"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",smile-01,smile,N/A,indoors,man-made,domestic,NA
242,a boy in yellow glasses and red-haired girl pose for the camera .,pose-01,pose,N/A,indoors,man-made,domestic,NA
243,"two kids , one wearing glasses and a headlamp , are smiling .",smile-01,smile,N/A,indoors,man-made,domestic,NA
244,a boy in goggles plays with a read-haired girl .,play-01,play,N/A,indoors,man-made,domestic,NA
247,a man and woman wearing sunglasses sit halfway in the water .,sit-01,sit,2,outdoors,natural,NA,body_of_water
248,a boy and a girl holding hands while sitting on a shore .,hold-01,hold,N/A,outdoors,natural,NA,body_of_water
249,a couple with sunglasses are laying on the beach .,lay-01,lay,N/A,outdoors,natural,NA,body_of_water
250,a blond holding hands with a guy in the sand .,hold-01,hold,N/A,outdoors,natural,NA,body_of_water
252,a boy walks with a ball tucked under his arm .,walk-01,walk,N/A,outdoors,man-made,recreation,NA
253,a boy walks with a soccer ball near a fence .,walk-01,walk,N/A,outdoors,man-made,recreation,NA
254,small boy carries a soccer ball on a field .,carry-01,carry,N/A,outdoors,man-made,recreation,NA
255,a boy carrying a soccer ball .,carry-01,carry,N/A,outdoors,man-made,recreation,NA
256,a man in aerodynamic gear riding a bicycle down a road around a sharp curve .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
257,"man bicycle up a road , while cows graze on a hill nearby .",bicycle-01,bicycle,1,outdoors,man-made,transportation_urban,NA
258,a cyclist is riding a bicycle on a curved road up a hill .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
259,the biker is riding around a curve in the road .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
260,a man on a mountain bike is pedaling up a hill .,pedal-01,pedal,N/A,outdoors,man-made,transportation_urban,NA
261,"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",be-located-at-91,be,N/A,outdoors,man-made,work_education,NA
263,men are constructing a wall in the desert .,construct-01,construct,N/A,outdoors,man-made,work_education,NA
265,the men are working in the hot sun .,work-01,work,N/A,outdoors,man-made,work_education,NA
266,a small child and an adult walk on the beach in front of ocean waves .,walk-01,walk,2,outdoors,natural,NA,body_of_water
267,an adult and a child walk along the beach during the day .,walk-01,walk,2,outdoors,natural,NA,body_of_water
268,an adult and child walking along the beach on the sand .,walk-01,walk,2,outdoors,natural,NA,body_of_water
269,a woman and a child are walking on a beach .,walk-01,walk,2,outdoors,natural,NA,body_of_water
270,a man and a child walking down a beach .,walk-01,walk,2,outdoors,natural,NA,body_of_water
272,a man wearing a hat and a small boy in a bathing suit playing in the sand .,play-01,play,N/A,outdoors,natural,NA,body_of_water
273,an older person and a small boy play in the sand near the water .,play-01,play,N/A,outdoors,natural,NA,body_of_water
274,a person in a hat is playing with a boy on a beach .,play-01,play,N/A,outdoors,natural,NA,body_of_water
275,a father is playing with his child in the sand .,play-01,play,N/A,outdoors,natural,NA,body_of_water
276,two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
278,three oriental men are riding on a red moped scooter in the city with many people .,ride-01,ride,N/A,outdoors,man-made,transportation_urban,NA
279,a group of motorcyclist are ridding through the streets .,riddle-01,riddle,N/A,outdoors,man-made,transportation_urban,NA
281,people are eating in a cafeteria with a wood beam and glass ceiling .,eat-01,eat,N/A,indoors,man-made,restaurant,NA
285,lots of people eating in a restaurant .,eat-01,eat,N/A,indoors,man-made,restaurant,NA
288,a man is standing on top of a tall building that overlooks the city .,stand-01,stand,2,outdoors,man-made,transportation_urban,NA
289,a man walks across the field of view in front of a cityscape .,walk-01,walk,2,outdoors,man-made,transportation_urban,NA
290,a man with a hat walks along train tracks .,walk-01,walk,2,outdoors,man-made,transportation_urban,NA
291,a young girl does a handstand on a bed with blue sheets .,handstand-01,handstand,N/A,indoors,man-made,domestic,NA
293,a little girl standing on her head .,stand-01,stand,2,indoors,man-made,domestic,NA
294,a child is standing on her head .,stand-01,stand,2,indoors,man-made,domestic,NA
296,two girls with purple hair and a short-haired woman are smiling .,smile-01,smile,N/A,outdoors,man-made,other_unclear,NA
297,an older woman smiles on as two pink-haired women talk .,smile-01,smile,N/A,outdoors,man-made,other_unclear,NA
298,a mother and her two daughters having a happy moment .,have-03,have,N/A,outdoors,man-made,other_unclear,NA
299,the lady in the green shirt is laughing .,laugh-01,laugh,N/A,outdoors,man-made,other_unclear,NA
301,a man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .,walk-01,walk,N/A,outdoors,man-made,transportation_urban,NA
303,an asian man carrying a suitcase while talking on the phone and walking quickly .,carry-01,carry,N/A,outdoors,man-made,transportation_urban,NA
305,a businessman in a suit is running .,run-02,run,N/A,outdoors,man-made,transportation_urban,NA
306,a brown dog swims through water outdoors with a tennis ball in its mouth .,swim-01,swim,N/A,outdoors,natural,NA,body_of_water
307,"a red dog , holding a ball , splashes through vegetation filled water .",splash-01,splash,N/A,outdoors,natural,NA,body_of_water
308,a brown dog is running through neck-deep water carrying a tennis ball .,run-02,run,N/A,outdoors,natural,NA,body_of_water
309,a brown dog splashes in the water while carrying a ball in its mouth .,splash-01,splash,N/A,outdoors,natural,NA,body_of_water
311,"the little boy , in a short-sleeved shirt and shorts , is running outside .",run-02,run,N/A,outdoors,man-made,other_unclear,NA
313,little boy in a striped shirt and brown shorts is running .,run-02,run,N/A,outdoors,man-made,other_unclear,NA
314,young boy running outside on the pavement .,run-02,run,N/A,outdoors,man-made,other_unclear,NA
315,a young boy runs while wearing sandals .,run-02,run,N/A,outdoors,man-made,other_unclear,NA
316,a young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .,hold-01,hold,N/A,indoors,man-made,work_education,NA
317,a man carrying an electric saw and a square board inside of a shop .,carry-01,carry,N/A,indoors,man-made,work_education,NA
318,a boy in a gray hoodie holds up a chainsaw .,hold-01,hold,N/A,indoors,man-made,work_education,NA
321,a man in a white shirt lays cement on a brick wall .,lay-01,lay,N/A,outdoors,man-made,domestic,NA
322,a bricklayer smoothing out concrete .,smooth-out-03,smooth,N/A,outdoors,man-made,domestic,NA
323,a man is happily laying bricks .,lay-01,lay,N/A,outdoors,man-made,domestic,NA
324,a man is putting up a wall .,put-up-11,put,N/A,outdoors,man-made,domestic,NA
325,a man is mortaring bricks .,mortar-01,mortar,N/A,outdoors,man-made,domestic,NA
326,"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",reach-03,reach,N/A,indoors,man-made,work_education,NA
328,a man in a brown shirt prepares to close the door .,prepare-02,prepare,N/A,indoors,man-made,work_education,NA
329,a delivery man exiting the back of a truck .,exit-01,exit,1,indoors,man-made,work_education,NA
332,a man in a blue t-shirt kisses a woman in a white tank top holding a drink at a bar .,kiss-01,kiss,N/A,indoors,man-made,recreation,NA
333,a man in a blue shirt is kissing a woman in a white shirt on the cheek .,kiss-01,kiss,N/A,indoors,man-made,recreation,NA
334,a man in a blue shirt is kissing a woman with blond-hair on the cheek .,kiss-01,kiss,N/A,indoors,man-made,recreation,NA
335,a man is kissing a woman holding a drink .,kiss-01,kiss,N/A,indoors,man-made,recreation,NA
337,"in a crowd of young people at a bar , a man stands displaying the rock and roll sign .",stand-01,stand,N/A,indoors,man-made,restaurant,NA
338,"a man is making a "" rock "" gesture while standing on a stool in a crowded bar .",gesture-01,gesture,N/A,indoors,man-made,restaurant,NA
339,a single man in a black t-shirt standing above the crowd at a busy bar .,stand-01,stand,2,indoors,man-made,restaurant,NA
341,odd looking young adult playing around a large tree that has big roots .,play-01,play,N/A,outdoors,natural,NA,other_unclear
343,people wearing costumes standing in front of a large tree .,stand-01,stand,2,outdoors,natural,NA,other_unclear
344,a man and a woman play on a tree while others look on .,play-01,play,N/A,outdoors,natural,NA,other_unclear
345,people play on a big tree .,play-01,play,N/A,outdoors,natural,NA,other_unclear
346,a young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .,kneel-01,kneel,N/A,outdoors,man-made,recreation,NA
347,"a little girl kneels on a ledge at the edge of a fence , with a bucket in front of her .",kneel-01,kneel,N/A,outdoors,man-made,recreation,NA
