sentence,q1,q2,q3,q4,img_file
"a young man wearing a baseball cap brushes at the base of a statue of jesus christ , during the day .",outdoors,man-made,recreation,NA,1145718750.jpg
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,outdoors,man-made,other_unclear,NA,1148889628.jpg
five asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .,indoors,man-made,work_education,NA,115125072.jpg
a young girl wears a shirt and shorts as she plays in the ocean 's surf .,outdoors,natural,NA,body_of_water,1151466868.jpg
a young girl wearing a blue shirt marching in a band playing a trumpet,outdoors,man-made,recreation,NA,1153704539.jpg
a man in a baseball cap cleans out a blue colored pit outside where colorful christmas lights hang above him .,outdoors,man-made,recreation,NA,1158897994.jpg
a barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .,indoors,man-made,domestic,NA,115903799.jpg
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,outdoors,man-made,transportation_urban,NA,1163297375.jpg
a man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,indoors,man-made,domestic,NA,1164765687.jpg
an elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .,indoors,man-made,domestic,NA,116482438.jpg
a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,outdoors,man-made,recreation,NA,1167144956.jpg
a man standing in a bar with a neon beer sign hanging on the wall,indoors,man-made,recreation,NA,1167908324.jpg
closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .,indoors,man-made,domestic,NA,117478651.jpg
"a mac laptop , open , on top of a blue chair in a room with a group of people sitting in a semicircle around it .",indoors,man-made,work_education,NA,117883760.jpg
a small boy smiles as he stands with others wearing the same black hats .,outdoors,man-made,recreation,NA,118309463.jpg
a family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .,outdoors,man-made,transportation_urban,NA,1184340890.jpg
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",outdoors,man-made,recreation,NA,118647903.jpg
a man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .,outdoors,man-made,domestic,NA,1187252153.jpg
"a young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .",outdoors,natural,NA,body_of_water,1190083977.jpg
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",indoors,man-made,restaurant,NA,119364730.jpg
a man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,outdoors,man-made,transportation_urban,NA,1198194316.jpg
a crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .,outdoors,man-made,recreation,NA,120058071.jpg
"a man in a striped red polo shirt , tan khakis , and a nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .",outdoors,man-made,recreation,NA,120538235.jpg
"some people with black belts , or black and red belts , are performing martial arts on a green mat .",outdoors,man-made,recreation,NA,120545123.jpg
"a man in some sort of establishment , smiling while he is taking off or putting on glasses .",indoors,man-made,restaurant,NA,121197973.jpg
five adults are playing cards while sitting outside at a picnic table in their backyard .,outdoors,man-made,domestic,NA,1215318051.jpg
two young girls are playing and laughing in a green grassy yard .,outdoors,man-made,recreation,NA,1220401002.jpg
a group of people in a coffee shop at night have coffee and juice together .,indoors,man-made,restaurant,NA,122427967.jpg
a lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .,outdoors,man-made,domestic,NA,1230594535.jpg
