group_number,sentence,group_variance
11,a brown dog running on a lawn near a garden hose,0.4700497716426435
11,a brown dog plays with the hose .,0.4700497716426435
11,a dog is playing with a hose .,0.4700497716426435
12,a man and a little girl happily posing in front of their cart in a supermarket .,0.5134702443325061
12,a man sitting with his daughter in his daughter 's pink car in a grocery store .,0.5134702443325061
12,a man is sitting on a pink cart with a little girl in the grocery store .,0.5134702443325061
12,a man with his daughter sitting on a stroller in a supermarket .,0.5134702443325061
12,the little girl and the man are smiling .,0.5134702443325061
13,two young men and a young lady walk through a field near the water .,0.46513855704940177
13,three people walking through a beautiful meadow towards the ocean .,0.46513855704940177
13,two men and a woman are walking through a field .,0.46513855704940177
13,two males and one female walking on a path .,0.46513855704940177
13,three people walking on a path in a meadow .,0.46513855704940177
14,"five snowmobile riders all wearing helmets and goggles line up in a snowy clearing in a forest in front of their snowmobiles ; they are all wearing black snow pants and from left to right they are wearing a black coat , white coat , red coat , blue coat , and black coat .",0.43322394830722466
14,"five people wearing winter jackets and helmets stand in the snow , with snowmobiles in the background .",0.43322394830722466
14,"five people wearing winter clothing , helmets , and ski goggles stand outside in the snow .",0.43322394830722466
14,a group of snowmobile riders gather in the snow .,0.43322394830722466
14,group gathered to go snowmobiling .,0.43322394830722466
15,"two men , one younger guy with a yellow shirt that has luggage and the other and older guy , are sitting on a bench in front of a large building that has a billboard for glasses and sunglasses .",0.4968074517548091
15,"a man in a yellow shirt , with a tall gray suitcase , sitting next to another man in a white shirt and gray pants , behind them a tall billboard for sunglasses and prescription glasses .",0.4968074517548091
15,"two men sitting on a bench talking , with a billboard advertisement for glasses in the background .",0.4968074517548091
15,two men sitting on a bench in front of a sign with a picture of man and a lady .,0.4968074517548091
15,<number> men are sitting at a bench outside the airport in front of a billboard .,0.4968074517548091
16,the man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,0.5221888307046765
16,a man in black is sitting next to a modern art structure in front of a glass building .,0.5221888307046765
16,a man sits and reads a newspaper by a sculpture outside of an office building .,0.5221888307046765
16,a man sitting in front of a metal sculpture in front of a building .,0.5221888307046765
16,a man sits near a large statue .,0.5221888307046765
17,a toddler in a blue shirt with red shorts and hat looks out from behind a fenced in area of a brick patio .,0.7927381589804057
17,a young child wearing a blue shirt and red hat grabs onto black bars in front of him .,0.7927381589804057
17,"the little boy looks like he is saying , let me out of jail .",0.7927381589804057
17,toddler boy in a red hat holding on to some railings .,0.7927381589804057
17,little boy wanting to play outside of fence .,0.7927381589804057
18,a small boy putting something in his mouth with both hands .,0.7552514768557144
18,a boy bites hard into a treat while he sits outside .,0.7552514768557144
18,the boy eats his food outside at the table .,0.7552514768557144
18,the boy is eating pizza over a tin dish .,0.7552514768557144
18,a child biting into a baked good .,0.7552514768557144
19,a person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,0.6881378487955034
19,a girl playing softball hits the ball almost directly downwards,0.6881378487955034
19,a young girl is playing baseball and is striking out .,0.6881378487955034
19,a girl hitting a softball but she missed the ball .,0.6881378487955034
19,the batter missed the ball .,0.6881378487955034
20,a man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,0.429205381552892
20,a man wearing a life jacket is in a small boat on a lake with a ferry in view .,0.429205381552892
20,a man wearing a red life-vest is sitting in a canoe on a body of water .,0.429205381552892
20,a balding man wearing a red life jacket is sitting in a small boat .,0.429205381552892
20,a man in a red life vest is riding in a canoe .,0.429205381552892
21,someone is standing on a long bridge with a cloudy blue sky in the background .,0.4667586838638995
21,a solitary man stand on a bridge in the evening .,0.4667586838638995
21,one person is standing on a bridge at night .,0.4667586838638995
21,person crossing a bridge in dim light .,0.4667586838638995
21,a man stands on a bridge at night .,0.4667586838638995
22,"this little baby girl dressed whimsically in striped pantaloons is pictured so that one must ask which is bigger , her feet or her sleepy smile .",0.6586850546675178
22,a sleeping baby is in someone 's arms and wearing a pink striped outfit,0.6586850546675178
22,a sleeping baby in a pink striped outfit .,0.6586850546675178
22,a little baby cradled in someones arms .,0.6586850546675178
22,a little baby is wearing purple pants .,0.6586850546675178
23,"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",0.6247281598480283
23,"two women squatting on the sidewalk looking at plants , one in black shirt , shorts and pink sandals , the other in a white shirt , black shorts talking on a cellphone .",0.6247281598480283
23,a little girl is looking at some plants while another is on the phone in the background .,0.6247281598480283
23,two girls crouch in front of some bushes and talk on their phones .,0.6247281598480283
23,two girls crouch in front of a garden of small shrubbery .,0.6247281598480283
24,a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,0.7038107618163538
24,a little girl wearing a dress walks across a green lawn on a summer day with a home and trees in the background .,0.7038107618163538
24,a child in a dress runs through the yard with a miniature orange soccer ball in her hand .,0.7038107618163538
24,"a little girl stands in a backyard , holding a toy and looking into the camera .",0.7038107618163538
24,this little girl is enjoying the spring weather after the long winter break .,0.7038107618163538
25,"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",0.5790035385885277
25,seven people are running and one of them is a man wearing a blue t-shirt and red shorts,0.5790035385885277
25,people jogging together on a park sidewalk .,0.5790035385885277
25,a group of joggers running on the sidewalk .,0.5790035385885277
25,seven joggers run down a path .,0.5790035385885277
26,pink shirted woman sleeping in a car with blue and white blanket on her .,0.3116181081639626
26,a woman in a pink shirt wrapped up in a blue blanket asleep in a car .,0.3116181081639626
26,a woman in a red shirt is under a blanket and sleeping in a vehicle .,0.3116181081639626
26,a lady with brown hair in a pink shirt sleeping in a car .,0.3116181081639626
26,a woman sleeps under a blue and white blanket in a car .,0.3116181081639626
27,firefighters converse with a man at the scene of an emergency .,0.5323284774878028
27,firefighters wear reflective uniforms and stare upwards .,0.5323284774878028
27,several firefighters are responding to an alarm .,0.5323284774878028
27,reflections from the firemen 's uniforms .,0.5323284774878028
27,firefighters are responding to an event .,0.5323284774878028
28,a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,0.6739608472539924
28,"a beach with blue and red boats , with people on shore",0.6739608472539924
28,people are doing various activities on the beach .,0.6739608472539924
28,people at beach looking for things in sand,0.6739608472539924
28,many people walking on beach .,0.6739608472539924
29,a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,0.5724032849126273
29,a worker wearing a hard hat watching a large machine dig a trench in the dry dirt .,0.5724032849126273
29,a man in blue overalls and a yellow hard hat is watching a huge machine work .,0.5724032849126273
29,a man in a hard hat is wearing a blue shirt and blue jean overalls .,0.5724032849126273
29,a man in a hard hat looks at some machinery .,0.5724032849126273
30,kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,0.46164176747532615
30,a boy wearing a red shirt is riding his bike right next to a mound of dirt .,0.46164176747532615
30,a group of boys are riding their bikes around a big pile of dirt .,0.46164176747532615
30,kids are riding bikes near a dirt mound in the street .,0.46164176747532615
30,the kids are riding bikes in the pile of dirt .,0.46164176747532615
31,a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,0.4447435378066862
31,a guy wearing all black at a bowling alley standing in front of a lane with a black bowling ball in it .,0.4447435378066862
31,a man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes .,0.4447435378066862
31,a man stand there after rolling a bowling ball down a lane .,0.4447435378066862
31,man finished throwing bowling ball towards bowling pins .,0.4447435378066862
32,a little boy rides a bike down a hill on a miniature dirt bike .,0.6119927507957179
32,a young boy in a helmet rides a bike on the road .,0.6119927507957179
32,a child with a helmet on his head rides a bike .,0.6119927507957179
32,the young boy pedals quickly at a bmx race .,0.6119927507957179
32,the little boy rides his bicycle in a race .,0.6119927507957179
33,a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,0.463669663411884
33,people cram together in the back of a truck that is heading through green rolling hills while passing a pedestrian along the way .,0.463669663411884
33,"a rickety old truck , stuffed to overflowing with men , is traveling down a country road on the left hand side .",0.463669663411884
33,"a group of people riding in the back of a truck , down the road , in a country area .",0.463669663411884
33,many men on the back of a pick up truck going down a road .,0.463669663411884
34,a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,0.5672312064021261
34,"men playing volleyball , with one player missing the ball but hands still in the air .",0.5672312064021261
34,a group of spectators watch a men 's sand volleyball game .,0.5672312064021261
34,volleyball players compete on a sunny day at the beach .,0.5672312064021261
34,men playing volleyball in the sand .,0.5672312064021261
35,a man kneels on the ground doing some sort of project on his own .,0.9369347512476391
35,woman with blue gloves working on the sidewalk with some cleaner,0.9369347512476391
35,"a short , brown hair girl is assembling a pink roof cover .",0.9369347512476391
35,a woman assembles a white metal frame on the sidewalk .,0.9369347512476391
35,a young woman sands down an old shelf .,0.9369347512476391
36,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,0.5819960424166011
36,a woman in blue shorts and a white shirt is indoor rock climbing .,0.5819960424166011
36,"the girl is in a harness , climbing rocks .",0.5819960424166011
36,woman climbing an artificial rock wall .,0.5819960424166011
36,the girl is climbing a rock wall .,0.5819960424166011
37,"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",0.564155752993833
37,"a woman in a green shirt and jeans kneels on a stoop with coffee in hand , her purse beside her and a large door behind her , as she fills out paperwork .",0.564155752993833
37,"a woman is sitting on the steps in front of a large black door , writing in a notebook .",0.564155752993833
37,"a woman sitting down on steps , writing something down with a door behind her .",0.564155752993833
37,a girl holding a coffee cup is writing outside .,0.564155752993833
38,a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,0.37429659905708523
38,a young blond woman sitting atop a brown draft horse in the snowy mountains .,0.37429659905708523
38,a woman rides a horse near a frozen lake in the winter time .,0.37429659905708523
38,woman n blue jacket sits on daft horse near a frozen lake .,0.37429659905708523
38,a woman in a blue jacket rides a brown pony near water .,0.37429659905708523
39,"a person climbs a tall , flat mountain while holding onto a safety rope .",0.5235830225837903
39,a person is climbing a rock while holding onto a white rope .,0.5235830225837903
39,a person climbing down a sheer rock cliff using a rope,0.5235830225837903
39,a person wearing a red vest climbs up a steep rock .,0.5235830225837903
39,a person rappels down a steep incline .,0.5235830225837903
40,a group of hikers are resting on the ground in front of some mountains .,0.4533035071146223
40,several hikers rest with their gear in front of a mountain .,0.4533035071146223
40,the group of hikers is resting in front of a mountain .,0.4533035071146223
40,people camp with the mountains in the background .,0.4533035071146223
40,a group of backpackers lay on the dry ground .,0.4533035071146223
41,a group of african american children with their arms above their heads and happy expressions on their faces .,0.4635782868104279
41,a group of african-american children have their hands up in the air singing or shouting in a classroom .,0.4635782868104279
41,many young dark complected children raising their arms in the air in excitement .,0.4635782868104279
41,the children are singing and holding their arms in the air .,0.4635782868104279
41,a group of kids in class with their hands in the air .,0.4635782868104279
42,a young black person wearing a green shirt and a jacket using a sewing machine .,0.5642970512360419
42,a woman wearing a brown headscarf works at a sewing machine .,0.5642970512360419
42,woman meticulously working with a sewing machine .,0.5642970512360419
42,a black woman using a sowing machine .,0.5642970512360419
42,woman with a brown headscarf sewing .,0.5642970512360419
43,a woman smiles while holding several green peppers at a grocery stand .,0.5288071387428293
43,a young woman holds a red and green pepper at a vegetable stand .,0.5288071387428293
43,a girl working at a farm market selling peppers .,0.5288071387428293
43,a woman smiles as she holds some bell peppers .,0.5288071387428293
43,woman with a tank top buying green peppers .,0.5288071387428293
44,a young boy is jumping through water being sprayed up from the ground .,0.498551776653402
44,a little boy playing in the water .,0.498551776653402
44,a boy plays in the fountains .,0.498551776653402
44,a child plays in a fountain .,0.498551776653402
44,a boy jumping in a fountain .,0.498551776653402
45,a yellow dog and a black and white dog are running in the dirt .,0.5590372605050451
45,a blond dog and a black and white dog run in a dirt field .,0.5590372605050451
45,two dogs are running in a field .,0.5590372605050451
45,a dog chases another dog .,0.5590372605050451
45,two dogs running around,0.5590372605050451
46,three people on atvs in a brown field turn their heads to look at the camera .,0.2903298567182653
46,three people ride their four wheelers through the field .,0.2903298567182653
46,three people on four wheel atv 's in a field .,0.2903298567182653
46,three people on atv 's outside .,0.2903298567182653
46,three people drive atvs .,0.2903298567182653
47,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,0.57241210915255
47,an atv is airborne over a field in front of a white structure .,0.57241210915255
47,a man on a four-wheeler jumps near a small building .,0.57241210915255
47,a man jumps gin the air while riding an atv,0.57241210915255
47,man on four wheeler in the air .,0.57241210915255
48,three men are riding on an elephant with a shack in the background and two of them are wearing hats .,0.2915078132881652
48,three guys riding on an elephant with a house-like structures and trees in the background .,0.2915078132881652
48,"three young men are riding an elephant , sitting in what 's called a howdah .",0.2915078132881652
48,three men seated on an elephant in a small village .,0.2915078132881652
48,two men and a shirtless boy are on an elephant .,0.2915078132881652
49,"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",0.8361226275674367
49,a boy in yellow glasses and red-haired girl pose for the camera .,0.8361226275674367
49,"two kids , one wearing glasses and a headlamp , are smiling .",0.8361226275674367
49,a boy in goggles plays with a read-haired girl .,0.8361226275674367
49,a crowd of people outside .,0.8361226275674367
50,"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",0.6511538204553187
50,a man and woman wearing sunglasses sit halfway in the water .,0.6511538204553187
50,a boy and a girl holding hands while sitting on a shore .,0.6511538204553187
50,a couple with sunglasses are laying on the beach .,0.6511538204553187
50,a blond holding hands with a guy in the sand .,0.6511538204553187
51,a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,0.3877638002879842
51,a boy walks with a ball tucked under his arm .,0.3877638002879842
51,a boy walks with a soccer ball near a fence .,0.3877638002879842
51,small boy carries a soccer ball on a field .,0.3877638002879842
51,a boy carrying a soccer ball .,0.3877638002879842
52,a man in aerodynamic gear riding a bicycle down a road around a sharp curve .,0.5822662290892486
52,"man bicycle up a road , while cows graze on a hill nearby .",0.5822662290892486
52,a cyclist is riding a bicycle on a curved road up a hill .,0.5822662290892486
52,the biker is riding around a curve in the road .,0.5822662290892486
52,a man on a mountain bike is pedaling up a hill .,0.5822662290892486
53,"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",0.5207767645253067
53,"a group of workers in the desert , two with wheel barrels and two just standing around .",0.5207767645253067
53,men are constructing a wall in the desert .,0.5207767645253067
53,men pushing wheelbarrows in the desert .,0.5207767645253067
53,the men are working in the hot sun .,0.5207767645253067
54,a small child and an adult walk on the beach in front of ocean waves .,0.26994895537370156
54,an adult and a child walk along the beach during the day .,0.26994895537370156
54,an adult and child walking along the beach on the sand .,0.26994895537370156
54,a woman and a child are walking on a beach .,0.26994895537370156
54,a man and a child walking down a beach .,0.26994895537370156
55,"older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .",0.4241372044550282
55,a man wearing a hat and a small boy in a bathing suit playing in the sand .,0.4241372044550282
55,an older person and a small boy play in the sand near the water .,0.4241372044550282
55,a person in a hat is playing with a boy on a beach .,0.4241372044550282
55,a father is playing with his child in the sand .,0.4241372044550282
56,two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,0.5967858026559387
56,"three young men , two riding a motorbike on a busy street , looking at something and smiling .",0.5967858026559387
56,three oriental men are riding on a red moped scooter in the city with many people .,0.5967858026559387
56,a group of motorcyclist are ridding through the streets .,0.5967858026559387
56,boys on a motor-scooter riding down a busy urban street .,0.5967858026559387
57,people are eating in a cafeteria with a wood beam and glass ceiling .,0.6273579250744907
57,people sitting in a restaurant eating and one is reading the paper .,0.6273579250744907
57,a restaurant filled with chairs and consumers .,0.6273579250744907
57,people sitting and eating inside a diner .,0.6273579250744907
57,lots of people eating in a restaurant .,0.6273579250744907
58,a man is crossing the street and in the distance you can see a building under construction .,0.7703542953086799
58,this is a man standing on a rooftop with construction in the background .,0.7703542953086799
58,a man is standing on top of a tall building that overlooks the city .,0.7703542953086799
58,a man walks across the field of view in front of a cityscape .,0.7703542953086799
58,a man with a hat walks along train tracks .,0.7703542953086799
59,a young girl does a handstand on a bed with blue sheets .,0.4983595395239755
59,a small child doing a handstand on a bed .,0.4983595395239755
59,a little girl standing on her head .,0.4983595395239755
59,a child is standing on her head .,0.4983595395239755
59,the girl is upside down on a bed,0.4983595395239755
60,two girls with purple hair and a short-haired woman are smiling .,0.7553307063011889
60,an older woman smiles on as two pink-haired women talk .,0.7553307063011889
60,a mother and her two daughters having a happy moment .,0.7553307063011889
60,the lady in the green shirt is laughing .,0.7553307063011889
60,a woman and two girls dressed in pink .,0.7553307063011889
61,a man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .,0.5830023884617388
61,"a man in a black suit and briefcase hurrying somewhere , while talking on his cellphone .",0.5830023884617388
61,an asian man carrying a suitcase while talking on the phone and walking quickly .,0.5830023884617388
61,a man in a suit is walking and carrying a briefcase .,0.5830023884617388
61,a businessman in a suit is running .,0.5830023884617388
62,a brown dog swims through water outdoors with a tennis ball in its mouth .,0.36696156534107605
62,"a red dog , holding a ball , splashes through vegetation filled water .",0.36696156534107605
62,a brown dog is running through neck-deep water carrying a tennis ball .,0.36696156534107605
62,a brown dog splashes in the water while carrying a ball in its mouth .,0.36696156534107605
62,"brown dog with tennis ball in mouth , in water and bushes .",0.36696156534107605
63,"the little boy , in a short-sleeved shirt and shorts , is running outside .",0.6352049323767757
63,the little boy is wearing a black pinstripe shirt and walking on a deck .,0.6352049323767757
63,little boy in a striped shirt and brown shorts is running .,0.6352049323767757
63,young boy running outside on the pavement .,0.6352049323767757
63,a young boy runs while wearing sandals .,0.6352049323767757
64,a young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .,0.6029651486701431
64,a man carrying an electric saw and a square board inside of a shop .,0.6029651486701431
64,a boy in a gray hoodie holds up a chainsaw .,0.6029651486701431
64,a young man holding a huge chainsaw .,0.6029651486701431
64,a man holding a chainsaw .,0.6029651486701431
65,a man in a white shirt lays cement on a brick wall .,0.5697453296393409
65,a bricklayer smoothing out concrete .,0.5697453296393409
65,a man is happily laying bricks .,0.5697453296393409
65,a man is putting up a wall .,0.5697453296393409
65,a man is mortaring bricks .,0.5697453296393409
66,"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",0.6674256263139133
66,a man is inside a truck looking out with his left arm in front of a door .,0.6674256263139133
66,a man in a brown shirt prepares to close the door .,0.6674256263139133
66,a delivery man exiting the back of a truck .,0.6674256263139133
66,a man opening a door and looking out .,0.6674256263139133
67,a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,0.4250517592021297
67,a man in a blue t-shirt kisses a woman in a white tank top holding a drink at a bar .,0.4250517592021297
67,a man in a blue shirt is kissing a woman in a white shirt on the cheek .,0.4250517592021297
67,a man in a blue shirt is kissing a woman with blond-hair on the cheek .,0.4250517592021297
67,a man is kissing a woman holding a drink .,0.4250517592021297
68,"a group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .",0.5870014797432752
68,"in a crowd of young people at a bar , a man stands displaying the rock and roll sign .",0.5870014797432752
68,"a man is making a "" rock "" gesture while standing on a stool in a crowded bar .",0.5870014797432752
68,a single man in a black t-shirt standing above the crowd at a busy bar .,0.5870014797432752
68,people enjoying drinks in a crowded bar .,0.5870014797432752
69,odd looking young adult playing around a large tree that has big roots .,0.6623976448301008
69,a guy with five girls out climbing on an old tree in a park area .,0.6623976448301008
69,people wearing costumes standing in front of a large tree .,0.6623976448301008
69,a man and a woman play on a tree while others look on .,0.6623976448301008
69,people play on a big tree .,0.6623976448301008
70,a young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .,0.5512436814258255
70,"a little girl kneels on a ledge at the edge of a fence , with a bucket in front of her .",0.5512436814258255
70,a young girl with brown hair and glasses is kneeling near a bucket and fence .,0.5512436814258255
70,a young lady sits in front of a fence with a bucket .,0.5512436814258255
70,a girl with dirty hands seems to be happy outside .,0.5512436814258255
71,"a young man wearing a baseball cap brushes at the base of a statue of jesus christ , during the day .",0.6023636567136856
71,a young boy dusts and cleans bronze statues at his summer job .,0.6023636567136856
71,a young man cleaning a statue with a brush .,0.6023636567136856
71,a man in a red shirt is painting a statue .,0.6023636567136856
71,a person wearing a hat cleaning a statute .,0.6023636567136856
72,a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,0.522491956363881
72,workman standing on scaffolding against the new york city skyline .,0.522491956363881
72,a man stands on a scaffold his back facing away looking at a city .,0.522491956363881
72,a construction worker is building scaffolding for the job .,0.522491956363881
72,a construction worker assembles a scaffold .,0.522491956363881
73,five asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .,0.47163691294897525
73,a five person surgical team is about to perform an operation in a hospital .,0.47163691294897525
73,doctors wearing green scrubs are performing surgery on a patient,0.47163691294897525
73,group of doctors wearing green outfit perform a surgery .,0.47163691294897525
73,medical professionals are wearing green scrubs .,0.47163691294897525
74,a young girl wears a shirt and shorts as she plays in the ocean 's surf .,0.6167712683373363
74,a small girl spins in the waves in the bright sun .,0.6167712683373363
74,girl running through the water near the shore .,0.6167712683373363
74,the little girl splashes through the water .,0.6167712683373363
74,a young girl plays in shallow water .,0.6167712683373363
75,a young girl wearing a blue shirt marching in a band playing a trumpet,0.44741773604305646
75,girl wearing blue shirt and black shorts plays trumped outside .,0.44741773604305646
75,a teenager plays her trumpet on the field at a game .,0.44741773604305646
75,a girl playing trumpet in a marching band .,0.44741773604305646
75,girl playing the trumpet in a marching band,0.44741773604305646
76,a man in a baseball cap cleans out a blue colored pit outside where colorful christmas lights hang above him .,0.5748810621656917
76,a man in a baseball tee-shirt is sweeping what appears to be an empty pond in a festive looking backyard .,0.5748810621656917
76,"a man is sweeping a large blue surface that has "" rock bowl "" written on it .",0.5748810621656917
76,a man is sweeping the bottom of an empty shallow pool .,0.5748810621656917
76,"guy in a hat , he is cleaning out an empty pool .",0.5748810621656917
77,a barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .,0.48890979953735947
77,"a little girl dressed in a princess costume , asleep on a wood floor .",0.48890979953735947
77,there is a girl in all pink sleeping on the floor with her dolls .,0.48890979953735947
77,a girl sleeping with a baby doll wearing a princess costume,0.48890979953735947
77,a child dressed in a princess outfit sleeping .,0.48890979953735947
78,blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,0.6967753680545767
78,"a girl wearing a striped shirt , plaid shorts , and a baseball hat is on a bike , pulling a man in a red cart with a black top .",0.6967753680545767
78,a blond girl in plaid shorts is driving a bearded man around the city in a bicycle taxi .,0.6967753680545767
78,a woman with a baseball cap on riding a bike while pulling a man sitting in a cart .,0.6967753680545767
78,a girl driving a rickshaw at night with a man as her passenger .,0.6967753680545767
79,a man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,0.5453877902613815
79,a man playing with his dog on the blanket on the floor .,0.5453877902613815
79,a man in a red shirt is giving toys to a small dog .,0.5453877902613815
79,a man playing with a black dog on a white blanket .,0.5453877902613815
79,a man is playing tug-of-war with his dog .,0.5453877902613815
80,an elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .,0.48450696322195697
80,an elderly woman sitting in a rocking chair with a blanket and book in her lap .,0.48450696322195697
80,an older lady is sitting on a flower chair reading a book .,0.48450696322195697
80,old lady sitting in a room full of flowers .,0.48450696322195697
80,a grandmother sitting in her room .,0.48450696322195697
81,a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,0.6609067877115846
81,young man showing off by performing a karate move for surprised girl .,0.6609067877115846
81,a young man is performing gymnastics to impress a young woman .,0.6609067877115846
81,showing one how to do a jump withe being watched .,0.6609067877115846
81,a man practicing karate moves in the air .,0.6609067877115846
82,a man standing in a bar with a neon beer sign hanging on the wall,0.540685049587311
82,a man stands next to three video game machines and a beer sign .,0.540685049587311
82,a man stands next to a bank of computer gambling machines .,0.540685049587311
82,a man is standing by a group of video games in a bar .,0.540685049587311
82,a man stands next to three video machines .,0.540685049587311
83,closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .,0.28951038606682133
83,a balding man with glasses is blowing a bubble gum bubble in a dimly lit room .,0.28951038606682133
83,a man wearing glasses is blowing a bubble out of bubble gum in a house .,0.28951038606682133
83,a white male wearing glasses is blowing a bubble in a house .,0.28951038606682133
83,a man in glasses is blowing a bubble with bubble gum .,0.28951038606682133
84,"a mac laptop , open , on top of a blue chair in a room with a group of people sitting in a semicircle around it .",0.590552605856753
84,a group of people in business casual clothes sitting on blue chairs arranged in a circle around a laptop .,0.590552605856753
84,"group of people sitting in a circle , with a laptop in the middle",0.590552605856753
84,people sitting in a circle with a book in the middle .,0.590552605856753
