ID,Sentence,Verb,Lemma,PropBank Role (n),q1,q2,q3,q4,Original Sentence,Processed Sentence,Finalized sentence,Image ID
1476,"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",kneel-01,kneel,,outdoors,natural,,body_of_water,"a man in a blue swimsuit and a red beanie kneels in the wet sand on the edge of a beach , making a sand castle that is as tall as he is when he is kneeling .",A man in a blue swimsuit and a red beanie was kneeling to make a sand castle as tall as it was at the time.,a man in a blue swimsuit and a red beanie kneels making a sand castle that is as tall as he is when he is kneeling .,295
1511,a black dog runs on green grass with its mouth open .,run-02,run,1,outdoors,natural,,field_forest,a black dog runs on green grass with its mouth open .,The black dog ran with his mouth open.,a black dog runs with his mouth open,302
1524,decorated limo passing by elderly woman waiting on park bench in chinese street .,pass-by-17,pass,,outdoors,man-made,transportation_urban,,decorated limo passing by elderly woman waiting on park bench in chinese street .,A decorated limo passed by an elderly woman waiting at a park bench.,decorated limo passing by elderly woman waiting on park bench .,304
1646,three people in various stages of swimming strokes race along colorful lane markers .,race-02,race,,outdoors,man-made,recreation,,three people in various stages of swimming strokes race along colorful lane markers .,Three people from various swimming stages raced.,three people in various stages of swimming strokes race ,329
1694,one dog is jumping at the lady while the other walks away .,contrast-01,contrast,,outdoors,man-made,domestic,,one dog is jumping at the lady while the other walks away .,One dog jumped on the lady while the other walked.,one dog is jumping at the lady while the other walks,338
1782,a motorcyclist on a red speed bike leans into a sharp turn .,lean-01,lean,2,outdoors,man-made,transportation_urban,,a motorcyclist on a red speed bike leans into a sharp turn .,Leaning on a motorcycle on a speeding red bike.,a motorcyclist on a red speed bike leans .,356
1810,a man is sitting on the street playing drums on buckets .,sit-01,sit,2,indoors,man-made,transportation_urban,,a man is sitting on the street playing drums on buckets .,A man sitting on a bucket playing drums.,a man is sitting playing drums on buckets .,361
1910,a lively adult karate practice at the dojo .,practice-01,practice,,indoors,man-made,recreation,,a lively adult karate practice at the dojo .,Adult Karate is a lively practice.,a lively adult karate practice ,381
1983,a red dog jumps to catch a tennis ball in the dry tall grass .,jump-03,jump,,outdoors,natural,,field_forest,a red dog jumps to catch a tennis ball in the dry tall grass .,The red dog jumped to catch the tennis ball.,a red dog jumps to catch a tennis ball .,396
1985,the brown dog catches a ball in the air .,catch-01,catch,,outdoors,natural,,field_forest,the brown dog catches a ball in the air .,The brown dog caught the ball.,The brown dog catches a ball.,396
2008,the little girl swings in the backyard .,swing-01,swing,,outdoors,man-made,recreation,,the little girl swings in the backyard .,Little girl swings.,the little girl swings.,401
2266,"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",contrast-01,contrast,,outdoors,man-made,domestic,,"four young adults sit outside on a wooden deck near a building around a small round table , while another person stands on the edge of the deck , leaning on the wooden railing , with the sun shining on one of them and the rest of them are in the shade , two of them crossing their legs , one holding a cellphone out in front of himself and another holding a green and red soda can .",But the 4 young adults were sitting.,four young adults sit,453
2283,a woman is having her foot examined by another woman in a run-down building .,examine-01,examine,,indoors,man-made,work_education,,a woman is having her foot examined by another woman in a run-down building .,Another woman examined her foot.,a woman is having her foot examined by another woman ,456
2359,a woman is holding a baby while another child stands by her side .,contrast-01,contrast,,outdoors,man-made,domestic,,a woman is holding a baby while another child stands by her side .,"The woman held the baby, while another stood.",a woman is holding a baby while another child stands .,471
2436,a gray dog is jumping toward a black and white dog in the snow .,jump-03,jump,,outdoors,natural,,field_forest,a gray dog is jumping toward a black and white dog in the snow .,The gray dog jumped toward the black and white dog.,a gray dog is jumping toward a black and white dog.,487
2602,a black and white dog runs beside a brown dog in a green field .,run-02,run,,outdoors,natural,,field_forest,a black and white dog runs beside a brown dog in a green field .,The black and white dog ran.,a black and white dog runs.,520
2691,a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,sleep-01,sleep,,indoors,man-made,transportation_urban,,a dark-haired dark-skinned child sleeps in a chair while holding a blue zippered pack .,A child with dark hairs and dark skin sleeps holding a blue zip pack.,a dark-haired dark-skinned child sleeps while holding a blue zippered pack .,538
2707,a man in a black shirt sitting next to a older women in a pink jacket on a train .,sit-01,sit,2,indoors,man-made,transportation_urban,,a man in a black shirt sitting next to a older women in a pink jacket on a train .,A man in a black shirt sat there.,a man in a black shirt sitting ,541
2828,a man grilling outside his house .,grill-01,grill,,outdoors,man-made,domestic,,a man grilling outside his house .,The man grilled.,a man grilling,565
2832,a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,lean-01,lean,2,outdoors,man-made,transportation_urban,,a person wearing a construction uniform is leaning against a traffic light pole on the sidewalk .,Leaning on people in construction uniforms.,a person wearing a construction uniform is leaning.,566
3074,a man is rowing a canoe on a lake .,row-01,row,,outdoors,natural,,body_of_water,a man is rowing a canoe on a lake .,The men row in canoes.,a man is rowing a canoe.,614
3182,a man in red shirt wearing sunglasses is leaning on the wall,lean-01,lean,2,outdoors,man-made,transportation_urban,,a man in red shirt wearing sunglasses is leaning on the wall,Leaning on a man in a red shirt and sunglasses.,a man in red shirt wearing sunglasses is leaning,636
3343,a handicapped person with one leg skiing down a mountain with other mountains in the background .,ski-01,ski,1,outdoors,natural,,mountain,a handicapped person with one leg skiing down a mountain with other mountains in the background .,One leg handicapped skied down with the other mountain.,a handicapped person with one leg skiing down with other mountains .,668
3464,a woman is selling vegetables on the street .,sell-01,sell,,outdoors,man-made,work_education,,a woman is selling vegetables on the street .,The woman sold vegetables.,a woman is selling vegetables .,692
3498,two people are jumping on the side of a road with snow in the background .,jump-03,jump,,outdoors,natural,,field_forest,two people are jumping on the side of a road with snow in the background .,Two people jumped with snow.,two people are jumping with snow .,699
3701,street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,sell-01,sell,,outdoors,man-made,work_education,,street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,The vender sells fruits and vegetables.,vendors are selling fruits and vegetables,740
3769,a man rows his boat below .,row-01,row,,outdoors,natural,,body_of_water,a man rows his boat below .,The men rowed their boats.,a man rows his boat .,753
3782,a terrier mix catches a frisbee in the air .,catch-01,catch,,outdoors,natural,,field_forest,a terrier mix catches a frisbee in the air .,The mix of terriers caught a frisbee.,a terrier mix catches a frisbee.,756
3941,"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , "" truth ! """,speak-01,speak,,indoors,man-made,other_unclear,,"a man in a white polo shirt speaks into a microphone with a sign behind him that reads , "" truth ! ""","A man in white polo shirt speaking with a sign reading ""Truth!""","a man in a white polo shirt speaks with a sign that reads , "" truth ! """,788
4171,two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,pass-by-17,pass,,outdoors,man-made,transportation_urban,,two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,Two young skateboard riders passed by the street when a black dog with a red leash stopped and squatted down.,two young people riding skateboards pass by in the street as a black dog on a red leash stops and squats down.,834
4181,crowd waiting on main street subway platform for a train .,wait-01,wait,,indoors,man-made,transportation_urban,,crowd waiting on main street subway platform for a train .,The crowds waited for the train.,crowd waiting for a train .,836
4269,four women are on stage singing .,sing-01,sing,,indoors,man-made,recreation,,four women are on stage singing .,Four women sang.,four women are singing .,853
4379,two men drink beer at the bar in a restaurant .,drink-01,drink,,indoors,man-made,restaurant,,two men drink beer at the bar in a restaurant .,Two men drank beer.,two men drink beer .,875
4386,two women in white lab coats examine a dyed area on a cluster of cells using a projector .,examine-01,examine,,indoors,man-made,work_education,,two women in white lab coats examine a dyed area on a cluster of cells using a projector .,"Two women in lab coats examined the dyed areas using projectors, wearing white coats.",two women in white lab coats examine a dyed area using a projector .,877
4432,two rows of dance students are practicing ballet moves against a pole in a studio .,practice-01,practice,,indoors,man-made,recreation,,two rows of dance students are practicing ballet moves against a pole in a studio .,"Two row of students danced against the poles, practicing ballet moves.",two rows of dance students are practicing ballet moves against a pole.,886
4533,white and black dog jumping over red-haired dog in grass .,jump-03,jump,,outdoors,natural,,field_forest,white and black dog jumping over red-haired dog in grass .,White and black dogs jumped over red haired dogs.,white and black dog jumping over red-haired dog .,906
4572,a smiling child wearing a hat and sunglasses sits in a car .,sit-01,sit,2,indoors,man-made,transportation_urban,,a smiling child wearing a hat and sunglasses sits in a car .,A smiling child in a hat and sunglasses sat.,a smiling child wearing a hat and sunglasses sits.,914
4628,a naked woman kneels on the rocks of a shallow stream .,kneel-01,kneel,,outdoors,natural,,body_of_water,a naked woman kneels on the rocks of a shallow stream .,"The woman was on her knees, naked.",a naked woman kneels .,925
4744,a woman is using a ruler at a desk to mark a sheet of paper .,use-01,use,,indoors,man-made,work_education,,a woman is using a ruler at a desk to mark a sheet of paper .,The women used rulers to mark the paper sheet.,a woman is using a ruler to mark a sheet of paper .,948
5139,two dogs are catching blue frisbees in grass .,catch-01,catch,,outdoors,natural,,field_forest,two dogs are catching blue frisbees in grass .,Two dogs caught a blue frisbee.,two dogs are catching blue frisbees.,1027
5160,a man is singing at a concert .,sing-01,sing,,indoors,man-made,recreation,,a man is singing at a concert .,The man sang.,a man is singing.,1031
5414,three young women and one young man singing in an auditorium .,sing-01,sing,,indoors,man-made,recreation,,three young women and one young man singing in an auditorium .,Three young women and one man sang.,three young women and one young man singing.,1082
5423,a group of men in golden shirts singing in front of a microphone .,sing-01,sing,,indoors,man-made,recreation,,a group of men in golden shirts singing in front of a microphone .,The group of men in gold shirts sang.,a group of men in golden shirts singing.,1084
5472,"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .",grill-01,grill,,outdoors,man-made,domestic,,"a man wearing jeans , polo shirt and a baseball cap , fork in hand , is grilling meat outside in a fenced yard .","The man in jeans, polo shirt, baseball cap and fork was grilling.","a man wearing jeans , polo shirt and a baseball cap , fork , is grilling meat .",1094
5539,vendors sell products at a farmers market .,sell-01,sell,,outdoors,man-made,work_education,,vendors sell products at a farmers market .,Vendors sell the product.,vendors sell products.,1107
5635,people examine books in a library .,examine-01,examine,,indoors,man-made,work_education,,people examine books in a library .,People are examining the book.,people examine books.,1126
5637,a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,sit-01,sit,2,indoors,man-made,transportation_urban,,a woman sits on a shoe store 's bench while putting a shoe onto her right foot .,The woman sat as she put the shoe on her right foot.,a woman sits while putting a shoe onto her right foot .,1127
5641,"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",contrast-01,contrast,,outdoors,man-made,domestic,,"several people in the mid-ground sit on a bench along the side of a white building , while three people stand in a courtyard in front of the building .",But several people were sitting.,several people sit ,1128
5775,two girls are in a sack race .,race-02,race,3,outdoors,man-made,recreation,,two girls are in a sack race .,The two girls are in a race.,two girls are in a race .,1154
5851,an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,practice-01,practice,,indoors,man-made,recreation,,an orchestra of about <number> people are practicing on the stage of what appears to be an auditorium full of green chairs .,A practice orchestra of about a number of people.,an orchestra of about <number> people are practicing ,1170
5891,the man in the red shirt and flowery tie is sitting on a bus by the window .,sit-01,sit,2,indoors,man-made,transportation_urban,,the man in the red shirt and flowery tie is sitting on a bus by the window .,A man in a red shirt and flower tie sat down.,the man in the red shirt and flowery tie is sitting.,1178
6032,muzzled greyhounds are racing on the track .,race-02,race,,outdoors,man-made,recreation,,muzzled greyhounds are racing on the track .,muzzled greyhounds raced.,muzzled greyhounds are racing.,1206
6090,little girl skis on slope .,ski-01,ski,,outdoors,natural,,mountain,little girl skis on slope .,Little girl skis.,little girl skis.,1217
6341,"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .",swing-01,swing,,outdoors,man-made,recreation,,"two girls , both dressed in pink , swinging on sunlight day with the nearby trees casting random shadows on the remainder of the park like setting .","On a day of sunlight, both pink-dressed girls were swinging with trees casting random shadows over the remainder of the park, like a setting.","two girls , both dressed in pink , swinging on sunlight day with the trees casting random shadows on the remainder of the park like setting .",1268
6621,"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",drink-01,drink,,indoors,man-made,restaurant,,"in a restaurant , a teenager drinks directly out of the metal milkshake serving cup .",The teenagers had drunk directly from a metal milkshake serving cup.,a teenager drinks directly out of the metal milkshake serving cup .,1324
6623,a man is enjoying meal and drink inside a restaurant .,enjoy-01,enjoy,,indoors,man-made,restaurant,,a man is enjoying meal and drink inside a restaurant .,The man enjoyed a meal and drink.,a man is enjoying meal and drink .,1324
6657,a man drives a truck while a child sits on his lap and steers .,drive-01,drive,,outdoors,man-made,transportation_urban,,a man drives a truck while a child sits on his lap and steers .,The man drove the truck while the children sat and steered.,a man drives a truck while a child sits and steers .,1331
6661,an asian man sells a hot confection from his stand in a crowded market .,sell-01,sell,,outdoors,man-made,work_education,,an asian man sells a hot confection from his stand in a crowded market .,The Asian man sold hot concoctions.,an asian man sells a hot confection.,1332
6698,a man singing in a very colorful environment .,sing-01,sing,,indoors,man-made,recreation,,a man singing in a very colorful environment .,The man sang.,a man singing.,1339
6764,people are rowing a boat in the water .,row-01,row,,outdoors,natural,,body_of_water,people are rowing a boat in the water .,People rowing boats.,people are rowing a boat .,1352
6793,a man sleeps while listening to his ipod in the back of a vehicle .,sleep-01,sleep,,indoors,man-made,transportation_urban,,a man sleeps while listening to his ipod in the back of a vehicle .,The man was asleep listening to his iPod.,a man sleeps while listening to his ipod.,1358
6820,a greyhound races on the dirt .,race-02,race,,outdoors,man-made,recreation,,a greyhound races on the dirt .,Greyhound racing.,a greyhound races.,1363
6855,a man and a woman are examining produce at a market .,examine-01,examine,,indoors,man-made,work_education,,a man and a woman are examining produce at a market .,The men and women examined the product.,a man and a woman are examining produce.,1370
6915,a man in a yellow jacket is skiing in the snow .,ski-01,ski,,outdoors,natural,,mountain,a man in a yellow jacket is skiing in the snow .,The man in a yellow jacket skied.,a man in a yellow jacket is skiing.,1382
7086,a man driving a small golf cart down a street with a crowd watching him on either side of the street .,drive-01,drive,,outdoors,man-made,transportation_urban,,a man driving a small golf cart down a street with a crowd watching him on either side of the street .,A man drove with a crowd watching.,a man driving a small golf cart with a crowd watching.,1417
7794,group of women doing a presentation off an easel .,present-01,present,,indoors,man-made,work_education,,group of women doing a presentation off an easel .,A group of women presented.,group of women doing a presentation .,1558
7821,two dogs are nose to nose while a third dog stands next to them .,contrast-01,contrast,,outdoors,man-made,domestic,,two dogs are nose to nose while a third dog stands next to them .,"Two dogs were nose to nose, the third stood.",two dogs are nose to nose while a third dog stands .,1564
7842,man with gray hair wearing a suit is waiting in a subway tunnel .,wait-01,wait,,indoors,man-made,transportation_urban,,man with gray hair wearing a suit is waiting in a subway tunnel .,A man in a suit with gray hairs waited.,man with gray hair wearing a suit is waiting.,1568
7904,two men on motorcycles are driving down an empty street .,drive-01,drive,,outdoors,man-made,transportation_urban,,two men on motorcycles are driving down an empty street .,Two motorcycle men drive down an empty street.,two men on motorcycles are driving down .,1580
7922,a runner in black is passing an outdoor florist shop .,pass-by-17,pass,,outdoors,man-made,transportation_urban,,a runner in black is passing an outdoor florist shop .,A run-by in black passed by a florist shop.,a runner in black is passing a florist shop .,1584
7961,"a crowd waits outside a subway train , ready to board .",wait-01,wait,,indoors,man-made,transportation_urban,,"a crowd waits outside a subway train , ready to board .",The crowd waited to be ready to board.,"a crowd waits, ready to board .",1592
8092,brown dog catches a pink ball in the park .,catch-01,catch,,outdoors,natural,,field_forest,brown dog catches a pink ball in the park .,The brown dog caught the pink balls.,brown dog catches a pink ball.,1618
8412,two people on the subway are sleeping in the corner .,sleep-01,sleep,,indoors,man-made,transportation_urban,,two people on the subway are sleeping in the corner .,Two people are sleeping.,two people are sleeping .,1682
8578,two guys are rowing a canoe on a lake .,row-01,row,,outdoors,natural,,body_of_water,two guys are rowing a canoe on a lake .,Two guys rowing canoes.,two guys are rowing a canoe.,1715
8681,"a man driving a small , open vehicle with a green sign on the back of it in traffic .",drive-01,drive,,outdoors,man-made,transportation_urban,,"a man driving a small , open vehicle with a green sign on the back of it in traffic .",The man drove a small open vehicle with green signs.,"a man driving a small , open vehicle with a green sign .",1736
8974,three women and a man are drinking beer at a table .,drink-01,drink,,indoors,man-made,restaurant,,three women and a man are drinking beer at a table .,Three women and a man drank beer.,three women and a man are drinking beer .,1794
9163,a man wearing yellow swimming trunks kneeling by the ocean,kneel-01,kneel,,outdoors,natural,,body_of_water,a man wearing yellow swimming trunks kneeling by the ocean,The man in yellow swim trunks was kneeling.,a man wearing yellow swimming trunks kneeling,1832
9469,a man with red pants is skiing downhill .,ski-01,ski,1,outdoors,natural,,mountain,a man with red pants is skiing downhill .,The man in red pants skied.,a man with red pants is skiing .,1893
9474,a spotted dog catching a ball on a snowy field .,catch-01,catch,,outdoors,natural,,field_forest,a spotted dog catching a ball on a snowy field .,The spotted dog caught the ball.,a spotted dog catching a ball.,1894
9582,a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,speak-01,speak,,indoors,man-made,other_unclear,,a chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid .,The chef spoke in microphones about the mixed-in containing salad.,a chef speaks into a microphone about a mixed salad contained .,1916
9824,a woman is laying down on a sofa laughing .,lie-07,lie,2,indoors,man-made,domestic,,a woman is laying down on a sofa laughing .,The woman lies down laughing.,a woman is laying down laughing .,1964
10226,three women speak to each other in a room with tan walls .,speak-01,speak,,indoors,man-made,other_unclear,,three women speak to each other in a room with tan walls .,Three women spoke.,three women speak to each other.,2045
10785,stage dancers practicing their dance routines .,practice-01,practice,,indoors,man-made,recreation,,stage dancers practicing their dance routines .,Dancers practice their dance routines.,dancers practicing their dance routines .,2156
11129,two furry light brown dogs lying on a hardwood floor .,lie-07,lie,2,indoors,man-made,domestic,,two furry light brown dogs lying on a hardwood floor .,Two light brown furry dogs lie in the sun.,two furry light brown dogs lying.,2225
12375,a dog wearing a t-shirt is lying down .,lie-07,lie,2,indoors,man-made,domestic,,a dog wearing a t-shirt is lying down .,The dog in a t-shirt was lying.,a dog wearing a t-shirt is lying.,2474
12834,a man is giving a presentation in front of three people .,present-01,present,,indoors,man-made,work_education,,a man is giving a presentation in front of three people .,The man presented.,a man is giving a presentation.,2566
13060,all these people are enjoying a basement dance party .,enjoy-01,enjoy,,indoors,man-made,restaurant,,all these people are enjoying a basement dance party .,All of these people enjoyed the dance party.,all these people are enjoying a dance party .,2611
13132,a young boy wearing a dark blue hat sleeps on a bench at a terminal .,sleep-01,sleep,,indoors,man-made,transportation_urban,,a young boy wearing a dark blue hat sleeps on a bench at a terminal .,A young boy in a dark blue hat slept.,a young boy wearing a dark blue hat sleeps.,2626
13328,an old woman is selling produce at a farmer 's market .,sell-01,sell,,outdoors,man-made,work_education,,an old woman is selling produce at a farmer 's market .,Old women selling produce.,an old woman is selling produce.,2665
13351,"a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .",lie-07,lie,2,indoors,man-made,domestic,,"a ruddy infant lies on a patterned sheet with his eyes closed , his mouth open , and his arm extended .","Ruddy infants lie closed eyes, open mouths, and extend arms.","a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .",2670
13658,a man in a white shirt uses a blackboard as others sit at a table watching .,use-01,use,,indoors,man-made,work_education,,a man in a white shirt uses a blackboard as others sit at a table watching .,A man in white shirt used a blackboard while the others sat watching.,a man in a white shirt uses a blackboard as others sit watching .,2731
13693,a man rowing in the front of a canoe in a large body of water .,row-01,row,,outdoors,natural,,body_of_water,a man rowing in the front of a canoe in a large body of water .,The man was on the row.,a man rowing.,2738
13927,a korean woman is enjoying a meal in a restaurant .,enjoy-01,enjoy,,indoors,man-made,restaurant,,a korean woman is enjoying a meal in a restaurant .,Korean women enjoying a meal,a korean woman is enjoying a meal.,2785
14198,a man grilling meat on an outdoor grilling pit .,grill-01,grill,,outdoors,man-made,domestic,,a man grilling meat on an outdoor grilling pit .,The man grilling the meat.,a man grilling meat.,2839
15132,two girls and three boys are presenting in front of a dry erase board .,present-01,present,,indoors,man-made,work_education,,two girls and three boys are presenting in front of a dry erase board .,Present: Two girls and three boys.,two girls and three boys are presenting.,3026
15152,asian students are examining sheets of paper while standing in line .,examine-01,examine,,indoors,man-made,work_education,,asian students are examining sheets of paper while standing in line .,Asians studying examined the paper sheet from the stand.,asian students are examining sheets of paper while standing .,3030
15286,a man in a dark shirt is making a presentation in front of a group .,present-01,present,,indoors,man-made,work_education,,a man in a dark shirt is making a presentation in front of a group .,The man in dark shirts presented.,a man in a dark shirt is making a presentation.,3057
15291,four people in black shirts giving a presentation to a room full of people using a big projector image on the wall .,present-01,present,,indoors,man-made,work_education,,four people in black shirts giving a presentation to a room full of people using a big projector image on the wall .,"Using big projector images, four people in black shirts presented to a room full of people.",four people in black shirts giving a presentation to a room full of people using a big projector image .,3058
15458,two women in black enjoying a lunch in a restaurant .,enjoy-01,enjoy,,indoors,man-made,restaurant,,two women in black enjoying a lunch in a restaurant .,Two black women enjoyed lunch.,two women in black enjoying a lunch.,3091
15503,a boy and girl child swing together on a swing set .,swing-01,swing,,outdoors,man-made,recreation,,a boy and girl child swing together on a swing set .,"The children, boy and girl, were swinging together.",a boy and girl child swing together .,3100
16733,an older man and women are using computers in a sort of storage room .,use-01,use,,indoors,man-made,work_education,,an older man and women are using computers in a sort of storage room .,Older men and women use computers.,an older man and women are using computers.,3346
16747,three girls or friends having drinks at a bar laughing .,drink-01,drink,,indoors,man-made,restaurant,,three girls or friends having drinks at a bar laughing .,"Three girls or friends had a drink, laughing.",three girls or friends having drinks laughing .,3349
16896,a well dressed young woman waits on a bench for the train while a man busy writing something waits nearby .,wait-01,wait,,indoors,man-made,transportation_urban,,a well dressed young woman waits on a bench for the train while a man busy writing something waits nearby .,Young women in well-dressed wait for the train while a man is busy writing something.,a well dressed young woman waits for the train while a man busy writing something .,3379
17693,buff african american man waits for subway at wall street station .,wait-01,wait,,indoors,man-made,transportation_urban,,buff african american man waits for subway at wall street station .,The buff American man was waiting for the subway.,buff african american man waits for subway.,3538
18267,a man in a suit and tie in a fancy building is speaking at the podium .,speak-01,speak,,indoors,man-made,other_unclear,,a man in a suit and tie in a fancy building is speaking at the podium .,The man in a suit and tie spoke.,a man in a suit and tie is speaking.,3653
20962,"people swing on a red , metal amusement park ride in front of some trees .",swing-01,swing,,outdoors,man-made,recreation,,"people swing on a red , metal amusement park ride in front of some trees .",People were swinging to a red metal amusement park ride.,"people swing on a red , metal amusement park ride.",4192
21065,a man is using his computer while seated at a desk .,use-01,use,,indoors,man-made,work_education,,a man is using his computer while seated at a desk .,The man used his computer while in his seat.,a man is using his computer while seated.,4212
21150,a man and woman enjoying dinner at a party .,enjoy-01,enjoy,,indoors,man-made,restaurant,,a man and woman enjoying dinner at a party .,The man enjoyed the dinner with the woman.,a man and woman enjoying dinner.,4229
