caption,url,probs
a terrier mix catches a frisbee.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/50.png,"[0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
four women are singing .,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/54.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
a smiling child wearing a hat and sunglasses sits.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/59.png,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
a man is singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/63.png,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
three young women and one young man singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/64.png,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
vendors sell products.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/67.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
an asian man sells a hot confection.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/80.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
a man singing.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/81.png,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
an old woman is selling produce.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/111.png,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
"a ruddy infant lies with his eyes closed , his mouth open , and his arm extended .",https://derrickversion5.s3.amazonaws.com/midjourney_finalized/112.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
a man grilling meat.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/116.png,"[0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
two girls and three boys are presenting.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/117.png,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
a man and woman enjoying dinner.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/130.png,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
a group of people lie close together.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/131.png,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]"
a woman with a peace symbol grills vegetables,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/133.png,"[0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
a man grilling three pieces of salmon.,https://derrickversion5.s3.amazonaws.com/midjourney_finalized/134.png,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
