Sentence,Verb,Lemma,PropBank Role (n)
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",wear-01,wear,2
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",wear-01,wear,2
"two separate women , one wearing a white top and black pants , the other wearing all black and a pair of pink flip-flops , kneel on a gray brick sidewalk path in front of green and red bushes .",wear-01,wear,2
a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,walk-01,walk,2
a young girl wearing a multicolored holding an orange ball in her right hand walking through bright green grass behind a house,hold-01,hold,2
"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",possible-01,possible,N/A
"several people jogging outside on a sunny day in what seems to be a neighborhood , could be part of a marathon .",seem-01,seem,N/A
pink shirted woman sleeping in a car with blue and white blanket on her .,sleep-01,sleep,N/A
firefighters converse with a man at the scene of an emergency .,converse-01,converse,N/A
firefighters converse with a man at the scene of an emergency .,fight-01,fight,N/A
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,kneel-01,kneel,2
a man is kneeling down with a child on a beach where bright blue and red boats are stationed in the background .,station-01,station,2
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,create-01,create,N/A
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,watch-01,watch,N/A
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,survey-01,survey,N/A
a large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment .,move-01,move,N/A
kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .,ride-01,ride,N/A
a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,throw-01,throw,N/A
a man in an all black outfit just threw a bowling ball down a lane towards the center of the bowling pins .,bowl-01,bowl,N/A
a little boy rides a bike down a hill on a miniature dirt bike .,ride-01,ride,N/A
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,walk-01,walk,2
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,walk-01,walk,2
a large group of people traveling down a countryside road in the back of a small pickup truck while one person is walking along side the truck .,travel-01,travel,2
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,try-01,try,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,block-01,block,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,shoot-01,shoot,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,play-01,play,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,oppose-01,oppose,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,wear-01,wear,3
a male volleyball player in red trunks tries to block the shot of the opposing player during a professional volleyball game .,play-01,play,3
a man kneels on the ground doing some sort of project on his own .,kneel-01,kneel,N/A
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,climb-01,climb,N/A
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,wear-01,wear,N/A
a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .,safe-01,safe,N/A
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",write-01,write,0
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",hold-01,hold,0
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",sit-01,sit,0
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",sit-01,sit,0
"a girl sitting on the steps of a building wearing a green short-sleeve shirt , blue jeans , flip-flops holding a cup and writing in a journal with her purse sitting at her feet .",wear-01,wear,0
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,ride-01,ride,N/A
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,dress-01,dress,N/A
a woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .,freeze-01,freeze,N/A
"a person climbs a tall , flat mountain while holding onto a safety rope .",climb-01,climb,0
"a person climbs a tall , flat mountain while holding onto a safety rope .",hold-01,hold,0
"a person climbs a tall , flat mountain while holding onto a safety rope .",safe-01,safe,0
a group of hikers are resting on the ground in front of some mountains .,sit-01,sit,2
a group of hikers are resting on the ground in front of some mountains .,fish-01,fish,2
a group of african american children with their arms above their heads and happy expressions on their faces .,express-01,express,3
a young black person wearing a green shirt and a jacket using a sewing machine .,wear-01,wear,2
a young black person wearing a green shirt and a jacket using a sewing machine .,sweep-01,sweep,2
a woman smiles while holding several green peppers at a grocery stand .,smile-01,smile,0
a woman smiles while holding several green peppers at a grocery stand .,hold-01,hold,0
a young boy is jumping through water being sprayed up from the ground .,spray-01,spray,N/A
three people on atvs in a brown field turn their heads to look at the camera .,turn-01,turn,m
three people on atvs in a brown field turn their heads to look at the camera .,look-01,look,m
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,jump-01,jump,2
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,harvest-01,harvest,2
a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .,dress-01,dress,2
three men are riding on an elephant with a shack in the background and two of them are wearing hats .,wear-01,wear,N/A
three men are riding on an elephant with a shack in the background and two of them are wearing hats .,ride-01,ride,N/A
"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",smile-01,smile,N/A
"a young boy , wearing goggles and a heads-up light , and a young girl , are smiling .",wear-01,wear,N/A
"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",shake-01,shake,2
"a couple is sitting on the sand with their feet in the water , and they are shaking hands .",sit-01,sit,2
a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,carry-01,carry,2
a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,walk-01,walk,2
a boy wearing a white t-shirt walks on the grass and carries a soccer ball .,wear-01,wear,2
a man in aerodynamic gear riding a bicycle down a road around a sharp curve .,ride-01,ride,N/A
"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",construct-01,construct,2
"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",look-01,look,2
"two men pushing wheelbarrows , two men looking at them , they are in the desert near some block construction buildings .",push-01,push,2
a small child and an adult walk on the beach in front of ocean waves .,walk-01,walk,2
"older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .",wear-01,wear,N/A
"older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .",play-01,play,N/A
two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,ride-01,ride,N/A
two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,ride-01,ride,N/A
people are eating in a cafeteria with a wood beam and glass ceiling .,eat-01,eat,N/A
a man is crossing the street and in the distance you can see a building under construction .,possible-01,possible,N/A
a man is crossing the street and in the distance you can see a building under construction .,see-01,see,N/A
a man is crossing the street and in the distance you can see a building under construction .,construct-01,construct,N/A
two girls with purple hair and a short-haired woman are smiling .,smile-01,smile,N/A
a man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .,carry-01,carry,N/A
a man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .,talk-01,talk,N/A
a brown dog swims through water outdoors with a tennis ball in its mouth .,swim-01,swim,N/A
"the little boy , in a short-sleeved shirt and shorts , is running outside .",wear-01,wear,N/A
"the little boy , in a short-sleeved shirt and shorts , is running outside .",wrap-01,wrap,N/A
a young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .,press-01,press,0
a young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .,hold-01,hold,0
a man in a white shirt lays cement on a brick wall .,lay-01,lay,2
a man in a white shirt lays cement on a brick wall .,wear-01,wear,2
"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",wear-01,wear,N/A
"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",shut-01,shut,N/A
"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",reach-01,reach,N/A
a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,stand-01,stand,2
a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,smile-01,smile,2
a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,hold-01,hold,2
a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,kiss-01,kiss,2
"a group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .",hold-01,hold,0
"a group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .",wear-01,wear,0
"a group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .",gather-01,gather,0
odd looking young adult playing around a large tree that has big roots .,play-01,play,N/A
a young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .,kneel-01,kneel,N/A
a young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .,fill-01,fill,N/A
"a young man wearing a baseball cap brushes at the base of a statue of jesus christ , during the day .",bark-01,bark,N/A
"a young man wearing a baseball cap brushes at the base of a statue of jesus christ , during the day .",wear-01,wear,N/A
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,stand-01,stand,2
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,hold-01,hold,2
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,work-01,work,2
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,construct-01,construct,2
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,wear-01,wear,2
five asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .,discuss-01,discuss,N/A
five asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .,operate-01,operate,N/A
a young girl wears a shirt and shorts as she plays in the ocean 's surf .,wear-01,wear,1
a young girl wears a shirt and shorts as she plays in the ocean 's surf .,play-01,play,1
a young girl wears a shirt and shorts as she plays in the ocean 's surf .,surf-01,surf,1
a young girl wearing a blue shirt marching in a band playing a trumpet,bark-01,bark,N/A
a young girl wearing a blue shirt marching in a band playing a trumpet,wear-01,wear,N/A
a man in a baseball cap cleans out a blue colored pit outside where colorful christmas lights hang above him .,hang-01,hang,2
a man in a baseball cap cleans out a blue colored pit outside where colorful christmas lights hang above him .,color-01,color,2
a barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .,sleep-01,sleep,N/A
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,pose-01,pose,2
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,seat-01,seat,2
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,hold-01,hold,2
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,drive-01,drive,2
a man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,bend-01,bend,N/A
a man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,wear-01,wear,N/A
an elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .,smile-01,smile,2
an elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .,sit-01,sit,2
a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,demonstrate-01,demonstrate,2
a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,sit-01,sit,2
a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,seat-01,seat,2
a man standing in a bar with a neon beer sign hanging on the wall,stand-01,stand,2
a man standing in a bar with a neon beer sign hanging on the wall,hang-01,hang,2
closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .,blow-01,blow,m
"a mac laptop , open , on top of a blue chair in a room with a group of people sitting in a semicircle around it .",open-01,open,2
"a mac laptop , open , on top of a blue chair in a room with a group of people sitting in a semicircle around it .",sit-01,sit,2
a small boy smiles as he stands with others wearing the same black hats .,smile-01,smile,2
a small boy smiles as he stands with others wearing the same black hats .,stand-01,stand,2
a small boy smiles as he stands with others wearing the same black hats .,wear-01,wear,2
a small boy smiles as he stands with others wearing the same black hats .,same-01,same,2
a family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .,read-01,read,2
a family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .,come-01,come,2
a family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .,shop-01,shop,2
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",try-01,try,N/A
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",reach-01,reach,N/A
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",play-01,play,N/A
"two soccer players , one wearing a white uniform and the other in red , try to reach the soccer ball first .",wear-01,wear,N/A
a man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .,hold-01,hold,0
"a young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .",ride-01,ride,N/A
"a young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .",wear-01,wear,N/A
"a young boy , wearing shorts and a red tank top , is sliding down a mountain of snow , riding a board on his belly .",slide-01,slide,N/A
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",contrast-01,contrast,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",hold-01,hold,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",look-01,look,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",sit-01,sit,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",wear-01,wear,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",display-01,display,0
"a man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .",hold-01,hold,0
a man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,walk-01,walk,2
a man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,wear-01,wear,2
a man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,walk-01,walk,2
a man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .,wear-01,wear,2
a crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .,sit-01,sit,2
a crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .,look-01,look,2
a crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .,resemble-01,resemble,2
"a man in a striped red polo shirt , tan khakis , and a nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .",surround-01,surround,N/A
"a man in a striped red polo shirt , tan khakis , and a nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .",finish-01,finish,N/A
"a man in a striped red polo shirt , tan khakis , and a nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .",wear-01,wear,N/A
"a man in a striped red polo shirt , tan khakis , and a nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .",wear-01,wear,N/A
"some people with black belts , or black and red belts , are performing martial arts on a green mat .",perform-01,perform,N/A
"a man in some sort of establishment , smiling while he is taking off or putting on glasses .",smile-01,smile,N/A
five adults are playing cards while sitting outside at a picnic table in their backyard .,play-01,play,2
five adults are playing cards while sitting outside at a picnic table in their backyard .,sit-01,sit,2
two young girls are playing and laughing in a green grassy yard .,laugh-01,laugh,N/A
two young girls are playing and laughing in a green grassy yard .,play-01,play,N/A
a lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .,stand-01,stand,2
a lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .,watch-01,watch,2
a lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .,wear-01,wear,2
an asian family is picnicking at the beach while others play in the water .,contrast-01,contrast,N/A
an asian family is picnicking at the beach while others play in the water .,play-01,play,N/A
an asian family is picnicking at the beach while others play in the water .,talk-01,talk,N/A
a dog is wearing a red number <number> and running through a field of green grass while being chased by a bird .,chase-01,chase,N/A
a dog is wearing a red number <number> and running through a field of green grass while being chased by a bird .,wear-01,wear,N/A
"a group of <number> smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .",swim-01,swim,0
"a group of <number> smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .",hold-01,hold,0
"a group of <number> smiling kids and young teens are divided into two groups , in a large , indoor swimming pool , with the back person in each group holding their arms up .",smile-01,smile,0
six people ride mountain bikes through a jungle environment .,ride-01,ride,N/A
a girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .,focus-01,focus,N/A
a girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .,smile-01,smile,N/A
a girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .,wear-01,wear,N/A
a small child in water with a splash encircling him while the white clouds float over the mountains .,accompany-01,accompany,N/A
a small child in water with a splash encircling him while the white clouds float over the mountains .,swell-01,swell,N/A
a small child in water with a splash encircling him while the white clouds float over the mountains .,float-01,float,N/A
two young boys in swimming trunks are in the water looking at each other .,look-01,look,2
two young boys in swimming trunks are in the water looking at each other .,wear-01,wear,2
two young boys in swimming trunks are in the water looking at each other .,swim-01,swim,2
"three children are playing outdoors , two of them on a metal barrel swing .",play-01,play,N/A
there are about a dozen of men in work clothes that are getting directions for a task .,get-01,get,N/A
there are about a dozen of men in work clothes that are getting directions for a task .,clothe-01,clothe,N/A
there are about a dozen of men in work clothes that are getting directions for a task .,work-01,work,N/A
"three dogs on the beach , one has it 's mouth open .",open-01,open,2
"a young musician playing a small guitar and singing , while sitting in a white plastic chair .",sit-01,sit,2
"a young musician playing a small guitar and singing , while sitting in a white plastic chair .",sing-01,sing,2
"a young musician playing a small guitar and singing , while sitting in a white plastic chair .",play-01,play,2
the girl with the long brown hair and bangs in her face is holding her hand to her chest .,hold-01,hold,0
a black and white dog walking through the grass with a long stick in his mouth .,walk-01,walk,2
bald man in what looks like to be a lab with a lady watching as he is mixing some liquids in clear cup containers,mix-01,mix,N/A
bald man in what looks like to be a lab with a lady watching as he is mixing some liquids in clear cup containers,watch-01,watch,N/A
bald man in what looks like to be a lab with a lady watching as he is mixing some liquids in clear cup containers,resemble-01,resemble,N/A
a young bearded man in a gray hooded sweatshirt stirs a pot with a wooden spoon .,load-01,load,N/A
a young bearded man in a gray hooded sweatshirt stirs a pot with a wooden spoon .,wear-01,wear,N/A
a woman wearing a blue sweater sits at a table with a colorful tablecloth and clasps her hands together .,wear-01,wear,2
a woman wearing a blue sweater sits at a table with a colorful tablecloth and clasps her hands together .,sit-01,sit,2
woman adjusting her boot near a large crowd of people at an outdoor event .,adjust-01,adjust,N/A
a casually dressed man has several flutes into which he is pouring champagne .,dress-01,dress,N/A
a casually dressed man has several flutes into which he is pouring champagne .,pour-01,pour,N/A
"a boy in a gray hooded sweater , looking at a school of fish at an aquarium .",look-01,look,2
"a boy in a gray hooded sweater , looking at a school of fish at an aquarium .",wear-01,wear,2
"a boy in a gray hooded sweater , looking at a school of fish at an aquarium .",hold-01,hold,2
crosscountry skiers are traveling towards the mountains at sunset .,travel-01,travel,1
crosscountry skiers are traveling towards the mountains at sunset .,ski-01,ski,1
the person towards the right is wearing riot uniform while people seem to be filing out .,contrast-01,contrast,N/A
the person towards the right is wearing riot uniform while people seem to be filing out .,seem-01,seem,N/A
the person towards the right is wearing riot uniform while people seem to be filing out .,file-01,file,N/A
the person towards the right is wearing riot uniform while people seem to be filing out .,wear-01,wear,N/A
the person towards the right is wearing riot uniform while people seem to be filing out .,riot-01,riot,N/A
a tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand .,hide-01,hide,N/A
a tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand .,wear-01,wear,N/A
a man in traditional orthodox jewish dress is seen alone from behind .,see-01,see,N/A
a man in traditional orthodox jewish dress is seen alone from behind .,dress-01,dress,N/A
an african child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops .,attempt-01,attempt,N/A
some young men looking over the edge of a bridge on a sunny day .,look-01,look,2
there are several people and children looking into water with a blue tiled floor and goldfish .,look-01,look,2
"there is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",stand-01,stand,2
"there is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",wear-01,wear,2
"there is a man wearing construction gear , standing next to a bulldozer that is picking up rubble and debris .",construct-01,construct,2
two people with helmets are riding bikes in front of a building .,ride-01,ride,N/A
a couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .,enjoy-01,enjoy,1
a couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .,crawl-01,crawl,1
a couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .,wear-01,wear,1
a couple enjoy a beautiful day bicycling on a bike trail wearing bicycling safety helmets and gloves .,safe-01,safe,1
two little boys in yellow shirts are walking in grass and looking behind them .,look-01,look,2
two little boys in yellow shirts are walking in grass and looking behind them .,wear-01,wear,2
two little boys in yellow shirts are walking in grass and looking behind them .,walk-01,walk,2
"a young girl in a black shirt and a blue helmet is sitting on a quad , or four wheeler , with her right hand on the handlebars .",sit-01,sit,2
"a young girl in a black shirt and a blue helmet is sitting on a quad , or four wheeler , with her right hand on the handlebars .",wear-01,wear,2
two little blond girls in helmets are sitting on a red atv .,sit-01,sit,2
a husky dog wearing green straps is turning its head away from the object in front of it .,turn-01,turn,m
a husky dog wearing green straps is turning its head away from the object in front of it .,wear-01,wear,m
a cartoon cutout of snow white is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .,contrast-01,contrast,2
a cartoon cutout of snow white is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .,stand-01,stand,2
a cartoon cutout of snow white is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .,wear-01,wear,2
a cartoon cutout of snow white is standing in front of a store display window while a woman in a large hat is standing cross legged at the door .,stand-01,stand,2
"five sled dogs are pulling a person on a sled , through the snow .",pull-01,pull,N/A
"five sled dogs are pulling a person on a sled , through the snow .",slice-01,slice,N/A
"a lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat , green cargo pants and black shirt .",arm-01,arm,2
"a lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat , green cargo pants and black shirt .",stand-01,stand,2
"a lady standing wearing black and has a black mohawk has her arm around a guy with a brown bucket hat , green cargo pants and black shirt .",wear-01,wear,2
a dog takes a leap of faith as he jumps into a pool to grab an orange toy .,grab-01,grab,N/A
"a man and a woman are at a beach with other people nearby , and the woman is touching the man 's face .",touch-01,touch,N/A
a young child in pink is pushing downed leaves as grass into a pile .,push-01,push,N/A
a young child in pink is pushing downed leaves as grass into a pile .,pile-01,pile,N/A
