Original Sentence,Processed Sentence
a woman and a child are walking on a beach .,Women and children walk.
a man and a child walking down a beach .,The man and the child walked down.
"older man in a hat , yellow shirt and dress slacks playing in the sand with a young boy .","The older man playing with the young boy in a hat, yellow shirt and dress slack."
a man wearing a hat and a small boy in a bathing suit playing in the sand .,skip_because_no_change
an older person and a small boy play in the sand near the water .,The older people and the small boys played.
a person in a hat is playing with a boy on a beach .,The boy was playing with a hat-wearer.
a father is playing with his child in the sand .,skip_because_no_change
two asian men are riding on a motorcycle in the midst of a crowd full of other motorcycle riders .,skip_because_no_change
"three young men , two riding a motorbike on a busy street , looking at something and smiling .",Three young men and two motorcycle riders.
three oriental men are riding on a red moped scooter in the city with many people .,Three oriental men rode a red moped scooter with many.
a group of motorcyclist are ridding through the streets .,skip_because_no_change
boys on a motor-scooter riding down a busy urban street .,skip_because_no_change
people are eating in a cafeteria with a wood beam and glass ceiling .,People eat.
people sitting in a restaurant eating and one is reading the paper .,"People are sitting, eating, reading papers."
a restaurant filled with chairs and consumers .,skip_because_no_change
people sitting and eating inside a diner .,People were sitting and eating.
lots of people eating in a restaurant .,A lot of people eat.
a man is crossing the street and in the distance you can see a building under construction .,A man crosses the street and you can see the building being constructed.
this is a man standing on a rooftop with construction in the background .,This is a standing man with construction.
a man is standing on top of a tall building that overlooks the city .,The man stood.
a man walks across the field of view in front of a cityscape .,The man walks.
a man with a hat walks along train tracks .,A man in a hat walks.
a young girl does a handstand on a bed with blue sheets .,The young girl handstands.
a small child doing a handstand on a bed .,a small child doing handstands
a little girl standing on her head .,The little girl stood.
a child is standing on her head .,The child stood.
the girl is upside down on a bed,The girl is upside down.
two girls with purple hair and a short-haired woman are smiling .,skip_because_no_change
an older woman smiles on as two pink-haired women talk .,skip_because_no_change
a mother and her two daughters having a happy moment .,skip_because_no_change
the lady in the green shirt is laughing .,skip_because_no_change
a woman and two girls dressed in pink .,skip_because_no_change
a man in a business suit talking on the phone and carrying a briefcase walking by a mirrored building .,skip_because_no_change
"a man in a black suit and briefcase hurrying somewhere , while talking on his cellphone .",skip_because_no_change
an asian man carrying a suitcase while talking on the phone and walking quickly .,skip_because_no_change
a man in a suit is walking and carrying a briefcase .,skip_because_no_change
a businessman in a suit is running .,skip_because_no_change
a brown dog swims through water outdoors with a tennis ball in its mouth .,A brown dog with tennis balls swam in the water.
"a red dog , holding a ball , splashes through vegetation filled water .",skip_because_no_change
a brown dog is running through neck-deep water carrying a tennis ball .,skip_because_no_change
a brown dog splashes in the water while carrying a ball in its mouth .,The water splashed over a brown dog carrying a ball.
"brown dog with tennis ball in mouth , in water and bushes .",A brown dog with tennis balls.
"the little boy , in a short-sleeved shirt and shorts , is running outside .",skip_because_no_change
the little boy is wearing a black pinstripe shirt and walking on a deck .,The little boy was in a pinstripe black shirt and walked.
little boy in a striped shirt and brown shorts is running .,skip_because_no_change
young boy running outside on the pavement .,The young boy ran.
a young boy runs while wearing sandals .,skip_because_no_change
a young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips .,skip_because_no_change
a man carrying an electric saw and a square board inside of a shop .,The man carried an electric saw and square board.
a boy in a gray hoodie holds up a chainsaw .,skip_because_no_change
a young man holding a huge chainsaw .,skip_because_no_change
a man holding a chainsaw .,skip_because_no_change
a man in a white shirt lays cement on a brick wall .,skip_because_no_change
a bricklayer smoothing out concrete .,skip_because_no_change
a man is happily laying bricks .,skip_because_no_change
a man is putting up a wall .,skip_because_no_change
a man is mortaring bricks .,skip_because_no_change
"a man in a brown uniform reaching out from an industrial doorway , as if he is going to shut the door .",skip_because_no_change
a man is inside a truck looking out with his left arm in front of a door .,The man in the truck looking out with his left arm.
a man in a brown shirt prepares to close the door .,skip_because_no_change
a delivery man exiting the back of a truck .,The delivery man exited.
a man opening a door and looking out .,skip_because_no_change
a girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .,A girl holding a drink standing.
a man in a blue t-shirt kisses a woman in a white tank top holding a drink at a bar .,A man in a blue t-shirt kissed a woman in a white tank top holding a drink.
a man in a blue shirt is kissing a woman in a white shirt on the cheek .,A man in a blue shirt kisses a woman in a white shirt.
a man in a blue shirt is kissing a woman with blond-hair on the cheek .,A man in blue shirt kisses a blonde haired woman.
a man is kissing a woman holding a drink .,skip_because_no_change
"a group of people gather in a bar , and one man in a black shirt holds his arm and signals to the camera .","A group of people gathered, one man in a black shirt held his arms and signaled the camera."
"in a crowd of young people at a bar , a man stands displaying the rock and roll sign .",A man stood displaying rock and roll signs.
"a man is making a "" rock "" gesture while standing on a stool in a crowded bar .",The man made a rock gesture as he stood.
a single man in a black t-shirt standing above the crowd at a busy bar .,A single man in a black t-shirt stood.
people enjoying drinks in a crowded bar .,Drinkers
odd looking young adult playing around a large tree that has big roots .,Playing with young adults who look odd.
a guy with five girls out climbing on an old tree in a park area .,A guy with five girls climbing an old tree.
people wearing costumes standing in front of a large tree .,The people in the costume stood.
a man and a woman play on a tree while others look on .,The man and woman were playing when the others looked at them.
people play on a big tree .,People are playing.
a young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .,A young girl with glasses was on her knees.
"a little girl kneels on a ledge at the edge of a fence , with a bucket in front of her .",Little girl on knees with bucket
a young girl with brown hair and glasses is kneeling near a bucket and fence .,skip_because_no_change
a young lady sits in front of a fence with a bucket .,Young lady sat with buckets.
a girl with dirty hands seems to be happy outside .,The girl who has a dirty hand seems happy.
"a young man wearing a baseball cap brushes at the base of a statue of jesus christ , during the day .",The young man wore a baseball cap brush the day before.
a young boy dusts and cleans bronze statues at his summer job .,A young boy dust and clean the bronze statue.
a young man cleaning a statue with a brush .,skip_because_no_change
a man in a red shirt is painting a statue .,skip_because_no_change
a person wearing a hat cleaning a statute .,skip_because_no_change
a construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .,skip_because_no_change
workman standing on scaffolding against the new york city skyline .,Workers stand against the New York skyline.
a man stands on a scaffold his back facing away looking at a city .,skip_because_no_change
a construction worker is building scaffolding for the job .,skip_because_no_change
a construction worker assembles a scaffold .,skip_because_no_change
five asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .,skip_because_no_change
a five person surgical team is about to perform an operation in a hospital .,The operation was about to be performed by a team of five surgeons.
doctors wearing green scrubs are performing surgery on a patient,skip_because_no_change
group of doctors wearing green outfit perform a surgery .,skip_because_no_change
medical professionals are wearing green scrubs .,skip_because_no_change
a young girl wears a shirt and shorts as she plays in the ocean 's surf .,Young girls were wearing shirts and shorts while playing.
a small girl spins in the waves in the bright sun .,A small girl spins waves.
girl running through the water near the shore .,skip_because_no_change
the little girl splashes through the water .,skip_because_no_change
a young girl plays in shallow water .,The young girl was playing.
a young girl wearing a blue shirt marching in a band playing a trumpet,skip_because_no_change
girl wearing blue shirt and black shorts plays trumped outside .,The girl in blue shirt and black shorts is playing trump.
a teenager plays her trumpet on the field at a game .,Teenager playing his trumpet
a girl playing trumpet in a marching band .,skip_because_no_change
girl playing the trumpet in a marching band,skip_because_no_change
a man in a baseball cap cleans out a blue colored pit outside where colorful christmas lights hang above him .,A man in a baseball cap cleaned out a blue pit where colorful Christmas lights were hanging above it.
a man in a baseball tee-shirt is sweeping what appears to be an empty pond in a festive looking backyard .,A man in a baseball tee-shirt swept through an apparently empty pond.
"a man is sweeping a large blue surface that has "" rock bowl "" written on it .",The man swept across a large blue surface with a rock bowl written on it.
a man is sweeping the bottom of an empty shallow pool .,The man swept the bottom of the shallow empty pool.
"guy in a hat , he is cleaning out an empty pool .",A guy in a hat cleaning out an empty pool.
a barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .,A young girl in a pink gown sleeps barefoot cuddling her baby doll.
"a little girl dressed in a princess costume , asleep on a wood floor .",A sleeping little girl in a princess costume.
there is a girl in all pink sleeping on the floor with her dolls .,All pink girl sleeping with her doll.
a girl sleeping with a baby doll wearing a princess costume,skip_because_no_change
a child dressed in a princess outfit sleeping .,skip_because_no_change
blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,A blonde woman driving a red bicycle carriage held her tip of her hat and posed for a camera with a seat customer.
"a girl wearing a striped shirt , plaid shorts , and a baseball hat is on a bike , pulling a man in a red cart with a black top .",skip_because_no_change
a blond girl in plaid shorts is driving a bearded man around the city in a bicycle taxi .,skip_because_no_change
a woman with a baseball cap on riding a bike while pulling a man sitting in a cart .,A woman in a baseball cap as she rode her bike when she pulled up on a sitting man.
a girl driving a rickshaw at night with a man as her passenger .,skip_because_no_change
a man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .,skip_because_no_change
a man playing with his dog on the blanket on the floor .,The man was playing with his dog.
a man in a red shirt is giving toys to a small dog .,skip_because_no_change
a man playing with a black dog on a white blanket .,The man was playing with a black dog.
a man is playing tug-of-war with his dog .,skip_because_no_change
an elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .,An elderly woman sits with a book and smiles at a pretty flower.
an elderly woman sitting in a rocking chair with a blanket and book in her lap .,An elderly woman sitting with a blanket and a book.
an older lady is sitting on a flower chair reading a book .,The older lady reading the books was sitting.
old lady sitting in a room full of flowers .,The old lady was sitting.
a grandmother sitting in her room .,Grandmom sat.
a young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .,The young man demonstrated his martial arts prowess to his girlfriend while sitting in the sitting.
young man showing off by performing a karate move for surprised girl .,skip_because_no_change
a young man is performing gymnastics to impress a young woman .,skip_because_no_change
showing one how to do a jump withe being watched .,skip_because_no_change
