Original Sentence,Processed Sentence
"['and carrying a briefcase by a mirror-built building, talking on the phone to a man in a business suit.']",['and carrying a briefcase a man in a business suit talked on the phone.']
['The brown mouthed dog with a tennis ball swims in the outdoors.'],['The brown dog with a tennis ball swam in the water.']
['A little boy in shorts and shorts-wrapped shirt was running outside.'],['Little boys in shorts and short-wrapped shirts ran.']
['A young man holds a chainsaw and a piece of wood. Lips press a cigarette.'],['Holding a piece of wood with a chainsaw. Pressing a cigarette with a lip.']
['A white shirted man lays cement on a brick wall.'],['A man in white shirt laid the cement.']
"['A man in a brown uniform, reaching out from an industrial doorway, shut the door.']","['A man in a brown uniform, reaching out from an industrial doorway, shut the door.']"
"['Standing in front of a man kissing on the cheek, a girl with a straw in her hands smiles, a smile on her face.']",['A straw girl holding a kiss from the man in front of her stood smiling.']
"['And a group of people gather at the bar, and one arm-man in a black shirt holds up his camera, and signs.']","[""And there was a camera signal holding one man's arms as the gathering took place.""]"
['An odd looking young adult playing around a large tree that has big roots.'],['Odd play by a young looking adult.']
['A young girl with glasses was kneeling on a stone ledge in front of a bucket filled with mud.'],['Young glass-hating girl kneeled.']
['The young man wearing a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.'],['The young man wearing a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.']
['A construction worker in jeans in jeans standing on a scaffold holding a metal frame with a city backdrop.'],['Construction workers in jeans standing holding metal frames with a city backdrop.']
['Five Asian doctors with masks and hospital green scrubs discussed the operation going on .'],['Five Asian doctors with masks and hospital green scrubs discussed the operation going on .']
['When a young girl plays in the ocean surf she wears shorts and a shirt.'],['Wearing when a young girl plays.']
"['A young girl in a blue shirt bowed in the band, playing trumpet.']","['Young girls in blue shirt barking, playing trumpet.']"
"['A man with a baseball cap cleans up the blue-colored pit outside, above where colorful Christmas lights hang, with a baseball cap.']","['A man with a baseball cap cleans up the blue-colored pit outside, above where colorful Christmas lights hang, with a baseball cap.']"
"['A young girl, barefoot and in a pink gown, was sleeping on a hard wood floor with a hard wood floor.']","[""The young girl, who was a doll's baby, was sleeping barefoot in a pink gown.""]"
"['And a blond woman driving a red bicycle carriage poses for a seat, holding her tip of her hat.']",['And a blonde woman driving a red bicycle carriage posed for a seat holding her hat tip.']
"['A small dog in a blanket with several stuffied animals was bent down to a man in glasses and a red shirt, bent down.']",['A small dog with several animals in it bent down to a man in a glass and red shirt.']
['And the elderly woman in the room smiles at the pretty flowers and sits in a book chair.'],['And the elderly woman in the room smiled and sat.']
['Demonstrating as a young man with martial arts prowess sits on a concrete wall in the general seating area with his girlfriend demonstrating.'],['The demonstration occurred as a young man with prowess in martial arts sat beside him.']
['A man standing at the bar with a beer sign hanging from the wall.'],['A man stood with a hung beer sign.']
"['A man with glasses was at the close of the room, blown bubbles by a faint ceiling background in a dimly lit room.']","['And a man with glass was close by, blown bubbles by a faint ceiling background.']"
"['On top of a blue chair, there was an open laptop mac os around where a group of people were sitting in a semicircle.']",['There are open laptops around mac xp.']
['A small boy smiles as he stands with others wearing the same black hats.'],"['A small boy, standing with the other in the same black hat, smiled as he sat.']"
"['And on the side of the street, newspapermen were reading to them, and they were coming back from a family shopping.']","['And the newspaper gentleman read them, and came back to the family shop.']"
"['The first two people to try to reach the soccer ball are the first two people to try to reach the soccer ball, the other two being soccer players wearing white uniforms.']","['The first two people to try to reach the soccer ball are the first two people to try to reach the soccer ball, the other two being soccer players wearing white uniforms.']"
"['Behind him, a man in white shirt with hot pads and a wooden fence, holding a tray of a variety of breads.']",['Holding the tray.']
"['And the young boy in shorts, wearing a tank top in red, was riding the board in his belly, sliding down a mountain of snow.']","['And a young short belly boy in tank tops in red rode down the board, sliding down a mountain of snow.']"
"['And another man sits behind a hand holding some food with a determined look on his face, wearing a bib displaying a large red crab, holding a small wooden hammer.']","['But holding a small wooden hammer, a man with a hand behind him held some food, sat next to another man in his bib, and wore his bib.']"
['A man walking nearby in front of a refreshment stand in flowery jeans and black shirt walks beside the other woman in her wear.'],['A man walking nearby in flowery jeans and black shirt walked.']
"[""The crowd was sitting on a bench beside a white statue of a man's head as four pigeons look on as if the park was set.""]","['Four pigeons looked at a similar set, sitting in the crowd of people.']"
"['A man who finishes a golf swing in wear, wearing a nike visor, a tan and a red polo shirt, was surrounded by the crowd of onlookers.']","['A man who finishes a golf swing in wear, wearing a nike visor, a tan and a red polo shirt, was surrounded by the crowd of onlookers.']"
['Some people with red or black belts are performing martial arts on a green mat.'],['Some people with red or black belts perform martial arts.']
"['A man in some sort of establishment, turning on the glasses, smiling at the sight of it or not.']",['A man who turns on the glass with a smile or two.']
['Playing cards while 5 adults were sitting outside a picnic table in the backyard.'],['Playtime as five backyard adults sit on cards.']
['In a green grassy yard laughing and the two young girls playing.'],['And the two young girls laughed and played.']
['A group of coffee shop people have a night together having juice and coffee.'],"['A group of people have a night together, juice and coffee.']"
['A lady in a green shirt stands by the window seal of a brick building as a young boy watches.'],['As the young boy watched a lady in a green shirt stood.']
