Original Sentence,Processed Sentence
"['and carrying a briefcase by a mirrored building, talking on the phone to a man in a business suit.']",['and carrying a briefcase a man in a business suit talked on the phone.']
['The brown mouthed dog with a tennis ball swims in the outdoors.'],['The brown dog with a tennis ball swam in the water.']
['A little boy in shorts and shorts-wrapped shirt was running outside.'],['Little boys in shorts and short-wrapped shirts ran.']
['A young man holds a chainsaw and a piece of wood. Lips press a cigarette.'],['Holding a piece of wood with a chainsaw. Pressing a cigarette with a lip.']
['A white shirted man lays cement on a brick wall.'],['A man in white shirt laid the cement.']
"['A man in a brown uniform, reaching out from an industrial doorway, shut the door.']","['A man in a brown uniform, reaching out from an industrial doorway, shut the door.']"
"['Standing in front of a man kissing on the cheek, a girl with a straw in her hands smiles, a smile on her face.']",['A straw girl holding a kiss from the man in front of her stood smiling.']
"['And a group of people gather at the bar, and one arm-man in a black shirt holds up his camera, and signs.']","[""And there was a camera signal holding one man's arms as the gathering took place.""]"
['An odd looking young adult playing around a large tree that has big roots.'],['Odd play by a young looking adult.']
['A young girl with glasses was kneeling on a stone ledge in front of a bucket filled with mud.'],['Young glass-hating girl kneeled.']
['The young man wearing a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.'],['The young man wearing a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.']
['A construction worker in jeans in jeans standing on a scaffold holding a metal frame with a city backdrop.'],['Construction workers in jeans standing holding metal frames with a city backdrop.']
['Five Asian doctors with hospital green scrubs and masks had a discussion about the operation going on .'],['Five Asian doctors with hospital green scrubs and masks had a discussion about the operation going on .']
['When a young girl plays in the ocean surf she wears shorts and a shirt.'],['Wearing when a young girl plays.']
['A young girl in a blue shirt was marching in a band playing trumpet.'],['A young girl in blue shirt marched in trumpets.']
"['A man with a baseball cap cleans up the blue-colored outside pit, above which hang colorful Christmas lights.']","['A man with a baseball cap cleans up the blue-colored outside pit, above which hang colorful Christmas lights.']"
"['A young girl, barefoot and in a pink gown, was sleeping on a hard wood floor with a hard wood floor.']","[""The young girl, who was a doll's baby, was sleeping barefoot in a pink gown.""]"
['And a blond woman driving a red bicycle carriage poses with a seated customer in the back holding her hat tip.'],['And a blonde woman driving a red bicycle carriage posed with customers in seats holding the tip of her hat.']
"['A small dog in a blanket with several stuffied animals was bent down to a man in glasses and a red shirt, bent down.']",['A small dog with several animals in it bent down to a man in a glass and red shirt.']
"['And the elderly woman in the room sits in a book chair, smiling at the pretty flowers.']",['And the elderly woman in the room smiled and sat.']
['Demonstrating as a young man with martial arts prowess sits on a concrete wall in the general seating area with his girlfriend demonstrating.'],['The demonstration occurred as a young man with prowess in martial arts sat beside him.']
['A man standing at the bar with a beer sign hanging from the wall.'],['A man stood with a hung beer sign.']
"['A man with glasses was at the close of the room, blown bubbles by a faint ceiling background in a dimly lit room.']","['And a man with glass was close by, blown bubbles by a faint ceiling background.']"
['On top of a blue chair sitting in a semicircle was an open laptop from a mac mac company around the group.'],['There are open laptops from around mac - companies .']
['A small boy smiles as he stands with others wearing the same black hats.'],"['A small boy, standing with the other in the same black hat, smiled as he sat.']"
"['And on the side of the street, newspapermen were reading to them, and they were coming back from a family shopping.']","['And the newspaper gentleman read them, and came back to the family shop.']"
"['The first two people to try to reach the soccer ball are the first two people to try to reach the soccer ball, the other two being soccer players wearing white uniforms.']","['The first two people to try to reach the soccer ball are the first two people to try to reach the soccer ball, the other two being soccer players wearing white uniforms.']"
"['Behind him, a man in white shirt with hot pads and a wooden fence, holding a tray of a variety of breads.']",['Holding the tray.']
"['And the young boy in shorts, wearing a tank top in red, was riding the board in his belly, sliding down a mountain of snow.']","['And a young short belly boy in tank tops in red rode down the board, sliding down a mountain of snow.']"
"['And another man sits behind a hand holding some food with a determined look on his face, wearing a bib displaying a large red crab, holding a small wooden hammer.']","['But holding a small wooden hammer, a man with a hand behind him held some food, sat next to another man in his bib, and wore his bib.']"
['A woman in a flowery shirt and pants walks beside a man in jean and black shirt walking alongside others in front of a nearby refreshment stand.'],['The man walking with the other people in black jeans and shirt.']
"[""4 pigeons look on as if they are set beside a white statue of a man's head, sitting on a bench in the crowd.""]","[""And four pigeons looked at the set beside a white statue of a man's head, sitting in a crowd of people.""]"
"['A man who finishes a golf swing in wear, wearing a nike visor, a tan and a red polo shirt, was surrounded by the crowd of onlookers.']","['A man who finishes a golf swing in wear, wearing a nike visor, a tan and a red polo shirt, was surrounded by the crowd of onlookers.']"
['Some people with red or black belts are performing martial arts on a green mat.'],['Some people with red or black belts perform martial arts.']
"['A man in some sort of establishment, turning on the glasses, smiling at the sight of it or not.']",['A man who turns on the glass with a smile or two.']
['Playing cards while 5 adults were sitting outside a picnic table in the backyard.'],['Playtime as five backyard adults sit on cards.']
['In a green grassy yard laughing and the two young girls playing.'],['And the two young girls laughed and played.']
['A group of coffee shop people have a night together having juice and coffee.'],"['A group of people have a night together, juice and coffee.']"
['A lady in a green shirt stands by the window seal of a brick building as a young boy watches.'],['As the young boy watched a lady in a green shirt stood.']
"['But the Asian family talks on the beach, while others play on the water.']","['But the Asian family is talking about water, and the others are playing with it.']"
"['When the bird chased, and the dog was running in a green grass field, wearing a red number number.']","['When the bird chased, and the dog was running in a green grass field, wearing a red number number.']"
"['In an indoor swimming pool , a large group of young teens and a number of smiling kids were divided into two groups , each holding up their back arms .']","[""The group of young teens and a number of kids was divided into two groups, holding up each back's arms.""]"
['Six people ride mountain bikes through jungle environment.'],['Six people ride mountain bikes through jungle environment.']
['And another child with no focus smiled at the girl in her pink shirt and overalls.'],['And another child with no focus smiled at the girl in her pink shirt and overalls.']
['A small child in water with a swell who float over the mountains in white clouds.'],"['Small children floated in white clouds, with the swell.']"
"['Looking out into the water, two young boys in swim trunks.']",['Looks like a young boy in a swim trunk.']
['Three of the two children were playing outdoors in a metal barrel swing.'],['Three of the two children played.']
['About a dozen men in work clothes are getting directions for the task.'],['About a dozen men in work clothes are getting directions for the task.']
"['And the mouth is open, there are three dogs on the beach, one of them is a dog.']","['and the mouth opened, there were three dogs.']"
"['Sitting in a white plastic chair singing and a young musician playing a small guitar ,']","['Young musicians sit, sing and play small guitars.']"
"['Holding her chest, a hand-and-face girl with bangs and long brown hair,']","[""The hand-and-faced girl's chest held her.""]"
['A black-white dog in his black mouth walking through a long stick.'],['A black and white dog walking in the mouth.']
"['A man basically mixing some liquids in clear cups, watching the lady, looks like a lab.']",['Basically a man who watches the lady.']
"['A young man loads up a wooden spoon and stirs the pot up , in a gray sweatshirt .']","['A young man loads up a wooden spoon and stirs the pot up , in a gray sweatshirt .']"
"['And her blue sweater-wearing woman clasps her hands together, sits at a table with a colorful tablecloth.']",['And her hands clasped together in the hands of a woman in a blue sweater and she sat.']
"[""The woman's boot was adjusting near the large crowd at the outdoor event.""]","[""The women's boots were adjusted near a large crowd of people.""]"
['A casually dressed man has several champagne-dripping flutes.'],['A casually dressed man has several champagne-dripping flutes.']
['The boy in a holding gray sweater was looking at the fish school at the aquarium.'],['The fish school looked like a boy in a holding gray sweater.']
['Cross-country skiers are traveling to the mountains at sunset.'],['Cross-country skiers travel to the mountains at sunset.']
['But the right is wearing riot uniform and people seem to be filing out.'],['But the right is wearing riot uniform and people seem to be filing out.']
['And a tall gray pole behind the wall hid one hand from a face-wearing orange shirt.'],['And a tall gray pole hid one hand from a face in an orange shirt.']
"['Behind him, alone, was seen a man in traditional Jewish dress.']","['Behind him, alone, was seen a man in traditional Jewish dress.']"
['An African child attempts a headstand in front of a boat painted white and blue in a field next to a crop.'],['African children attempt headstands.']
['On a sunny day some young men were looking over the edge of the bridge.'],['On sunny days some young men looked over the edge of the bridge.']
['Children and several people were looking at the blue floor of goldfish.'],"['Children and several people looked at the blue water, a floor of goldfishes.']"
['A man wearing construction gear was standing next to a bulldozer picking up debris and rubble.'],['A man in construction gear stood .']
['Two people with helmets riding bikes in front of the building.'],['Two people with helmets ride bikes.']
['A couple who was wearing safety helmets and walking on a bike trail enjoyed a beautiful day.'],['A couple who wore walking gloves and safety helmets enjoyed a beautiful day .']
"['And looking behind them, two little boys in yellow shirts, walking on the grass.']","['And behind them, two little boys in yellow shirts, looked on as they walked.']"
['A young girl in her right hand on the handlebars in a blue helmet and black shirt was sitting on a four wheeler or quad.'],['A young girl in her right hand on the handlebars in a blue helmet and black shirt was sitting on a four wheeler or quad.']
['Two little blond girls with helmets are sitting on a red television.'],['Two little blond girls with helmets sat on the lap.']
['A husky head dog wearing green straps was turning away from the object in front of him.'],"['The head dog in front of him, wearing green straps, turned away from objects.']"
"['But standing in front of a store window, a cartoon snow white cutout, a woman in a large hat stood cross-legged at the door.']",['But the cartoon snow white cutout stands.']
['Five loaded dogs pulling a person through the snow on a sled'],['Five loaded dogs pulling a person through the snow on a sled']
"['And the lady, wearing a black bucket mohawk, was standing around the guy in her black t-shirt, green cargo pants and brown hat, with her arms armed.']","['And the lady, in black bucket mohawks, armed with black t-shirts, green cargo pants and brown hats, stood.']"
"['Playtime for the dog, who jumps into the pool to grab an orange toy, is when his faith is tested.']","['Playtime for the dog, who jumps into the pool to grab an orange toy, is when his faith is tested.']"
"['And the woman was touching the face of the other people nearby, and the woman and the man were on the beach.']","[""And the women and the man were on the beach touching each other's faces.""]"
['A young pink child pushing the pile of wet leaves from the grass.'],['A young pink child pushing the pile of wet leaves from the grass.']
"['And holding a piece of green paper, a white and red shit woman lying in a chair with a yellow bag.']","['And holding a piece of green paper, the woman lays in a chair with a yellow bag.']"
['The female sailor in a black suit was about to jump off the racing platform into the pool.'],['The female sailor in a black suit was about to jump off the racing platform into the pool.']
['Two swimmers between the red line were in a race in the pool where they had it.'],['Two swimmers in between raced.']
['The modernization project works with a man in a dirty sweater and hat.'],['The modernization project works with a man in a dirty sweater and hat.']
['A man dressed in white overalls lobbied a flaming torch and a green ball in front of a crowd of people looking.'],['A dressed man lobbied for flamethrowers and green balls.']
['The woman was drinking an iced beverage with a straw in a dimly lit room.'],['Women drink iced beverages with straws.']
"['A man carrying a musical instrument, wearing a scarf, a purple hat and a gray jacket, examines some money near a wet utility pole.']",['The man carrying was near a utility pole and was examined.']
['The female performer with the middle instrument and harp playing saw through the middle.'],['The female performer with the middle instrument and harp playing saw through the middle.']
['The child in the black cape was chased by other children.'],['The child in the black cape was chased by other children.']
"['The man sitting at the table wears a red sweater, but the two rests on the table are half empty, one glass.']","['The man sitting at the table wears a red sweater, but the two rests on the table are half empty, one glass.']"
"['A man practicing martial art stood in the forest, accross the horizon.']",['A man practicing martial arts stood.']
"['And in the background are plants, a dirty child with a red face holding a yellow bottle.']",['And in the background is a plant holding a yellow bottle.']
['A blond girl looking off in the distance sits on an instrument.'],['The blond girl who looked off sat.']
['Two kids who were a high five-signal decide to simultaneously.'],['Two kids who were a high five-signal decide to simultaneously.']
"['The red team players and one other white player were going for the ball, while the two people in the bleachers watch soccer balls.']","['The red team players and one other white person went for the ball, while two watched soccer balls.']"
['Outside the building were talking to one man on a bicycle and two men on a stand.'],['And there was one man on a bicycle and two standing.']
"['And the only visible footprints left behind are visible: a person carrying a knapsack wearing a hat walks uphill in a sand dunes under a dark, cloudy sky.']",['And the hat-wearing knapsack-carrying person left only visible footprints as they walked on a sand dunes.']
"['Some children playing on the trampoline, while a faceless boy in a red shirt covers his eyes.']",['And when a faceless boy in a red shirt cried he was covered in cover. Some children were playing.']
"['stranded in front of a table with small blue bowls and many white plates, four men with blue aprons, stranded in front of them.']","['stranded in front of a table with small blue bowls and many white plates, four men with blue aprons, stranded in front of them.']"
"['A picture interrupted an odd-light colored hand at the grass-roots: Women, young men and young men sit at a wooden table, where several partially drunk beverages are placed in a wood-paneled interior.']","['Women, young men and young men sit, the picture interrupts the color-hands of the grass-roots.']"
"['A roller coaster theme park, a roller manor coaster, was shown to be rapidly accelerating downwards on a red-colored track, seen by several people with frightening, exciting or happy faces.']",['The roller coaster roller coaster theme park drayton manor shows rapid downward acceleration.']
"['However, several hands on the air watched four men perform on stage, two of whom had guitars.']",['But several hand-held people watched four of the two men with guitars perform .']
['The boy was standing on the sidewalk with his bike.'],"[""The boy's bike stood with it.""]"
['A scuba diver wandering toward the bottom of the ocean floor reaches for his avoiding a large sea turtle.'],['Reached for the diving avoidance.']
"['Sitting on the side of the hill, a dog.']",['The dog sat.']
['A man in dark clothing was talking to a young boy walking down the sidewalk.'],['The man in the clothes talked about walking down.']
"[""The man's pants are falling down when he throws the dumpster full of crates.""]","['When a man threw a crate into the dumpster, his pants fell down.']"
['Three street musicians in brown coats play trumpets and drums in front of a store.'],['Three street musicians in brown coats play trumpets and drums.']
['Produce is selling at the outdoor east market with various vendors.'],['The produce is sold by various vendors.']
"['A woman in a red jacket stands facing the water, feet covered.']","['The woman, her feet facing covered in water, stood in a red jacket.']"
"['Studying how one brown coat-wearing man tried a cart with two boxes of fruit, trying to retrieve a pear that fell on a bumpy brick-made pavement.']","['When one man tried to retrieve a fallen pear wearing a brown coat, he studied a cart with two boxes of fruit.']"
['A female street vendor was standing inside her apparently female kiosks that sell handmade made snacks and a variety of foreign snacks.'],['A female stood by.']
"['And a drummer was running past a number of bagpipe players, a man running a marathon in uniform.']","['And a drummer was running past a number of bagpipe players, a man running a marathon in uniform.']"
"['A man in a boat, fishing while he was caught, wearing sunglasses, a backward baseball cap and athletic shoes, knocked the fish out.']","['A man who was fishing was knocking at the man, caught by his sunglasses, backwards baseball caps, and athletic shoes while wearing his fish.']"
"['And revealing a foot-wearing man in a white shirt, a small man with a neck around and a tank top with rabbits sits on a small sofa on the other side of the window.']","['And a man in a footwearing shirt reveals himself in a white shirt , sitting around his neck in a rabbit tank top .']"
['One dog was climbing to the back of another in the snow.'],['One dog climbed to the back of another.']
['A man playing a musical instrument stood beside a red and yellow fire hydrant.'],['A man playing a musical instrument stood.']
['A black and white dog jutting into the pool with a lot of tennis balls in it.'],['A black and white dog with a lot of tennis balls jumped into the pool.']
"['A woman bowling in tennis shoes white, jeans shorts and black shirt']","['A woman bowling in tennis shoes white, jeans shorts and black shirt']"
"['The old man holding the camera, but walking by a small brown dog.']",['But the old man walking in held the camera.']
"['Sitting on a ledge with the letter in hand,']",['sitting with people hands on.']
"['People gather around a table with many decorations, blue, white and red, and a spacious tent.']",['People gathered around a table and a spacious tent.']
['A middle-aged gentleman was sitting in a small booth with a table filled with different sizes and types of fish.'],['A middle-aged gentleman sat there.']
['Three workers cleaning subway tracks in fluorescent clothes.'],['Three workers cleaning subway tracks in fluorescent clothes.']
"['But look at the man in a camouflage shirt loading a small yard, who is also performing yard work, and the woman and another man.']",['But a man in camouflage shirt loads a small yard.']
['A girl in a color dress walking through some leaves.'],['A girl with a color dress walking through some leaves.']
"['A half-dressed man walks along the river, at the bottom of a small waterfall.']",['A dressed man walks in.']
['A big black dog runs in the water near the shore.'],['Big black dog ran.']
['A young child threw a big rock at a body of water.'],['A young child threw a big rock at a body of water.']
['Two law enforcement men riding past a red car in a cart wear cowboy white hats.'],"['When two law enforcement men rode carts, they wore cowboy white hats.']"
['A blond boy in a striped shirt was walking through the grass.'],['A blond boy in a striped shirt walks.']
"['and the man in the blue shirt was walking, talking on the phone.']",['And a man in blue shirt talked on the phone and walked.']
"['And looking at the Clinton caution, one other man in a t-shirt and jeans holding a yellow pole was a number of men in a hard hat and raincoat.']","['And look at the Clinton caution: There are a number of other men in t-shirts and jeans holding yellow poles, in t-shirts, hard hats and raincoats.']"
"['Holding the camera, a man in dress-button t-shirt, jean, beige jacket and black pants standing next to a woman.']",['The camera was held as the man stood next to the woman.']
['The climbers are attempting to climb around an overhang above the woods.'],['Climbers who have attempted to climb around the overhang have done so.']
['A young boy running on a soccer field wearing a name tag.'],['The young boy in the name tag ran.']
['The 4th building wine shop was lit in the dark by 2 people in front of them.'],['The 4th building wine shop was lit in the dark by 2 people in front of them.']
"['A man runs in front of a large street truck wearing a blue cap, blue shirt and blue jeans.']","['A man in blue cap, blue shirt and blue jeans ran.']"
"['The group of people sitting, holding the banner that stays with us demanding, standing.']","['And banners were held, groups of people stood and sat.']"
"['11 It was a very cold night and so many people came out with their hats, blankets and sweatshirts.']","['11 It was a very cold night and so many people came out with their hats, blankets and sweatshirts.']"
"['Three different camera people, all wearing dark pants and light colored tops, took photos of each other.']","['Three different camera people, all wearing dark pants and light colored tops, took photos of each other.']"
['Young kids cooking with bright colored eggs and ingredients while people are watching.'],['It was a young kid cooking.']
"['When they were, a pink little girl who makes something out of three different adults, with red dye and dough, helped her.']","['When they were, a pink little girl who makes something out of three different adults, with red dye and dough, helped her.']"
"['But two walk in one direction, another walks in the midst.']",['But two people walked.']
['The two sons and mother walk behind a horse tied to a boat.'],['The two people walked together.']
['And behind the trees a banjo plays and one man sits inside'],"['And there was a tree, and a play, and one man sat there.']"
['A man in front of him with sheet music sitting next to a tuba was sitting in a chair hung over a jacket.'],"['The man in front of him, next to the tuba, sat.']"
"['Holding spray paint cans, a group of women and young men were smiling next to their artwork.']","['Holding spray paint cans, a group of women and young men were smiling next to their artwork.']"
"['Looking at the old man in a blue shirt, asking who was behind him.']","['People looked at each other, asking an old man in blue shirt behind him.']"
"[""Standing on a large room's hard wood floor, one boy, two girls, standing in martial arts,""]","[""Stands a large room's hard wood floor and stands one boy, one girl and two children.""]"
['The green sculpture is sitting next to a woman with a white bag in her drink.'],"['The woman next to her, with a white bag, sat.']"
"['Making a face when a little boy in a red shirt was waiting on a go cart track, the camera was making him.']","['When the little boy in a red shirt waited , his face was made .']"
"['When the gentleman, more completely white-dressed, was sitting in a large overstuffed chair, eating a white bowl, he was sitting in a large chair, eating.']",['A gentleman in a complete dress was sitting at a white bowl eating.']
['spectators watch as a stunt plane with color smoke trails fly over the beach.'],['spectators watch as a stunt plane with color smoke trails fly over the beach.']
['Two girls appear to be playing a very competitive chess game.'],['Two girls appear to be playing a very competitive chess game.']
"['A city sidewalk scene of men looking away from the picture, wearing glasses, long hats, scarfs and long coats, a woman walking away from the camera holding books, a punk rocker, two men with dreadlocks sitting on the ground.']","['A city sidewalk scene of two men looking away from the picture, wearing glasses, long hats, scarfs and long coats, a woman walking away from the camera holding a book, a punk rocker, a man with a dreadlock sitting on his lap.']"
['The band with trombones and saxophones is preparing to play music.'],['The band with trombones and saxophones is preparing to play music.']
"['And practicing classical music with cellos, violins and guitars, a large group of band members look like one.']","['And practicing classical music with cellos, violins and guitars, a large group of band members look like one.']"
['A young swimming girl in a green and pink bikini with rubber rings.'],['A young swimming girl in a green and pink bikini with rubber rings.']
['Several people were listening to the information in a town hall or conference.'],['Several people listened to the information.']
"[""The child's palm is up on the dummy's palm for the crash test.""]",['Up the palm of a dummy for a crash test.']
['The boy in blue shirt was eating chips as his mother looks at the menu.'],['The boy in the blue shirt was eating chips while his own person looked at the menu.']
['and sitting on computers with the other guys two in red.'],['and sitting with the other guys and the two in red.']
['Two dogs playing on the edge of the water body on a ball were shaking up the water.'],"['When two dogs were playing with water, they shake up.']"
['Five workers eating lunch sitting by the side of the road.'],['Five workers sat on lunches.']
"['And one girl dressed in green was eating a sandwich, facing the camera, many people sitting outside the leaning Palestinian tower.']","['And one girl dressed in green was eating a sandwich, facing the camera, many people sitting outside the leaning Palestinian tower.']"
"['When a man plays in a crowded casino room at a game , he is showing a peace sign .']",['When the man plays he shows the peace signs.']
"['In the background, a little girl in a flower swimsuit running across the beach, waving in the waves.']","['In the background, a little girl in a flower swimsuit running across the beach, waving in the waves.']"
"[""Two demonstrators in chef's garb in kitchenaid booths were doing it.""]",['The demonstrators in chef garb did two.']
"['When a running blue shirt boy waits for a red helmet boy for a baseball bat, the ball spews.']",['The spews were as a boy in blue shirt waiting to run for a baseball bat.']
['A lady in a short jacket leaned against a post outside the building where a lamp was.'],['Leaning on a lady in a short jacket']
['A man in white stripes playing drums.'],['A man in white stripes playing drums.']
['A white blouse-wearing lady and a colorful shirt-wearing man sign copies of the books.'],['People signed things from a lady in a white blouse and a man in a colorful shirt.']
['The crew of white-dressed chefs display an array of pies with pride.'],['The crew of dressers displayed an array of pastry with pride.']
"['On a cloudy day, blue and white birds patrol the shoreline and beach as seagulls walk on the sand.']","['On cloudy days, blue and white patrol as seagulls walk in the sand.']"
"['But two kids with helmets were sitting outside, and the other looks ahead straight ahead, and one looks down.']","['But two kids with helmets were sitting outside, and the other looks ahead straight ahead, and one looks down.']"
"['As the vendor was looking forward to his wear, he was prepared to be looking forward in all red and pink clothing.']","['As vendors in their red and pink clothing looked forward , they were prepared .']"
['The man with a brown jacket and orange hat has a cigarette in his mouth.'],"['The mouthed man, in a brown jacket and orange hat, had a cigarette.']"
"['And for all ages, strolling through the kiosks and aisles is boring with the variety of merchandise from random vendors in a large flea market.']",['and the variety of random vendor merchandise bore people of all ages.']
['The man enjoys a peaceful solitary moment in the camp.'],['The man enjoys a peaceful solitary moment in the camp.']
"['A small yellow-dressed girl in flops was climbing onto the playground equipment, onto the red playground equipment.']","['A small yellow-dressed girl in flops was climbing onto the playground equipment, onto the red playground equipment.']"
"[""And someone who doesn't like the menu, children eating in an outdoor cafe.""]","[""and someone doesn't like the menu, children eat.""]"
