Original Sentence,Processed Sentence
['Young up man holds a chainsaw and a piece of wood. Lips press a cigarette.'],['Holding a piece of wood with a chainsaw. Pressing a cigarette with a lip.']
['A man in white shirt laid cement on a brick wall.'],['A man in white shirt laid the cement.']
skip_because_no_change,skip
"['The girl, a straw-held girl, stood in front of a man kissing her cheek, smiling at her.']",['A straw girl holding a kiss from the man in front of her stood smiling.']
"['And as a group of people gathered in a bar, one arm-man in a black shirt, and signaled to the camera.']","[""And there was a camera signal holding one man's arms as the gathering took place.""]"
"['Oddly, young looking adults play around large trees with big roots.']",['Odd play by a young looking adult.']
['A young glass girl kneeled on a stone ledge in front of a bucket filled with mud.'],['Young glass-hating girl kneeled.']
['The young man in a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.'],['The young man in a baseball cap bowed at the base of the statue of Jesus of Jesus in the day.']
['A construction worker in jeans in jeans stood on scaffolds holding a metal frame with a city backdrop.'],['Construction workers in jeans standing holding metal frames with a city backdrop.']
skip_because_no_change,skip
"['When young girls play in the ocean surf, they wear shorts and shirts.']",['Wearing when a young girl plays.']
['Young girls in blue shirt bowed in band playing trumpet.'],"['Young girls in blue shirt barking, playing trumpet.']"
['A man with a baseball cap above a colorful Christmas light hung there cleans up the blue pit outside.'],['A man with a baseball cap above a colorful Christmas light hung there cleans up the blue pit outside.']
"[""The young girl, who was a baby doll's doll's baby doll and had pink gowns, slept on a hard wood floor.""]","[""The young girl, who was a doll's baby, was sleeping barefoot in a pink gown.""]"
['And the blond driving red bicycle carriage woman holding her hat tip posed for a picture on the back with the customer in the seat.'],['And a blonde woman driving a red bicycle carriage posed for a seat holding her hat tip.']
"[""A small dog in a blanket with several animals in it's stuff bending down to a man in a glass and red shirt.""]",['A small dog with several animals in it bent down to a man in a glass and red shirt.']
['And the elderly woman in the room was sitting in a book chair smiling at the pretty flowers.'],['And the elderly woman in the room smiled and sat.']
['A demonstration occurred as a young man with martial arts prowess sat on a concrete wall in the general seating area with his girlfriend.'],['The demonstration occurred as a young man with prowess in martial arts sat beside him.']
['A man stood in the bar with a beer sign hanging from the wall.'],['A man stood with a hung beer sign.']
"['And in a dimly lit room, a man with glass was close by, blowing bubbles in a faint - ceiling background.']",['And the man with the glass blew bubbles close with a background of faint ceilings.']
"['On top of a blue chair, open a mac - mac laptop around where a group of people sat in a semicircle.']",['There are open laptops around mac xp.']
"['A small boy, standing with the other in the same black hat, smiled as he sat.']","['A small boy, standing with the other in the same black hat, smiled as he sat.']"
['And on the side of the street a newspaper gentleman read to him and came back to the family shop.'],"['And the newspaper gentleman read them, and came back to the family shop.']"
skip_because_no_change,skip
"['Behind him, a man in white shirt with hot pads and wooden fence, held a tray of variety of bread.']",['Holding the tray.']
"['And the young short boy in tank top red riding the board in his belly, sliding down a mountain of snow.']","['And a young short belly boy in tank tops in red rode down the board, sliding down a mountain of snow.']"
"['But a hand-held hammer, a small wooden one, held some food behind him, and another man sat, wearing a bib displaying a large red crab.']","['But holding a small wooden hammer, a man with a hand behind him held some food, sat next to another man in his bib, and wore his bib.']"
['Other women in matching clothes walked beside a man in flowery jeans and black shirt who was walking nearby in front of a refreshment stand.'],['A man walking nearby in flowery jeans and black shirt walked.']
"[""The crowd sat on a bench beside a white statue of a man's head as four pigeons looked on as if it were a park set.""]","['Four pigeons looked at a similar set, sitting in the crowd of people.']"
skip_because_no_change,skip
['On a green mat some people with red or black belts perform martial arts.'],['Some people with red or black belts perform martial arts.']
"['A man in some sort of establishment, a man with a glass on, smiling at the sight of it or in his mind.']",['A man who turns on the glass with a smile or two.']
['Playtime as the five adults sat outside a picnic table in the backyard played cards.'],['Playtime as five backyard adults sit on cards.']
"['In a grassy green yard, laughing, two young girls playing.']",['And the two young girls laughed and played.']
"['A group of people in a coffee shop have together on the night time, juice and coffee.']","['A group of people have a night together, juice and coffee.']"
"[""A lady in green shirt stood by a brick building's window seal, watching young boys.""]",['As the young boy watched a lady in a green shirt stood.']
"['But the Asian family talks on the beach, while others play on the water.']","['But the Asian family is talking about water, and the others are playing with it.']"
skip_because_no_change,skip
"['In a large indoor swimming pool, two groups of young teens and smiling numbers of people were divided into groups, each held up by their back arms.']","[""The group of young teens and a number of kids was divided into two groups, holding up each back's arms.""]"
skip_because_no_change,skip
skip_because_no_change,skip
"['Small children in water with swells, floating over the mountain in white clouds.']","['Small children floated in white clouds, with the swell.']"
['Two young boys in swim trunks looked out at the water.'],['Looks like a young boy in a swim trunk.']
['Three of the two children played outdoors in a metal barrel swing.'],['Three of the two children played.']
skip_because_no_change,skip
"['And the mouth opened, there were three dogs on the beach.']","['and the mouth opened, there were three dogs.']"
"['Young musicians playing small guitars, sitting in white plastic chairs singing.']","['Young musicians sit, sing and play small guitars.']"
['The hand-and-faced girl with bangs and long brown hair held her chest.'],"[""The hand-and-faced girl's chest held her.""]"
['A black/white dog with a black mouth walks through a long stick.'],['A black and white dog walking in the mouth.']
"['A man, basically, in a lab look, mixing some liquid in a clear cup of container, watching the lady.']",['Basically a man who watches the lady.']
skip_because_no_change,skip
"['And her hand-cracked blue sweater-wearing woman sat on a colorful tablecloth, clasping together her hands.']",['And her hands clasped together in the hands of a woman in a blue sweater and she sat.']
"[""Women's boots were adjusted near a large crowd of people at outdoor events.""]","[""The women's boots were adjusted near a large crowd of people.""]"
skip_because_no_change,skip
['The boy in a holding gray sweater looked like a school of fishes in an aquarium.'],['The fish school looked like a boy in a holding gray sweater.']
['Cross-country skiers travel to the mountains at sunset.'],['Cross-country skiers travel to the mountains at sunset.']
skip_because_no_change,skip
['And a tall gray pole behind the wall hides one hand from a face in an orange shirt.'],['And a tall gray pole hid one hand from a face in an orange shirt.']
skip_because_no_change,skip
['African children attempt headstands at the front of a boat painted white and blue in a field next to a crop.'],['African children attempt headstands.']
['On sunny days some young men looked over the edge of the bridge.'],['On sunny days some young men looked over the edge of the bridge.']
"['Children and several people looked at the blue water, a floor of goldfishes.']","['Children and several people looked at the blue water, a floor of goldfishes.']"
['A man in construction gear stood next to a bulldozer picking up debris and rubble.'],['A man in construction gear stood.']
['Two people with helmets rode bikes in front of the building.'],['Two people with helmets ride bikes.']
['A couple enjoying a beautiful day crawling on a bike trail in gloves and safety helmets.'],['The crawling couple in their tuxedos enjoyed.']
"['And behind them, two little boys in yellow shirts, looked on as they walked on the grass.']","['And behind them, two little boys in yellow shirts, looked on as they walked.']"
['A young girl in her right hand in a handlebars wearing a blue helmet and black shirt sat in her four wheeler quad.'],['A young girl in her right hand in a handlebars wearing a blue helmet and black shirt sat in her four wheeler quad.']
['Two little blond girls with helmets sit on a red television.'],['Two little blond girls with helmets sat on the lap.']
['The headless husky dog in green straps turned away objects in front of him.'],"['The head dog in front of him, wearing green straps, turned away from objects.']"
"['But a woman in a large hat stood in front of a store window in cross legges, standing by the door, a cartoon snow white cutout.']",['But the cartoon snow white cutout stands.']
skip_because_no_change,skip
"['And the lady, in black bucket mohawks, stood around the guy, in black t-shirts, green cargo pants and brown hats. Armoured.']","['And the lady, in black bucket mohawks, armed with black t-shirts, green cargo pants and brown hats, stood.']"
skip_because_no_change,skip
"[""And the women and the man were on the beach touching each other's faces.""]","[""And the women and the man were on the beach touching each other's faces.""]"
skip_because_no_change,skip
"['And the white and red shit woman, holding a piece of green paper, lays in a chair with a yellow bag.']","['And holding a piece of green paper, a lie.']"
skip_because_no_change,skip
['Two swimmers between the red lines raced in pools where there was one.'],['Two swimmers in between raced.']
skip_because_no_change,skip
['A man in white overalls lobbied a flame-throwing torch and a green ball in front of a crowd of people looking.'],['A dressed man lobbied for flamethrowers and green balls.']
"['In a dimly lit room, the woman drank an iced beverage with straws.']",['Women drink iced beverages with straws.']
"['A man carrying a musical instrument, wearing a scarf, a purple hat and a gray jacket, was near a wet utility pole, examining some money.']",['The man carrying was near a utility pole and was examined.']
skip_because_no_change,skip
skip_because_no_change,skip
"['But the man sitting at the table was wearing a red sweater. Half empty, one glass.']","['But the man sitting at the table was wearing a red sweater. Half empty, one glass.']"
['A man practicing martial arts stood in the forest.'],['A man practicing martial arts stood.']
"['And in the background, there are plants, dirty children with red faces holding yellow bottles.']",['And in the background is a plant holding a yellow bottle.']
['A blond girl looking off in the distance sat on an instrument.'],['The blond girl who looked off sat.']
skip_because_no_change,skip
"['The red team players and one other white person went for the ball, while two people in the bleacher watched soccer balls.']","['The red team players and one other white person went for the ball, while two watched soccer balls.']"
"['Outside the building, one man on a bicycle and two men standing talked.']",['And there was one man on a bicycle and two standing.']
"['And the hat-carrying knapsack-wearer, walking uphill in a sand dunes under a dark cloudy sky, left only visible footprints behind.']",['And the hat-wearing knapsack-carrying person left only visible footprints as they walked on a sand dunes.']
"['And when a faceless boy in a red shirt cried, some children played on a trampoline.']",['And when a faceless boy in a red shirt cried he was covered in cover. Some children were playing.']
"['The man was stranded in front of the table, with a small blue bowl and many white plates, at 4 and with a blue apron.']","['The man was stranded in front of the table, with a small blue bowl and many white plates, at 4 and with a blue apron.']"
"['The women, the young man, were sitting at a wooden table, where several partially drunk beverages were placed in the wood panel interior. The picture interrupted the hands of the grass-roots, their eyes colored with odd light.']","['Women, young men and young men sit, the picture interrupts the color-hands of the grass-roots.']"
"['The roller coaster from the Disney theme park showed rapid downward acceleration on several red-colored tracks, seen by people with scare-faces, excited or happy faces.']",['The roller coaster from the Disney theme park showed rapid downward acceleration.']
"['But several hand-held airmen watched four men perform on stage, two of whom had guitars.']",['But several hand-held people watched four of the two men with guitars perform.']
"[""The boy's bike stood on the sidewalk with him.""]","[""The boy's bike stood with it.""]"
"['A large sea turtle pet, a scuba diver wandering toward the bottom of the ocean floor, reached out to him.']",['The dive pet reached out.']
['The dog sat on the side of the hill.'],['The dog sat.']
['A man in dark clothing talked to a young boy as he walked down the sidewalk.'],['The man in the clothes talked about walking down.']
"['When a man threw a crate into the dumpster, his pants fell down.']","['When a man threw a crate into the dumpster, his pants fell down.']"
['Three street musicians in a brown coat played trumpets and drums in front of the store.'],['Three street musicians in brown coats play trumpets and drums.']
['Produce is sold at the outdoor east market by various vendors.'],['The produce is sold by various vendors.']
['On the beach a woman in a red jacket stood facing the water covered her feet.'],"['The woman, her feet facing covered in water, stood in a red jacket.']"
"['When one man tried to retrieve a pear that fell on a bumpy brick-made pavement wearing a brown coat tried a cart with two boxes of fruit, the study was done.']","['When one man tried to retrieve a fallen pear wearing a brown coat, he studied a cart with two boxes of fruit.']"
['A female street vendor stood inside her apparently-owned kiosk selling handmade-made snacks and a variety of foreign snacks.'],['A female stood by.']
skip_because_no_change,skip
"['The fish was knocked by a man in a boat, fishing while his catch was caught, wearing glasses, a backwards cap and athletic shorts.']","['A man who was fishing was knocking at the man, caught by his fish while wearing his glasses, backwards cap, and athletic shorts.']"
"['And a man in feet revealed in a white shirt, sitting on a small sofa on the other side of the window, necked around him in a rabbit tank top.']","['And a man in a footwearing shirt reveals himself in a white shirt, sitting around his neck in a rabbit tank top.']"
['One dog climbed to the back of another in the snow.'],['One dog climbed to the back of another.']
['A man playing a musical instrument stood beside a red and yellow fire hydrant.'],['A man playing a musical instrument stood.']
['A black and white dog with a lot of tennis balls jumped into the pool.'],['A black and white dog with a lot of tennis balls jumped into the pool.']
skip_because_no_change,skip
"['But the old man held the camera, walked by a small brown dog.']",['But the old man walking in held the camera.']
"['With the letters in their hands, they sat on a ledge.']",['sitting with people hands on.']
"['People gathered around a table with many blue, white and red decorations and spacious tents.']",['People gathered around a table and a spacious tent.']
['A middle-aged gentleman sat in a small booth with a table filled with different sizes and types of fish.'],['A middle-aged gentleman sat there.']
skip_because_no_change,skip
"['But the men in camouflage shirt loaded the small yard, looking at the women and another man, who also performed yard work.']",['But a man in camouflage shirt loads a small yard.']
['A girl with a flower dress walking through some leaves.'],['A girl with a flower dress walking through some leaves.']
"['Half-dressed men walk along the river, at the bottom of a small waterfall.']",['A dressed man walks in.']
['A big black dog ran in the water near the shore.'],['Big black dog ran.']
skip_because_no_change,skip
"['When two law enforcement men rode carts past a red car, they wore cowboy white hats.']","['When two law enforcement men rode carts, they wore cowboy white hats.']"
['A blond boy in a striped shirt walks through the grass.'],['A blond boy in a striped shirt walks.']
"['And the man in blue shirt was walking, talking on the phone.']",['And a man in blue shirt talked on the phone and walked.']
"['And look at the Clinton precautions: One other man in a t-shirt and jeans holding a yellow pole, in a t-shirt, a hard hat, and a raincoat was a number of men.']","['And look at the Clinton caution: There are a number of other men in t-shirts and jeans holding yellow poles, in t-shirts, hard hats and raincoats.']"
"['As the man stood next to the woman in a dress-buttoned t-shirt, jean, beige jacket and black pant, he held the camera.']",['The camera was held as the man stood next to the woman.']
['Climbers who climb around the overhang above the wood attempt to do so.'],['Climbers who have attempted to climb around the overhang have done so.']
['A young boy in a name tag ran on a soccer field.'],['The young boy in the name tag ran.']
"[""The 4th building's wine shop was lit in the dark by 2 people in front of them.""]","[""The 4th building's wine shop was lit in the dark by 2 people in front of them.""]"
"['A man in blue cap, blue shirt and blue jeans ran in front of a large street truck.']","['A man in blue cap, blue shirt and blue jeans ran.']"
"['And the group of people sat, holding banners that stayed with our demands, standing, holding banners.']","['And banners were held, groups of people stood and sat.']"
skip_because_no_change,skip
skip_because_no_change,skip
['Cooking with bright colored eggs and ingredients on a watchful eye is what young kids do.'],['It was a young kid cooking.']
skip_because_no_change,skip
"['But two people walk in one direction, another walks in the midst.']",['But two people walked.']
['The two men and their mother walked behind a horse tied to a boat.'],['The two people walked together.']
['And behind the tree was a banjo playing and one man was sitting inside.'],"['And there was a tree, and a play, and one man sat there.']"
"['The man in front of him, with sheet music, sat next to a tuba in a chair hung over a jacket.']","['The man in front of him, next to the tuba, sat.']"
"['A group of young women and men, smiling next to their artwork, held spray paint cans.']","['A group of young women and men, smiling next to their artwork, held spray paint cans.']"
"['Looking at the man in the blue shirt, he asked the people behind him.']","['People looked at each other, asking an old man in blue shirt behind him.']"
"['The two children, one boy and the other girl, stood on the hard wood floor of the large room, standing in martial arts.']","[""Stands a large room's hard wood floor and stands one boy, one girl and two children.""]"
"['The next woman, with a white bag in her drink, sat next to the green sculpture.']","['The woman next to her, with a white bag, sat.']"
"['When the little boy in red shirt waited for the go cart track, the camera made him face.']","['When the little boy in a red shirt waited, his face was made.']"
"['When the gentleman, more complete in white than his old self, sat in an overstuffed large chair, ate a white bowl.']",['A gentleman in a complete dress was sitting at a white bowl eating.']
skip_because_no_change,skip
skip_because_no_change,skip
"['A city sidewalk scene of a man looking away from the picture wearing glasses, a long hat, scarf and long coat, a woman walking away from the camera holding a book, a punk rocker, two men with dreadlocks sitting on the ground.']","['A city sidewalk scene of two men looking away from the picture, wearing glasses, long hats, scarfs and long coats, a woman walking away from the camera holding a book, a punk rocker, a man with a dreadlock sitting on his lap.']"
skip_because_no_change,skip
skip_because_no_change,skip
skip_because_no_change,skip
['Several people listened to the information in town halls or conferences.'],['Several people listened to the information.']
"[""The child's palms were up on the crash dummy's.""]",['Up the palm of a dummy for a crash test.']
['The boy in blue shirt was eating chips while his mother looked at the menu.'],['The boy in the blue shirt was eating chips while his own person looked at the menu.']
['And the other two guys were sitting on the computer.'],['And the other two guys in red sat.']
"['When two dogs were playing on the edge of the water body with a ball, they shaken up the water.']","['When two dogs were playing with water, they shake up.']"
['Five workers sat on the side of the road eating lunch.'],['Five workers sat on lunches.']
"['And many people were sitting outside the leaning Palestinian towers, eating sandwiches and one girl in green dress faced the camera.']","['And many people were sitting outside the leaning Palestinian towers, eating sandwiches and one girl in green dress faced the camera.']"
"['When men played in crowded casino room at games, they showed peace signs.']",['When the man plays he shows the peace signs.']
skip_because_no_change,skip
['Two demonstrators in kitchenaid booths in chef garb did it.'],['The demonstrators in chef garb did two.']
"['When a boy in blue shirt was waiting for a boy in a red helmet, the ball was spewing out of a baseball bat.']",['The spews were as a boy in blue shirt waiting to run for a baseball bat.']
['A lady in short jacket leaned against a post outside the building where there was a lamp.'],['Leaning on a lady in a short jacket']
skip_because_no_change,skip
"['People signed a copy of the book, a lady in a white blouse and a man in a colorful shirt.']",['People signed things from a lady in a white blouse and a man in a colorful shirt.']
['The crew of white-dressed chefs displayed an array of pastry with pride.'],['The crew of dressers displayed an array of pastry with pride.']
"['On cloudy days, blue and white birds patrol the shoreline and beach while seagulls walk in the sand.']","['On cloudy days, blue and white patrol as seagulls walk in the sand.']"
"['Two kids with helmets were sitting outside, and the others looked straight up and down.']",['But two kids with helmets were sitting.']
"['When vendors in all red and pink clothing look forward, they are prepared to wear theirs.']","['As vendors in their red and pink clothing looked forward, they were prepared.']"
['The man with a brown jacket and an orange hat had a cigarette in his mouth.'],"['The mouthed man, in a brown jacket and orange hat, had a cigarette.']"
['And the variety of merchandise from random vendors at large flea markets bore all ages: strolls in kiosks and aisles.'],['and the variety of random vendor merchandise bore people of all ages.']
skip_because_no_change,skip
skip_because_no_change,skip
"[""And someone doesn't like the menu, children eat in outdoor cafes.""]","[""and someone doesn't like the menu, children eat.""]"
skip_because_no_change,skip
['But a man with a dark pair sits beside another man speaking through the microphone.'],['But the man speaking beside another sitting man with a dark pair spoke.']
skip_because_no_change,skip
['Two people stood on top of rocks in the middle of cloudy and snow.'],['Two stood.']
['A bald man with a tattooed head stood next to a man in front of a transparent awning in a brown T-shirt.'],['A bald man with a tattooed head stood.']
skip_because_no_change,skip
['On the sidewalk next to the man stood a woman in her high heels and blue shirt.'],['A woman stood in her high heels and blue shirt.']
skip_because_no_change,skip
"['When a large group walked down the sidewalk and stood in front of a green roofed coffee shop, people took seats.']","['When a large group walked down, people stood up and took their seats.']"
"[""And a small child in a red jacket was holding his head, sitting on a man's shoulder.""]","[""And holding the head of a small child, he sat on the man's shoulder.""]"
"['In a room with strewn clothes, it appeared that a man fell from a high distance from the bed.']",['The man appeared to have fallen from a high distance from the bed.']
"['A man with a dirt backpack and a helmet stood in a hilly, grassy area.']",['A man stood with a dirt backpack and a helmet.']
skip_because_no_change,skip
skip_because_no_change,skip
['The climber stood next to a pink rope and a rock face.'],['Climbers stood.']
['The boy stood in front of a swimming pool and smiled.'],['The boy smiled as he stood.']
skip_because_no_change,skip
['A gray dog stood on a sloped tree trunk overlooking a grassy field.'],['A gray dog stood overlooking a grassy field.']
['A female walking down the street in white high heels and blue jeans.'],['A female in white high heels and blue jeans walked down.']
"['And the other smiled at the camera, leaning out a safety harness, and the two workers were picking up cherry.']","['And the others smiled and leaned out on one another, there were two workers.']"
skip_because_no_change,skip
['The boy with a sippy cup sat in his toy car while he drank it.'],"['Sitting with a sippy cup of tea in a toy car, the boy drank.']"
skip_because_no_change,skip
skip_because_no_change,skip
['A man in white hats and beige shirt stood looking at the bottom of a brown staircase rooted in colorful images of design and animals.'],"['A man stood looking at the bottom of a brown, rooty staircase, wearing a white hat and beige shirt.']"
skip_because_no_change,skip
['A guy who smokes cigarettes looking for bones and fossils where the finds may have been.'],['A guy who smokes cigarettes and looks for bones and fossils.']
['A man in gray pants and shirts slept outside a wooden chair.'],['A man in gray pants and shirts sleeping.']
['A stroller was pushed into a walkway next to a large body of water.'],['Sleeping baby pushed into stroller.']
['A man in a buttoned shirt sat at the table.'],['A man in a buttoned shirt sat there.']
"['But in a room full of people around the table, adults who had been seen were sitting across the table looking with leaning fists at a young head boy with a checker board.']",['But the young head boy looked at the checkerboard with lean fists.']
['But a neighbor in pink sweaters was across from the girl sitting on the couch with two parents.'],['But the two are sitting.']
"['In a white and blue speedboat parked in the driveway, a younger boy or man stood up,']",['Or older boys standing up for men.']
skip_because_no_change,skip
skip_because_no_change,skip
['Two little girls in pink outfits played in a red and yellow playground.'],['Two little girls in pink outfits were playing.']
skip_because_no_change,skip
"['And a background of wispy clouds and mountains, backpackers downhill skiers.']",['And the background of downhill skiers is wispy clouds and mountains.']
['A small child in blue shirt stood in front of a group of tired people.'],['A small child in blue shirt stood.']
['Two boys in bright blue jeans stood at a water fountain.'],['Two boys in bright blue jeans stood.']
['And the ones walking on the beach holding surfboards went under the gazebo while people were walking.'],"['And the surfboards were held, and went under the gazebo as we walked along the beach.']"
['The man was wearing beat up brown shoes and white socks on a black bicycle.'],['The men were wearing beat up brown shoes and white socks.']
skip_because_no_change,skip
"['A woman in a long black sweater stood near the sidewalk on a pink bike,']",['A woman in a long black sweater stood.']
"['In a library setting, children work, read.']","['and the children work schoolwork, read.']"
"['A large working site with girders and railings surrounded the middle, near a large pile of soil, where workers in blue shirt stood.']",['A worker in blue shirt was surrounded.']
['Four young women around the kitchen counter in the foreground of a brownie plate.'],['Four young women.']
skip_because_no_change,skip
skip_because_no_change,skip
['A male weimaraner with a clipped tail walks through the river.'],['A male weimaraner walked with a clipped tail.']
"['And the boys in between held a clear second bottle of water, sitting on a stone floor two young African leg boys in bright blue clothing.']","['And holding a second clear water bottle, two young African leg boys in bright blue clothing sat on the stone floor.']"
skip_because_no_change,skip
"['Behind another blue man in the log, a man also in balance with blue pants, light blue shirt, pants and yellow shirt balances.']","['The man who is also balanced has blue pants, light blue shirt, pants and yellow shirt.']"
['And the other played frisbee on a field near the airport with two men in ball caps and blue shirt in cap and white shirt.'],"[""And the other frisbee players were two men in ball caps and blue shirt's with capes and white shirt's.""]"
['But many other individuals passed by a conversation as women and men ate snow cones at the intersection.'],['But many other individuals passed by a conversation as the women and men ate snow cones.']
['And a man on his knees settling on the beach with a red beanie and blue swimsuit made himself a tall sand castle.'],"['And a kneeling man with a red beanie and blue swimsuit made an as tall a sand castle, settling on the beach.']"
skip_because_no_change,skip
"['A camouflaged man, wearing a mask, masterminded a motorcycle across some stones.']",['The man in camouflage masters the motorcycle.']
"['But the young man in clothing adjusted to the lake, and swam on the lake and others dived.']",['But the others swam and dived.']
"['And looking in the same direction, the young girl stood next to a fallen tree, next to the river, with a dog and a young girl.']",['And the dog and the young girl looked in the same direction and stood.']
['A woman in white boots and a long dress with white columns walked along a stone structure.'],['A woman with white columns walked with white boots and a long dress.']
skip_because_no_change,skip
['The open-mouthed black dog ran on green grass.'],['The open mouthed black dog ran.']
"['When the little boy sat on a log and pointed upwards holding a cookie,']","['When the little boy was sitting and pointing and holding a cookie, he was sitting.']"
"['And the women and the man walked in the opposite direction, and the blue-dressed woman looked behind the stretch limo with her purse, sitting on a bench next to a cane.']","['Women and men walk, and the dressed woman looks on in a stretch limo with a purse and sits.']"
skip_because_no_change,skip
['A light brown dog ran to something on the beach.'],['The light brown dog ran to something.']
"['But a man in a black stripe sits on the curb, standing near a police van with a group of three men in white shirted clothes.']",['But a group of three men in white shirt stood.']
skip_because_no_change,skip
skip_because_no_change,skip
